##NAMES=Stottite
##RRUFFID=R120089
##IDEAL CHEMISTRY=Fe^2+^Ge^4+^(OH)_6_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Yellow to red gemmy crystals and fragments associated with chalcocite R120090, siderite and tennantite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120089
565.5242, 2.959431
566.0063, 2.688885
566.4885, 2.882702
566.9706, 2.821411
567.4527, 1.979961
567.9348, 1.144749
568.4169, 0.9009670
568.8990, 1.188904
569.3812, 1.493774
569.8633, 1.527359
570.3454, 1.475132
570.8275, 1.616856
571.3096, 1.930588
571.7917, 2.199558
572.2739, 2.341988
572.7560, 2.379086
573.2381, 2.299965
573.7202, 1.988216
574.2023, 2.011009
574.6844, 2.854343
575.1666, 3.674339
575.6487, 3.743210
576.1308, 3.299736
576.6129, 3.054852
577.0950, 3.384220
577.5771, 4.065804
578.0593, 4.624424
578.5414, 5.035767
579.0235, 5.386013
579.5056, 5.561569
579.9877, 5.776947
580.4698, 6.176491
580.9520, 6.696259
581.4341, 7.178806
581.9162, 7.497070
582.3983, 7.871704
582.8804, 8.587685
583.3625, 9.593597
583.8447, 10.86535
584.3268, 12.64826
584.8089, 14.28167
585.2910, 14.80050
585.7731, 14.33602
586.2552, 14.31293
586.7374, 15.07527
587.2195, 16.05775
587.7016, 17.04073
588.1837, 18.06316
588.6658, 19.20068
589.1479, 20.46038
589.6301, 21.73161
590.1122, 22.90688
590.5943, 23.99332
591.0764, 24.96828
591.5585, 25.52721
592.0406, 26.34652
592.5228, 27.67819
593.0049, 29.29498
593.4870, 31.01644
593.9691, 32.80994
594.4512, 34.46269
594.9333, 35.66711
595.4155, 36.56032
595.8976, 37.64218
596.3797, 38.90804
596.8618, 40.37421
597.3439, 42.06493
597.8260, 43.99846
598.3082, 46.15404
598.7903, 48.64938
599.2724, 51.08179
599.7545, 52.97868
600.2366, 54.92321
600.7188, 57.78188
601.2009, 61.48305
601.6830, 64.99363
602.1651, 67.54390
602.6472, 69.48358
603.1293, 72.18427
603.6115, 76.13660
604.0936, 79.97887
604.5757, 83.50761
605.0578, 86.98817
605.5399, 90.46959
606.0220, 94.02669
606.5042, 97.83874
606.9863, 101.9182
607.4684, 106.3968
607.9505, 111.6813
608.4326, 117.7597
608.9147, 123.6384
609.3969, 128.8163
609.8790, 134.1708
610.3611, 140.7608
610.8432, 148.5198
611.3253, 156.3974
611.8074, 164.4228
612.2896, 172.4010
612.7717, 179.8429
613.2538, 187.2771
613.7359, 195.6268
614.2180, 205.1660
614.7001, 215.3547
615.1823, 225.5127
615.6644, 235.5682
616.1465, 247.1399
616.6286, 261.2812
617.1107, 275.4743
617.5928, 288.8580
618.0750, 302.0195
618.5571, 315.3964
619.0392, 329.0788
619.5213, 343.4427
620.0034, 359.0925
620.4855, 375.5208
620.9677, 391.4526
621.4498, 406.7628
621.9319, 423.0858
622.4140, 441.4353
622.8961, 461.0328
623.3782, 480.4085
623.8604, 499.4143
624.3425, 518.6511
624.8246, 537.8555
625.3067, 557.4677
625.7888, 578.1941
626.2709, 599.5573
626.7531, 620.6953
627.2352, 641.0617
627.7173, 661.2367
628.1994, 682.3347
628.6815, 704.8207
629.1636, 725.9521
629.6458, 745.5756
630.1279, 763.5900
630.6100, 780.0145
631.0921, 795.0547
631.5742, 809.1443
632.0563, 822.7150
632.5385, 834.3833
633.0206, 843.6255
633.5027, 850.1362
633.9848, 853.2863
634.4669, 852.9747
634.9490, 849.6467
635.4312, 843.6165
635.9133, 834.5126
636.3954, 823.1165
636.8775, 807.7188
637.3596, 790.0505
637.8417, 769.4962
638.3239, 747.2939
638.8060, 724.0498
639.2881, 699.9134
639.7702, 675.0583
640.2523, 649.5554
640.7344, 623.4784
641.2166, 597.0397
641.6987, 570.1031
642.1808, 543.7109
642.6629, 517.7976
643.1450, 492.6139
643.6271, 468.3025
644.1093, 444.8148
644.5914, 422.6289
645.0735, 402.7169
645.5556, 383.1821
646.0377, 362.8375
646.5198, 342.4900
647.0020, 323.1208
647.4841, 305.0443
647.9662, 288.6047
648.4483, 274.3201
648.9304, 261.9909
649.4125, 249.4197
649.8947, 236.3649
650.3768, 223.7423
650.8589, 211.3350
651.3410, 199.7302
651.8231, 189.5740
652.3052, 180.6851
652.7874, 172.0804
653.2695, 163.2091
653.7516, 154.4860
654.2337, 146.3145
654.7158, 138.7127
655.1979, 131.9460
655.6801, 126.1569
656.1622, 120.9307
656.6443, 115.8233
657.1264, 110.8463
657.6085, 105.9204
658.0906, 100.9950
658.5728, 96.18670
659.0549, 91.24651
659.5370, 86.64799
660.0191, 82.97816
660.5012, 80.09040
660.9833, 77.07564
661.4655, 73.03074
661.9476, 68.44616
662.4297, 64.97153
662.9118, 62.71626
663.3939, 60.67267
663.8760, 58.67838
664.3582, 56.65745
664.8403, 54.46734
665.3224, 52.09195
665.8045, 49.69470
666.2866, 47.20228
666.7687, 44.86271
667.2509, 42.85992
667.7330, 41.13167
668.2151, 39.55461
668.6972, 38.03123
669.1793, 36.47221
669.6614, 34.74867
670.1436, 32.90457
670.6257, 31.46755
671.1078, 30.72456
671.5899, 29.71556
672.0720, 27.73775
672.5541, 25.71483
673.0363, 24.45930
673.5184, 23.95058
674.0005, 23.41284
674.4826, 22.45715
674.9647, 21.34378
675.4468, 20.25661
675.9290, 19.21181
676.4111, 18.27840
676.8932, 17.48671
677.3753, 16.80021
677.8574, 16.19608
678.3395, 15.69419
678.8217, 15.06968
679.3038, 14.26368
679.7859, 13.46815
680.2680, 12.62996
680.7501, 11.78785
681.2322, 10.95599
681.7144, 10.16917
682.1965, 9.523697
682.6786, 9.200256
683.1607, 8.997337
683.6428, 8.509216
684.1249, 7.767628
