##NAMES=Cryolite
##RRUFFID=R120026
##IDEAL CHEMISTRY=Na_3_AlF_6_
##LOCALITY=Francon quarry, Montréal, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Colorless, pseudo-octahedral crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120026
682.5314, 5.437103
683.0135, 5.995926
683.4957, 6.122253
683.9778, 4.961304
684.4599, 3.300735
684.9420, 2.652710
685.4241, 5.179352
685.9063, 7.115753
686.3884, 6.657471
686.8705, 4.590302
687.3526, 3.396347
687.8347, 3.544388
688.3168, 3.789978
688.7990, 3.871902
689.2811, 3.832245
689.7632, 3.595383
690.2453, 3.130844
690.7274, 2.642075
691.2095, 2.097244
691.6917, 1.791275
692.1738, 2.306061
692.6559, 3.515533
693.1380, 4.392776
693.6201, 3.611053
694.1022, 2.534775
694.5844, 2.577698
695.0665, 4.110672
695.5486, 5.374924
696.0307, 6.065475
696.5128, 6.040817
696.9949, 5.089493
697.4771, 2.264664
697.9592, 0.6006470
698.4413, 0.4974670
698.9234, 1.073486
699.4055, 1.271149
699.8876, 1.081375
700.3698, 1.056839
700.8519, 1.403091
701.3340, 1.846588
701.8161, 2.035675
702.2982, 2.092896
702.7803, 2.136093
703.2625, 2.195129
703.7446, 2.265686
704.2267, 2.368042
704.7088, 2.477814
705.1909, 2.540848
705.6730, 2.524521
706.1552, 2.466873
706.6373, 2.278641
707.1194, 2.034012
707.6015, 2.183411
708.0836, 2.951889
708.5657, 3.427353
709.0479, 3.078064
709.5300, 2.184113
710.0121, 2.031891
710.4942, 2.594193
710.9763, 3.237778
711.4584, 3.942368
711.9406, 4.272141
712.4227, 3.336365
712.9048, 1.148346
713.3869, 0.6172640
713.8690, 1.203751
714.3511, 1.034729
714.8333, 0.1702730
715.3154, 1.935608
715.7975, 2.795135
716.2796, 1.633194
716.7617, 0.1812440
717.2438, 0.1983030
717.7260, 0.5861970
718.2081, 1.649811
718.6902, 3.058899
719.1723, 4.239349
719.6544, 4.408859
720.1365, 3.812820
720.6187, 2.950317
721.1008, 1.721619
721.5829, 0.8682710
722.0650, 1.156219
722.5471, 2.074524
723.0292, 2.946884
723.5114, 3.833755
723.9935, 4.310532
724.4756, 3.940002
724.9577, 3.250656
725.4398, 3.243439
725.9219, 4.299149
726.4041, 4.794632
726.8862, 4.166351
727.3683, 2.994339
727.8504, 2.811508
728.3325, 3.469757
728.8146, 3.976776
729.2968, 3.892929
729.7789, 3.420105
730.2610, 2.278809
730.7431, 0.8509670
731.2252, 0.4031830
731.7073, 2.667557
732.1895, 4.866745
732.6716, 5.832047
733.1537, 5.578384
733.6358, 5.176254
734.1179, 4.526779
734.6000, 3.890961
735.0822, 3.460739
735.5643, 3.182877
736.0464, 2.356415
736.5285, 0.9441530
737.0106, 0.2508700
737.4927, 0.6011350
737.9749, 0.3751070
738.4570, 1.1978000E-02
738.9391, 0.4642940
739.4212, 1.165054
739.9033, 2.730774
740.3854, 4.130219
740.8676, 4.493835
741.3497, 3.339340
741.8318, 2.574356
742.3139, 2.373642
742.7960, 2.508224
743.2781, 2.917236
743.7603, 3.673019
744.2424, 4.183441
744.7245, 4.433624
745.2066, 4.445145
745.6887, 4.217911
746.1708, 3.775375
746.6530, 3.076996
747.1351, 2.025299
747.6172, 1.223434
748.0993, 1.427094
748.5814, 1.990662
749.0635, 2.160217
749.5457, 1.147995
750.0278, 0.7335360
750.5099, 1.394852
750.9920, 2.579178
751.4741, 3.852341
751.9562, 5.459122
752.4384, 5.873138
752.9205, 4.536880
753.4026, 2.659470
753.8847, 2.253220
754.3668, 3.007141
754.8489, 3.656036
755.3311, 3.691711
755.8132, 3.712112
756.2953, 4.944305
756.7774, 6.424973
757.2595, 6.420547
757.7416, 2.041855
758.2238, 1.112869
758.7059, 1.156479
759.1880, 0.6906430
759.6701, 2.076889
760.1522, 3.110275
760.6343, 3.271408
761.1165, 2.038910
