##NAMES=Kuksite
##RRUFFID=R110039
##IDEAL CHEMISTRY=Pb_3_Zn_3_Te^6+^O_6_(PO_4_)_2_
##LOCALITY=Blue Bell claims, Baker, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Brent Thorne
##DESCRIPTION=Pale-green short-primatic hexagonal crystals, associated with colorless elongated tabular hemimorphite and yellow to brown-yellow andradite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110039
564.8950, 10.09509
565.3771, 9.977417
565.8593, 9.686493
566.3414, 9.100739
566.8235, 8.756805
567.3056, 8.777496
567.7877, 8.943298
568.2698, 8.854065
568.7520, 8.519470
569.2341, 8.116913
569.7162, 7.590271
570.1983, 7.115143
570.6804, 7.133118
571.1625, 7.577606
571.6447, 7.920441
572.1268, 7.593140
572.6089, 7.115753
573.0910, 7.016266
573.5731, 7.383392
574.0552, 7.878510
574.5374, 8.546692
575.0195, 9.149109
575.5016, 9.464966
575.9837, 9.072906
576.4658, 8.904816
576.9479, 9.262848
577.4301, 9.855499
577.9122, 10.12454
578.3943, 9.798401
578.8764, 9.548950
579.3585, 9.558228
579.8406, 9.810608
580.3228, 10.13538
580.8049, 10.52142
581.2870, 10.87253
581.7691, 11.15265
582.2512, 11.39008
582.7333, 11.64764
583.2155, 11.94983
583.6975, 12.11316
584.1796, 11.70465
584.6617, 11.11258
585.1439, 10.99689
585.6260, 11.70664
586.1081, 12.66211
586.5902, 13.70511
587.0723, 14.71942
587.5544, 15.48511
588.0366, 15.23529
588.5187, 15.39929
589.0008, 16.80362
589.4829, 19.36877
589.9650, 21.18118
590.4471, 21.75839
590.9293, 22.17542
591.4114, 22.92026
591.8935, 24.03680
592.3756, 25.18478
592.8577, 26.41394
593.3398, 27.52307
593.8220, 28.14148
594.3041, 28.37643
594.7862, 29.11514
595.2683, 30.62509
595.7504, 32.39078
596.2325, 34.06824
596.7147, 35.53769
597.1968, 36.45239
597.6789, 35.72858
598.1610, 35.19482
598.6431, 36.96460
599.1252, 40.35834
599.6074, 42.23935
600.0895, 39.78531
600.5716, 37.02103
601.0537, 36.10590
601.5358, 37.79654
602.0179, 38.44989
602.5001, 37.56976
602.9822, 36.09256
603.4643, 34.65533
603.9464, 33.23087
604.4285, 31.93137
604.9106, 30.80841
605.3928, 29.70789
605.8749, 28.33331
606.3570, 26.69839
606.8391, 25.09543
607.3212, 23.65408
607.8033, 22.23828
608.2855, 20.54538
608.7676, 18.66718
609.2497, 16.87820
609.7318, 15.48660
610.2139, 14.14444
610.6960, 12.44641
611.1782, 10.40198
611.6603, 8.781830
612.1424, 8.293701
612.6245, 7.978149
613.1066, 7.239136
613.5887, 5.843872
614.0709, 4.418427
614.5530, 2.710632
615.0351, 1.194031
615.5172, 0.3923340
615.9993, 0.4384460
616.4814, 0.6325070
