##NAMES=Quenselite
##RRUFFID=R100036
##IDEAL CHEMISTRY=PbMn^3+^O_2_(OH)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Tabular to rectangular blocky, black with a hint of red highlights
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100036
365.2987, 10.18179
365.7808, 10.17970
366.2629, 8.595963
366.7450, 7.833473
367.2271, 8.637688
367.7093, 10.25918
368.1914, 12.03356
368.6735, 14.46417
369.1556, 16.32468
369.6377, 17.12852
370.1198, 17.04218
370.6020, 17.46495
371.0841, 19.28667
371.5662, 20.80024
372.0483, 20.96301
372.5304, 18.47939
373.0125, 17.10976
373.4947, 17.45777
373.9768, 18.79279
374.4589, 19.43125
374.9410, 19.27298
375.4231, 18.60902
375.9052, 17.36491
376.3874, 15.38784
376.8695, 14.03174
377.3516, 13.38937
377.8337, 13.18698
378.3158, 13.06112
378.7979, 12.99166
379.2801, 13.18556
379.7622, 13.86584
380.2443, 14.83572
380.7264, 15.20896
381.2085, 14.94709
381.6906, 14.33617
382.1728, 13.24020
382.6549, 11.83353
383.1370, 11.43921
383.6191, 12.57172
384.1012, 14.27782
384.5833, 14.95195
385.0655, 14.69861
385.5476, 14.33247
386.0297, 14.35044
386.5118, 14.56767
386.9939, 14.57109
387.4760, 14.28123
387.9582, 14.11396
388.4403, 14.23865
388.9224, 14.78406
389.4045, 16.00105
389.8866, 19.09164
390.3687, 22.17212
390.8509, 23.09036
391.3330, 22.02830
391.8151, 21.44843
392.2972, 23.49891
392.7793, 26.40805
393.2614, 28.42786
393.7436, 28.37027
394.2257, 28.34725
394.7078, 29.18967
395.1899, 30.73563
395.6720, 32.56197
396.1541, 34.89430
396.6363, 37.24770
397.1184, 39.23697
397.6005, 40.54006
398.0826, 42.22463
398.5647, 44.96982
399.0468, 48.01614
399.5290, 50.44995
400.0111, 51.71947
400.4932, 53.06661
400.9753, 54.43366
401.4574, 55.76605
401.9395, 57.60683
402.4217, 60.45525
402.9038, 63.47571
403.3859, 66.10336
403.8680, 68.48619
404.3501, 69.92485
404.8322, 70.07581
405.3144, 69.29006
405.7965, 68.86121
406.2786, 69.29636
406.7607, 68.99117
407.2428, 66.68639
407.7249, 62.19334
408.2071, 58.63649
408.6892, 56.39319
409.1713, 54.40142
409.6534, 51.12256
410.1355, 46.64371
410.6176, 42.20498
411.0998, 37.75706
411.5819, 33.69315
412.0640, 31.46834
412.5461, 30.99717
413.0282, 30.28888
413.5103, 27.26067
413.9925, 23.08125
414.4746, 20.17549
414.9567, 19.19895
415.4388, 18.64357
415.9209, 16.86788
416.4030, 14.35229
416.8852, 12.01208
417.3673, 10.21239
417.8494, 8.858334
418.3315, 8.053967
418.8136, 7.820133
419.2957, 7.358719
419.7779, 5.822395
420.2600, 4.086845
420.7421, 2.976543
421.2242, 3.293526
421.7063, 3.718544
422.1884, 3.778397
422.6706, 3.585831
423.1527, 3.565739
423.6348, 4.406815
424.1169, 4.970039
424.5990, 4.558701
425.0811, 2.212753
425.5633, 1.006927
426.0454, 1.887138
426.5275, 3.595871
427.0096, 4.558952
427.4917, 4.412273
427.9738, 4.040916
428.4560, 3.487236
428.9381, 2.771915
429.4202, 2.538937
429.9023, 2.978237
430.3844, 3.552032
430.8665, 3.774673
431.3487, 3.511559
431.8308, 3.811886
432.3129, 4.978210
432.7950, 6.470119
433.2771, 7.105465
433.7592, 6.852604
434.2414, 6.419552
434.7235, 6.085793
435.2056, 5.831074
435.6877, 5.450390
436.1698, 4.907356
436.6519, 4.685383
437.1341, 5.661694
437.6162, 7.357441
438.0983, 8.489910
438.5804, 8.439529
439.0625, 8.072201
439.5446, 8.612835
440.0268, 9.760735
440.5089, 10.41610
440.9910, 9.306049
441.4731, 7.791260
441.9552, 7.176376
442.4373, 7.781452
442.9195, 8.369228
443.4016, 8.226891
443.8837, 7.740986
444.3658, 7.381329
444.8479, 7.842922
445.3300, 7.891453
445.8122, 6.877972
446.2943, 4.943645
446.7764, 3.310005
447.2585, 1.734245
447.7406, 0.8244020
448.2227, 1.030602
448.7049, 3.536350
449.1870, 4.828037
449.6691, 4.235176
450.1512, 2.754559
450.6333, 1.984802
451.1154, 2.237652
451.5976, 2.532982
452.0797, 2.700199
452.5618, 2.724205
453.0439, 2.185211
453.5260, 0.8526690
454.0081, 0.2939610
454.4903, 0.2870100
454.9724, 0.8537710
455.4545, 1.813175
455.9366, 2.539280
456.4187, 2.786385
456.9008, 3.010525
457.3830, 2.772887
457.8651, 2.368778
458.3472, 2.014355
458.8293, 0.7016790
459.3114, 0.6274680
459.7935, 1.794254
460.2757, 2.827576
460.7578, 2.275963
461.2399, 1.003712
461.7220, 0.2365530
462.2041, 0.4891010
462.6862, 0.9689220
463.1684, 1.334614
463.6505, 1.542671
464.1326, 1.482273
464.6147, 0.8203740
465.0968, 0.1162870
465.5789, 0.3576970
466.0611, 0.5729640
466.5432, 0.6322330
467.0253, 0.3333170
467.5074, 2.1820001E-03
467.9895, 8.5414998E-02
468.4716, 0.4837270
468.9538, 0.7735980
469.4359, 0.5097120
469.9180, 6.9649003E-02
470.4001, 0.1359860
470.8822, 0.7026250
471.3643, 1.353203
471.8465, 1.232964
472.3286, 0.2132950
472.8107, 0.1214180
473.2928, 0.4337620
473.7749, 1.179752
474.2570, 1.271149
474.7392, 0.7139550
475.2213, 0.2520450
475.7034, 5.7980001E-02
476.1855, 3.7186000E-02
476.6676, 9.3281001E-02
477.1497, 0.2946280
477.6319, 0.2053410
478.1140, 0.7503700
478.5961, 2.017666
479.0782, 2.540844
479.5603, 2.193260
480.0424, 1.899982
480.5246, 2.760494
481.0067, 4.054226
481.4888, 4.730022
481.9709, 3.631565
482.4530, 2.778145
482.9352, 3.526470
483.4173, 5.393681
483.8994, 6.935234
484.3815, 7.875542
484.8636, 8.168736
485.3457, 7.538956
485.8279, 5.511333
486.3100, 4.329388
486.7921, 4.529789
487.2742, 5.468510
487.7563, 6.628185
488.2384, 8.098091
488.7206, 9.658981
489.2027, 11.38446
489.6848, 13.16904
490.1669, 14.57281
490.6490, 15.49395
491.1311, 16.30133
491.6133, 17.01806
492.0954, 17.65543
492.5775, 19.01387
493.0596, 21.24671
493.5417, 23.52495
494.0238, 24.62524
494.5060, 24.87601
494.9881, 25.88009
495.4702, 28.32550
495.9523, 31.22942
496.4344, 32.90987
496.9165, 33.72675
497.3987, 35.02510
497.8808, 37.93082
498.3629, 41.46874
498.8450, 44.75360
499.3271, 47.73966
499.8092, 50.61250
500.2914, 53.63113
500.7735, 56.52423
501.2556, 59.10624
501.7377, 60.60443
502.2198, 62.61726
502.7019, 65.85966
503.1841, 69.89870
503.6662, 73.57298
504.1483, 77.12536
504.6304, 80.00493
505.1125, 81.92674
505.5946, 82.83743
506.0768, 83.64851
506.5589, 84.62400
507.0410, 85.13093
507.5231, 84.92017
508.0052, 84.17715
508.4873, 81.28389
508.9695, 75.61238
509.4516, 68.53278
509.9337, 62.39174
510.4158, 57.17265
510.8979, 52.62261
511.3800, 48.62622
511.8622, 45.13654
512.3443, 42.24433
512.8264, 39.99888
513.3085, 37.93755
513.7906, 35.99399
514.2728, 33.93655
514.7549, 31.16312
515.2370, 26.93751
515.7191, 23.59612
516.2012, 23.64333
516.6833, 25.53272
517.1655, 26.71802
517.6476, 25.31841
518.1297, 24.01765
518.6118, 23.97660
519.0939, 25.15181
519.5760, 26.24256
520.0582, 26.83431
520.5403, 27.40147
521.0224, 28.09792
521.5045, 28.81780
521.9866, 30.06940
522.4688, 32.06746
522.9509, 34.44285
523.4330, 36.79516
523.9151, 39.12695
524.3972, 41.21653
524.8793, 42.67648
525.3615, 44.10709
525.8436, 47.47252
526.3257, 52.78300
526.8078, 58.12425
527.2899, 62.30404
527.7720, 65.77107
528.2542, 69.51649
528.7363, 73.59763
529.2184, 77.76324
529.7005, 81.55345
530.1826, 85.31541
530.6647, 89.52392
531.1469, 94.28836
531.6290, 99.55364
532.1111, 105.5036
532.5932, 111.8724
533.0753, 118.1026
533.5574, 123.9633
534.0396, 129.7882
534.5217, 135.7147
535.0038, 141.6868
535.4859, 147.8763
535.9680, 154.5819
536.4501, 161.1638
536.9323, 167.2577
537.4144, 172.9519
537.8965, 178.1648
538.3786, 182.8834
538.8607, 187.0646
539.3428, 190.5697
539.8250, 193.4389
540.3071, 195.7996
540.7892, 197.9175
541.2713, 199.3618
541.7534, 198.9771
542.2355, 196.8481
542.7177, 193.4658
543.1998, 188.7438
543.6819, 182.9792
544.1640, 176.5952
544.6461, 169.6399
545.1282, 162.2682
545.6104, 153.9818
546.0925, 145.6713
546.5746, 138.3867
547.0567, 133.6826
547.5388, 128.2413
548.0209, 119.8874
548.5031, 110.1004
548.9852, 101.9605
549.4673, 97.78578
549.9494, 93.40681
550.4315, 87.51395
550.9136, 80.13209
551.3958, 73.87556
551.8779, 69.01789
552.3600, 64.76842
552.8421, 60.55839
553.3242, 56.33075
553.8063, 52.74989
554.2885, 49.94178
554.7706, 47.51022
555.2527, 44.95669
555.7348, 42.30972
556.2169, 39.73757
556.6990, 37.31902
557.1812, 35.00573
