##NAMES=Normandite
##RRUFFID=R120066
##IDEAL CHEMISTRY=NaCa(Mn,Fe)(Ti,Nb,Zr)(Si_2_O_7_)OF
##LOCALITY=Partomchorr Mt., Khibiny Massif, Kola Peninsula, Murmanskaja Oblast', Northern Region, Russia
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Radiating aggregate of brown bladed crystals, twinned around (001)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120066
566.9706, 6.705994
567.4527, 5.742805
567.9348, 4.967369
568.4169, 4.960091
568.8990, 5.588264
569.3812, 5.890266
569.8633, 5.024239
570.3454, 3.724731
570.8275, 3.042915
571.3096, 2.968117
571.7917, 3.124413
572.2739, 3.459984
572.7560, 3.759003
573.2381, 3.565979
573.7202, 2.698082
574.2023, 2.102989
574.6844, 1.860405
575.1666, 1.902267
575.6487, 2.284081
576.1308, 2.910019
576.6129, 3.607346
577.0950, 4.297134
577.5771, 4.907066
578.0593, 5.204430
578.5414, 4.901863
579.0235, 5.085327
579.5056, 6.164932
579.9877, 7.415443
580.4698, 8.530472
580.9520, 9.564598
581.4341, 10.69259
581.9162, 11.96877
582.3983, 13.33281
582.8804, 14.75397
583.3625, 16.27254
583.8447, 17.98616
584.3268, 19.92366
584.8089, 22.04643
585.2910, 24.27764
585.7731, 26.64462
586.2552, 29.28937
586.7374, 32.26042
587.2195, 35.44283
587.7016, 38.97664
588.1837, 42.63000
588.6658, 45.86207
589.1479, 48.55079
589.6301, 51.31119
590.1122, 54.91456
590.5943, 59.41920
591.0764, 64.18748
591.5585, 69.44547
592.0406, 74.74050
592.5228, 79.80946
593.0049, 84.93935
593.4870, 90.35593
593.9691, 96.14960
594.4512, 102.4407
594.9333, 109.4118
595.4155, 117.0254
595.8976, 125.0626
596.3797, 133.5112
596.8618, 142.3298
597.3439, 151.4396
597.8260, 160.9207
598.3082, 170.8238
598.7903, 181.2978
599.2724, 191.8044
599.7545, 202.2012
600.2366, 212.5354
600.7188, 222.9940
601.2009, 233.4754
601.6830, 243.4701
602.1651, 252.7568
602.6472, 261.1461
603.1293, 267.9847
603.6115, 273.5966
604.0936, 276.9096
604.5757, 277.9734
605.0578, 276.9172
605.5399, 273.6135
606.0220, 268.2306
606.5042, 261.1387
606.9863, 252.4656
607.4684, 242.3726
607.9505, 230.9248
608.4326, 218.1124
608.9147, 204.3737
609.3969, 189.4290
609.8790, 174.3030
610.3611, 160.0420
610.8432, 146.5469
611.3253, 133.6642
611.8074, 121.3598
612.2896, 109.6800
612.7717, 98.52303
613.2538, 88.04147
613.7359, 78.52315
614.2180, 70.02597
614.7001, 62.37003
615.1823, 55.30777
615.6644, 48.83884
616.1465, 42.96417
616.6286, 37.94933
617.1107, 33.23084
617.5928, 28.53807
618.0750, 24.14321
618.5571, 20.32864
619.0392, 17.15903
619.5213, 14.52046
620.0034, 12.48540
620.4855, 10.87457
620.9677, 9.237740
621.4498, 7.560249
621.9319, 6.223503
622.4140, 5.514153
622.8961, 5.145088
623.3782, 4.505219
623.8604, 3.538498
624.3425, 2.508743
624.8246, 1.145416
625.3067, 2.0134000E-02
625.7888, 0.5929030
626.2709, 0.6416630
626.7531, 0.3521190
627.2352, 0.1981050
627.7173, 0.8008270
628.1994, 0.9880750
628.6815, 0.5892790
629.1636, 0.4022290
629.6458, 0.7133710
630.1279, 1.011322
630.6100, 0.8805010
631.0921, 0.6377720
631.5742, 0.8243710
632.0563, 1.638855
632.5385, 2.614174
633.0206, 3.425285
633.5027, 4.132324
633.9848, 4.924332
634.4669, 5.835312
634.9490, 6.653488
635.4312, 7.217979
635.9133, 7.592972
636.3954, 7.999420
636.8775, 8.236824
637.3596, 8.692108
637.8417, 9.626770
638.3239, 10.64487
638.8060, 11.30952
639.2881, 11.72765
639.7702, 12.40625
640.2523, 13.70808
640.7344, 15.36460
641.2166, 16.82597
641.6987, 18.08569
642.1808, 19.38727
642.6629, 20.77486
643.1450, 22.19057
643.6271, 23.53115
644.1093, 24.85276
644.5914, 26.38677
645.0735, 28.42269
645.5556, 30.37355
646.0377, 31.82370
646.5198, 33.11046
647.0020, 34.69758
647.4841, 36.65071
647.9662, 38.75394
648.4483, 40.80246
648.9304, 42.81841
649.4125, 45.10239
649.8947, 47.91689
650.3768, 50.47038
650.8589, 52.52635
651.3410, 54.35837
651.8231, 55.98076
652.3052, 57.50119
652.7874, 59.33958
653.2695, 61.99437
653.7516, 64.79381
654.2337, 66.82793
654.7158, 68.23846
655.1979, 69.72858
655.6801, 71.53441
656.1622, 73.26914
656.6443, 74.59078
657.1264, 75.51174
657.6085, 75.65002
658.0906, 74.45651
658.5728, 73.28666
659.0549, 72.89271
659.5370, 72.41750
