##NAMES=Ktenasite
##RRUFFID=R090002
##IDEAL CHEMISTRY=(Cu,Zn)_5_(SO_4_)_2_(OH)_6_&#183;6H_2_O
##LOCALITY=Oh mine, Gila County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Radial aggregates of bluish green tabular crystals associated with serpierite, R060475
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090002
588.0701, 70.86621
588.5522, 73.76703
589.0343, 75.79260
589.5164, 78.37317
589.9985, 81.51941
590.4807, 85.42841
590.9628, 90.47595
591.4449, 96.70514
591.9270, 102.2234
592.4091, 106.7504
592.8912, 111.4798
593.3734, 117.4916
593.8555, 124.6520
594.3376, 132.3213
594.8197, 140.5675
595.3018, 149.0919
595.7839, 157.3760
596.2661, 165.4644
596.7482, 173.7596
597.2303, 183.1973
597.7124, 192.0723
598.1945, 198.0521
598.6766, 202.6312
599.1588, 210.0178
599.6409, 225.5115
600.1230, 240.0865
600.6051, 249.7722
601.0872, 254.1782
601.5693, 259.3734
602.0515, 265.3303
602.5336, 271.7994
603.0157, 278.8823
603.4978, 286.8184
603.9799, 294.0641
604.4620, 300.9091
604.9442, 306.4781
605.4263, 309.3438
605.9084, 309.7525
606.3905, 309.1809
606.8726, 308.0510
607.3547, 305.9040
607.8369, 301.7000
608.3190, 295.9810
608.8011, 290.0497
609.2832, 284.1833
609.7653, 278.6412
610.2474, 273.8109
610.7296, 269.5713
611.2117, 265.1359
611.6938, 261.2773
612.1759, 256.2599
612.6580, 248.7480
613.1401, 237.7536
613.6223, 228.5626
614.1044, 222.1786
614.5865, 216.3309
615.0686, 208.6234
615.5507, 198.5771
616.0328, 191.3570
616.5150, 187.9783
616.9971, 186.4489
617.4792, 184.3521
617.9613, 181.5865
618.4434, 177.8821
618.9255, 173.3517
619.4077, 167.6407
619.8898, 158.5448
620.3719, 147.5844
620.8540, 139.3926
621.3361, 139.6964
621.8182, 140.5825
622.3004, 137.3140
622.7825, 129.7307
623.2646, 122.4991
623.7467, 116.0336
624.2288, 110.6005
624.7109, 106.6514
625.1931, 105.1610
625.6752, 101.5161
626.1573, 94.84430
626.6394, 87.41016
627.1215, 81.35419
627.6036, 76.67560
628.0858, 73.38892
628.5679, 72.00482
629.0500, 70.69452
629.5321, 66.12183
630.0142, 59.22186
630.4963, 53.15466
630.9785, 50.24365
631.4606, 47.57520
631.9427, 41.54810
632.4248, 33.48346
632.9069, 27.57068
633.3890, 27.76154
633.8712, 28.56555
634.3533, 27.22742
634.8354, 23.39850
635.3175, 20.95233
635.7996, 21.08557
636.2817, 21.38171
636.7639, 20.41199
637.2460, 17.78442
637.7281, 15.93549
638.2102, 15.06665
638.6923, 14.34027
639.1744, 12.33228
639.6566, 9.441895
640.1387, 8.277771
640.6208, 9.792175
641.1029, 11.73785
641.5850, 11.68317
642.0671, 10.12885
642.5493, 8.078064
643.0314, 3.892517
643.5135, 1.343201
643.9956, 4.280457
644.4777, 10.68835
644.9598, 14.27655
645.4420, 10.88623
645.9241, 7.325012
646.4062, 5.975281
646.8883, 6.692566
647.3704, 5.634888
647.8525, 1.898865
648.3347, 1.611511
648.8168, 3.229797
649.2989, 3.009399
649.7810, 1.462219
650.2631, 1.562561
650.7452, 4.515076
651.2274, 5.762939
651.7095, 5.819885
652.1916, 5.675720
652.6737, 5.433777
653.1558, 5.286194
653.6379, 5.028564
654.1201, 5.058289
654.6022, 5.897095
655.0843, 9.865540
655.5664, 12.15076
656.0485, 10.24988
656.5306, 6.036499
657.0128, 3.775696
657.4949, 4.163452
657.9770, 5.290405
658.4591, 7.190186
658.9412, 9.397949
659.4233, 9.202026
659.9055, 6.287537
660.3876, 4.497681
660.8697, 7.113220
661.3518, 12.18341
661.8339, 14.96375
662.3160, 15.50574
662.7982, 15.02942
663.2803, 13.75513
663.7624, 12.26172
664.2445, 11.18921
664.7266, 10.70789
665.2087, 10.06012
665.6909, 8.187622
666.1730, 6.519714
666.6551, 6.365540
667.1372, 9.512634
667.6193, 10.92804
668.1014, 9.619812
668.5836, 7.555359
669.0657, 7.611267
669.5478, 9.978027
670.0299, 12.20953
670.5120, 13.87042
670.9941, 15.04675
671.4763, 15.84412
671.9584, 16.27661
672.4405, 16.40851
672.9226, 15.71606
673.4047, 15.19940
673.8868, 16.15527
674.3690, 18.11682
674.8511, 19.45276
675.3332, 19.02960
675.8153, 18.31390
676.2974, 17.93262
676.7795, 17.92200
677.2617, 17.69196
677.7438, 16.81305
678.2259, 16.36047
678.7080, 17.06006
679.1901, 19.01367
679.6722, 20.57147
680.1544, 21.76227
680.6365, 22.51703
681.1186, 22.48627
681.6007, 22.00012
682.0828, 21.92798
682.5649, 22.43066
683.0471, 23.12335
683.5292, 23.74994
684.0113, 24.34528
684.4934, 24.90723
