##NAMES=Petersenite-(Ce)
##RRUFFID=R120035
##IDEAL CHEMISTRY=Na_4_Ce_2_(CO_3_)_5_
##LOCALITY=Mont Saint-Hilaire, Rouville RCM, Montérégie, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Pale yellow or pink (depending on light source) hexagonal prismatic crystals, associated with albite and aegirine.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120035
492.0954, 2.497757
492.5775, 1.952484
493.0596, 1.054710
493.5417, 0.7985990
494.0238, 1.187302
494.5060, 1.728165
494.9881, 2.195457
495.4702, 2.529503
495.9523, 2.541138
496.4344, 2.156342
496.9165, 1.660606
497.3987, 1.278206
497.8808, 1.004387
498.3629, 0.8277280
498.8450, 0.7450260
499.3271, 0.7385640
499.8092, 0.8752750
500.2914, 1.123993
500.7735, 1.249512
501.2556, 1.055061
501.7377, 0.7989500
502.2198, 0.5982210
502.7019, 0.3865430
503.1841, 0.4331130
503.6662, 1.133408
504.1483, 1.959877
504.6304, 2.272430
505.1125, 1.638512
505.5946, 1.198112
506.0768, 1.219780
506.5589, 1.580063
507.0410, 1.589417
507.5231, 1.098320
508.0052, 0.6822130
508.4873, 0.7297060
508.9695, 1.243568
509.4516, 1.462143
509.9337, 1.340485
510.4158, 1.089058
510.8979, 0.9277800
511.3800, 0.8391490
511.8622, 0.7328800
512.3443, 0.5157010
512.8264, 0.3715440
513.3085, 0.6965180
513.7906, 1.356331
514.2728, 1.824699
514.7549, 1.690414
515.2370, 1.310158
515.7191, 0.9632720
516.2012, 0.6729130
516.6833, 0.3914180
517.1655, 1.9699000E-02
517.6476, 0.3765180
518.1297, 0.5165100
518.6118, 0.1715550
519.0939, 0.1003340
519.5760, 0.1514970
520.0582, 7.5957999E-02
520.5403, 0.1118320
521.0224, 0.4773940
521.5045, 0.6432880
521.9866, 0.3411030
522.4688, 0.4250490
522.9509, 0.7513280
523.4330, 0.5302510
523.9151, 0.1299440
524.3972, 0.1891400
524.8793, 0.4226760
525.3615, 0.6675800
525.8436, 0.9617920
526.3257, 1.223022
526.8078, 1.223717
527.2899, 1.011299
527.7720, 0.8781510
528.2542, 1.095596
528.7363, 1.327599
529.2184, 0.9727250
529.7005, 0.1508410
530.1826, 0.5014340
530.6647, 0.5227580
531.1469, 0.2259370
531.6290, 0.1360780
532.1111, 0.5740050
532.5932, 0.8970110
533.0753, 0.9457930
533.5574, 0.8807070
