##NAMES=Corundum
##RRUFFID=X080005
##IDEAL CHEMISTRY=Al_2_O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted pink sapphire gemstone, 2.51 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080005
566.7399, 3.164612
567.2220, 2.905457
567.7042, 2.748047
568.1863, 2.740765
568.6684, 2.890148
569.1505, 3.283394
569.6326, 3.902939
570.1147, 4.484772
570.5969, 4.608753
571.0790, 4.406849
571.5611, 4.769966
572.0432, 5.854576
572.5253, 7.047794
573.0074, 7.933075
573.4896, 8.814972
573.9717, 10.16415
574.4538, 12.07447
574.9359, 14.22391
575.4180, 16.73047
575.9001, 19.26026
576.3823, 21.60744
576.8644, 23.66124
577.3465, 24.69525
577.8286, 24.14466
578.3107, 22.19614
578.7928, 19.75916
579.2750, 16.07526
579.7571, 12.88906
580.2392, 10.36578
580.7213, 8.330700
581.2034, 6.704288
581.6855, 5.444050
582.1677, 4.469730
582.6498, 3.777390
583.1319, 3.278717
583.6140, 2.605751
584.0961, 1.585087
584.5782, 0.9884070
585.0604, 1.394627
585.5425, 2.027248
586.0246, 2.227253
586.5067, 2.002304
586.9889, 1.733685
587.4710, 1.583389
587.9531, 1.478222
588.4352, 1.295326
588.9174, 1.062336
589.3995, 0.9881780
589.8816, 1.214016
590.3637, 1.488945
590.8458, 1.344704
591.3279, 0.5270580
591.8101, 1.6643999E-02
592.2922, 5.9895001E-02
592.7743, 0.1608090
593.2564, 2.2338999E-02
593.7385, 0.2499310
594.2206, 0.4383620
594.7028, 0.4439130
595.1849, 0.2837300
595.6670, 8.6220004E-02
596.1491, 0.7259900
596.6312, 1.121147
597.1133, 1.139423
597.5955, 1.031811
598.0776, 0.8676910
598.5597, 0.6998100
599.0418, 0.6491850
599.5239, 0.8115730
600.0060, 0.9503970
600.4882, 0.8380360
600.9703, 0.5634080
601.4524, 0.3377040
601.9345, 0.2017940
602.4166, 9.8949000E-02
602.8987, 5.0987002E-02
603.3809, 0.2232550
603.8630, 0.1057620
604.3451, 0.7459750
604.8272, 1.270256
605.3093, 0.9451370
605.7914, 0.4048730
606.2736, 0.3166350
606.7557, 0.7279850
607.2378, 1.189522
607.7199, 1.333202
608.2020, 1.204613
608.6841, 1.006779
609.1663, 0.6994090
609.6484, 0.4376070
610.1305, 0.2016110
610.6126, 8.4266998E-02
611.0947, 0.2528570
611.5768, 0.6892890
612.0590, 0.9945530
612.5411, 0.8878860
613.0232, 0.6426890
613.5053, 0.5355380
613.9874, 0.5646250
614.4695, 0.6984790
614.9517, 0.9418560
615.4338, 1.199940
615.9159, 1.310402
616.3980, 1.243145
616.8801, 1.110920
617.3622, 0.8427580
617.8444, 0.6026610
618.3265, 0.4658160
618.8086, 0.4134330
619.2907, 0.3945120
619.7728, 0.3893550
620.2549, 0.3978610
620.7371, 0.3667070
621.2192, 0.3079610
621.7013, 0.5678220
622.1834, 1.398949
622.6655, 2.014130
623.1476, 1.722408
623.6298, 0.9825250
624.1119, 0.5358540
624.5940, 0.4938240
625.0761, 0.5950470
625.5582, 0.8397560
626.0403, 1.112640
626.5225, 1.245346
627.0046, 1.222473
627.4867, 1.184231
627.9688, 1.237869
628.4509, 1.323925
628.9330, 1.269833
629.4152, 1.021297
629.8973, 0.7551880
630.3794, 0.3140070
630.8615, 7.1560000E-03
631.3436, 9.8167002E-02
631.8257, 0.4636570
632.3079, 0.7745360
632.7900, 0.8582040
633.2721, 0.8616260
633.7542, 1.029373
634.2363, 1.332047
634.7184, 1.486118
635.2006, 1.415600
635.6827, 1.253967
636.1648, 1.057064
636.6469, 0.8460540
637.1290, 0.7896310
637.6111, 1.012730
638.0933, 1.234806
638.5754, 1.354134
639.0575, 1.440014
639.5396, 1.614292
640.0217, 1.864388
640.5038, 2.016811
640.9860, 1.904926
641.4681, 1.601692
641.9502, 1.471451
642.4323, 1.567303
642.9144, 1.703102
643.3965, 1.921120
643.8787, 2.113995
644.3608, 2.132099
644.8429, 2.007973
645.3250, 1.980995
645.8071, 2.289154
646.2892, 2.605938
646.7714, 2.536331
647.2535, 2.192226
647.7356, 1.969021
648.2177, 1.993851
648.6998, 1.998676
649.1819, 1.631546
649.6641, 0.8514790
650.1462, 0.4930730
650.6283, 1.013695
651.1104, 1.360897
651.5925, 1.137238
652.0746, 0.7366710
652.5568, 0.5474620
653.0389, 0.6383210
653.5210, 0.8678360
654.0031, 1.146614
654.4852, 1.432251
654.9673, 1.615894
655.4495, 1.696659
655.9316, 1.678207
656.4137, 1.540932
656.8958, 1.329937
657.3779, 1.053410
657.8600, 0.7119790
658.3422, 0.5118940
658.8243, 0.6504590
659.3064, 0.7629510
659.7885, 0.5684320
660.2706, 0.2371940
660.7527, 3.8082000E-02
661.2349, 4.8992001E-02
661.7170, 0.2167930
662.1991, 0.4966470
662.6812, 0.8693700
663.1633, 1.126099
663.6454, 1.281334
664.1276, 1.293304
664.6097, 0.9847340
665.0918, 0.6327930
665.5739, 0.5085600
666.0560, 0.6200790
