##NAMES=Mimetite
##RRUFFID=R130731
##IDEAL CHEMISTRY=Pb^2+^_5_(As^5+^O_4_)_3_Cl
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Bob Downs
##DESCRIPTION=Pale yellow transparent hexagonal prisms, monoclinic polytype
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130731
552.5349, 58.61230
553.0170, 50.49023
553.4991, 47.37677
553.9813, 49.03326
554.4634, 50.49799
554.9455, 50.69568
555.4276, 50.06000
555.9097, 48.34784
556.3918, 46.21936
556.8740, 46.24286
557.3561, 51.45245
557.8382, 58.56195
558.3203, 65.35205
558.8024, 71.64001
559.2845, 73.75464
559.7667, 65.61664
560.2488, 54.92859
560.7309, 48.31830
561.2130, 50.62823
561.6951, 51.62494
562.1772, 47.10760
562.6594, 40.42401
563.1415, 38.20245
563.6236, 44.33282
564.1057, 49.25751
564.5878, 50.40326
565.0699, 48.19397
565.5521, 47.09998
566.0342, 47.23584
566.5163, 48.04852
566.9984, 49.43768
567.4805, 51.38062
567.9626, 53.38385
568.4448, 55.58099
568.9269, 57.01721
569.4090, 56.11725
569.8911, 53.54004
570.3732, 51.01416
570.8553, 48.72052
571.3375, 47.59802
571.8196, 49.93781
572.3017, 54.22607
572.7838, 56.18268
573.2659, 49.04529
573.7480, 43.16718
574.2302, 46.11725
574.7123, 59.75110
575.1944, 68.08990
575.6765, 65.13184
576.1586, 58.28796
576.6407, 52.08466
577.1229, 45.27460
577.6050, 41.83710
578.0871, 43.02332
578.5692, 46.55859
579.0513, 48.26196
579.5334, 47.77246
580.0156, 48.80902
580.4977, 53.33765
580.9798, 59.64697
581.4619, 62.08368
581.9440, 60.94196
582.4261, 60.60016
582.9083, 66.21222
583.3904, 73.71088
583.8725, 77.13129
584.3546, 75.76801
584.8367, 71.48621
585.3188, 61.69189
585.8010, 51.34534
586.2831, 45.75952
586.7652, 49.14600
587.2473, 53.71472
587.7294, 57.82880
588.2115, 61.83563
588.6937, 66.46588
589.1758, 74.26581
589.6579, 79.24017
590.1400, 78.97424
590.6221, 73.80212
591.1042, 70.24030
591.5864, 68.27209
592.0685, 68.02216
592.5506, 70.07947
593.0327, 74.36572
593.5148, 79.11603
593.9969, 84.45013
594.4791, 89.02905
594.9612, 91.55548
595.4433, 92.25104
595.9254, 91.12018
596.4075, 85.66345
596.8896, 81.89532
