##NAMES=Blatonite
##RRUFFID=R060594
##IDEAL CHEMISTRY=UO_2_CO_3_&#183;H_2_O
##LOCALITY=Jomac mine, San Juan County, Utah, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellow acicular crystals. No diffraction spots, just some streaks
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060594
563.142, 1808.111
563.624, 1709.568
564.106, 1631.596
564.588, 1586.430
565.070, 1528.105
565.552, 1443.832
566.034, 1361.307
566.516, 1330.721
566.999, 1356.232
567.481, 1364.508
567.963, 1328.455
568.445, 1266.205
568.927, 1210.027
569.409, 1161.533
569.891, 1127.996
570.373, 1143.088
570.856, 1163.977
571.338, 1125.363
571.820, 1014.893
572.302, 902.963
572.784, 824.451
573.266, 769.346
573.748, 725.559
574.230, 698.930
574.713, 672.660
575.195, 643.758
575.677, 612.844
576.159, 581.562
576.641, 552.613
577.123, 520.791
577.605, 482.422
578.087, 439.488
578.570, 394.490
579.052, 344.303
579.534, 300.514
580.016, 274.537
580.498, 265.701
580.980, 258.457
581.462, 250.041
581.944, 247.332
582.426, 275.334
582.909, 318.486
583.391, 329.914
583.873, 256.953
584.355, 171.166
584.837, 136.900
585.319, 145.252
585.801, 158.902
586.283, 167.586
586.765, 172.955
587.248, 173.170
587.730, 162.850
588.212, 166.967
588.694, 212.275
589.176, 258.758
589.658, 272.830
590.140, 241.777
590.622, 206.578
591.104, 168.055
591.587, 130.049
592.069, 104.084
592.551, 91.041
593.033, 76.137
593.515, 46.740
593.997, 13.840
594.479, 21.318
594.961, 66.658
595.443, 94.902
595.926, 37.949
596.408, 49.002
596.890, 88.537
597.372, 61.213
597.854, 26.199
598.336, 12.879
598.818, 12.367
599.300, 13.553
599.783, 0.234
600.265, 4.129
600.747, 51.166
601.229, 122.418
601.711, 155.891
602.193, 135.840
602.675, 103.730
603.157, 68.922
603.640, 32.053
604.122, 12.498
604.604, 13.416
605.086, 18.891
605.568, 18.443
606.050, 11.766
606.532, 4.914
607.014, 34.551
607.497, 63.893
607.979, 76.732
608.461, 78.766
608.943, 81.611
609.425, 95.520
609.907, 105.717
610.389, 102.477
610.871, 88.279
611.353, 72.451
611.836, 54.586
612.318, 38.379
612.800, 23.762
613.282, 9.498
613.764, 10.424
614.246, 37.805
614.728, 66.254
615.210, 74.326
615.692, 59.359
616.175, 49.623
616.657, 46.621
617.139, 52.068
617.621, 73.238
618.103, 106.951
618.585, 137.666
619.067, 160.498
619.549, 175.113
620.031, 176.631
620.514, 169.340
620.996, 168.041
621.478, 184.676
621.960, 205.672
622.442, 219.312
622.924, 222.561
623.406, 239.123
623.888, 304.260
624.370, 361.045
624.853, 371.738
625.335, 310.789
625.817, 259.592
626.299, 216.578
626.781, 187.158
627.263, 183.783
627.745, 207.688
628.227, 229.133
628.710, 244.562
629.192, 248.490
629.674, 223.686
630.156, 174.920
630.638, 126.932
631.120, 83.480
631.602, 53.721
632.084, 56.684
632.567, 91.467
633.049, 113.297
633.531, 76.836
634.013, 37.951
634.495, 39.473
634.977, 121.090
635.459, 167.516
635.941, 150.885
636.424, 116.006
636.906, 117.717
637.388, 170.752
637.870, 205.262
638.352, 206.152
638.834, 185.707
