##NAMES=Lanarkite
##RRUFFID=R080116
##IDEAL CHEMISTRY=Pb_2_O(SO_4_)
##LOCALITY=Leadhills, Lanarkshire,  Scotland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Cream colored, elongated prismatic crystals
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080116
473.7078, 185.0273
474.1899, 194.4761
474.6721, 205.0164
475.1542, 216.6472
475.6363, 230.0694
476.1184, 244.8887
476.6005, 258.6985
477.0826, 269.2096
477.5648, 278.9222
478.0469, 293.1604
478.5290, 311.4117
479.0111, 329.0139
479.4932, 342.5726
479.9753, 353.7078
480.4575, 364.4499
480.9396, 375.4944
481.4217, 385.1939
481.9038, 392.0616
482.3859, 396.8196
482.8680, 400.4873
483.3502, 402.7314
483.8323, 404.6213
484.3144, 408.1016
484.7965, 412.7004
485.2786, 412.1573
485.7607, 401.9611
486.2429, 389.0981
486.7250, 376.9459
487.2071, 366.0488
487.6892, 355.1581
488.1713, 344.9484
488.6534, 334.3054
489.1356, 320.8468
489.6177, 302.8457
490.0998, 287.1470
490.5819, 276.1738
491.0640, 268.5177
491.5461, 256.7084
492.0283, 240.1246
492.5104, 223.8634
492.9925, 211.7964
493.4746, 203.0590
493.9567, 194.8375
494.4388, 186.8939
494.9210, 178.9517
495.4031, 170.3171
495.8852, 161.3171
496.3673, 152.5143
496.8494, 144.0342
497.3315, 136.0306
497.8137, 128.3717
498.2958, 121.1296
498.7779, 115.0906
499.2600, 111.9427
499.7421, 109.2010
500.2242, 104.8352
500.7064, 97.99811
501.1885, 91.81909
501.6706, 87.25323
502.1527, 83.90375
502.6348, 81.47510
503.1169, 82.53168
503.5991, 81.38928
504.0812, 76.15698
504.5633, 68.17230
505.0454, 62.24652
505.5275, 58.95264
506.0096, 56.99744
506.4918, 56.26373
506.9739, 56.91687
507.4560, 56.49493
507.9381, 54.81006
508.4202, 52.53265
508.9023, 50.13318
509.3845, 47.62500
509.8666, 45.47626
510.3487, 43.79553
510.8308, 42.37573
511.3129, 40.76105
511.7950, 39.03931
512.2772, 37.61273
512.7593, 37.55054
513.2414, 37.38055
513.7235, 34.53729
514.2056, 29.18317
514.6877, 24.93079
515.1699, 25.06244
515.6520, 26.77466
516.1341, 27.65094
516.6162, 27.56226
517.0983, 25.83722
517.5804, 20.32855
518.0626, 13.59259
518.5447, 9.713318
519.0268, 12.89093
519.5089, 15.11218
519.9910, 13.92334
520.4731, 9.654053
520.9553, 7.474670
521.4374, 9.001953
521.9195, 10.31061
522.4016, 8.418091
522.8837, 2.000671
523.3658, 3.7781000E-02
523.8480, 3.908752
524.3301, 9.666199
524.8122, 11.98724
525.2943, 10.97113
525.7764, 9.468811
526.2585, 8.114258
526.7407, 6.969177
527.2228, 5.665588
527.7049, 4.359741
528.1870, 4.286621
528.6691, 8.192383
529.1512, 12.68958
529.6334, 13.04852
530.1155, 8.792480
530.5976, 5.004639
531.0797, 5.005249
531.5618, 6.783691
532.0439, 8.328125
532.5261, 8.336365
533.0082, 9.204834
533.4903, 13.04132
533.9724, 18.01996
534.4545, 20.27289
534.9366, 16.66461
535.4188, 13.50055
535.9009, 12.37531
536.3830, 13.24097
536.8651, 13.91022
537.3472, 14.71240
537.8293, 14.71387
538.3115, 12.46759
538.7936, 7.615234
539.2757, 6.343750
539.7578, 9.762512
540.2399, 14.54248
540.7220, 16.51483
541.2042, 15.91705
541.6863, 14.05072
542.1684, 10.40930
542.6505, 6.735901
543.1326, 5.973145
543.6147, 7.482300
544.0969, 8.810486
544.5790, 8.275818
545.0611, 7.114746
545.5432, 6.270752
546.0253, 5.833801
546.5074, 5.573608
546.9896, 5.421082
547.4717, 5.403137
547.9538, 5.579773
548.4359, 7.375244
548.9180, 7.399231
549.4001, 3.562988
549.8823, 1.628845
550.3644, 3.736694
550.8465, 0.9254760
551.3286, 1.474060
551.8107, 2.046875
552.2928, 1.053650
552.7750, 0.4667360
553.2571, 0.3792110
553.7392, 0.2139890
554.2213, 0.6640010
554.7034, 2.033752
555.1855, 2.501526
555.6677, 1.893738
556.1498, 1.222656
556.6319, 2.071350
557.1140, 3.594788
557.5961, 3.888245
558.0782, 1.676575
558.5604, 0.6837770
559.0425, 1.201477
559.5246, 0.4149780
560.0067, 0.4873050
560.4888, 1.898926
560.9709, 2.506104
561.4531, 1.094055
561.9352, 2.343445
562.4173, 4.638428
562.8994, 4.818298
563.3815, 4.183044
563.8636, 3.244751
564.3458, 1.689209
564.8279, 0.7998050
565.3100, 0.7892460
565.7921, 1.132263
566.2742, 0.9219360
566.7563, 1.9531000E-02
567.2385, 0.4671020
567.7206, 3.629089
568.2027, 7.514099
568.6848, 6.573425
569.1669, 1.575745
569.6490, 1.555054
570.1312, 2.088684
570.6133, 8.671814
571.0954, 12.49188
571.5775, 13.59741
572.0596, 14.44031
572.5417, 17.15106
573.0239, 20.10132
573.5060, 21.61517
573.9881, 20.73218
574.4702, 20.33331
574.9523, 21.09589
575.4344, 22.86383
575.9166, 25.46857
576.3987, 29.45123
576.8808, 33.57117
577.3629, 37.50964
577.8450, 41.49915
578.3271, 46.49591
578.8093, 52.73621
579.2914, 58.82379
579.7735, 63.68414
580.2556, 67.72266
580.7377, 73.50726
581.2198, 80.85809
581.7020, 91.94830
582.1841, 109.9966
582.6662, 132.9085
583.1483, 155.7231
583.6304, 177.0610
584.1125, 200.4736
584.5947, 227.5375
585.0768, 258.7961
585.5589, 295.2551
586.0410, 336.6340
586.5231, 384.4695
587.0052, 443.1885
587.4874, 509.0258
587.9695, 570.8923
588.4516, 631.2054
588.9337, 683.3764
589.4158, 723.1387
589.8979, 750.1598
590.3801, 779.9100
590.8622, 812.0600
591.3443, 848.5288
591.8264, 889.8621
592.3085, 936.1487
592.7906, 987.8292
593.2728, 1045.097
593.7549, 1107.304
594.2370, 1172.162
594.7191, 1241.878
595.2012, 1323.073
595.6833, 1417.775
596.1655, 1524.813
596.6476, 1648.131
597.1297, 1782.355
597.6118, 1917.821
598.0939, 2056.066
598.5760, 2188.800
599.0582, 2317.731
599.5403, 2438.822
600.0224, 2537.873
600.5045, 2587.961
600.9866, 2635.804
601.4688, 2713.155
601.9509, 2841.764
602.4330, 2912.756
602.9151, 2952.633
603.3972, 2896.647
603.8793, 2657.649
604.3615, 2215.132
604.8436, 1789.315
605.3257, 1398.033
605.8078, 1057.934
606.2899, 809.7834
606.7720, 643.4830
607.2542, 523.9112
607.7363, 449.2306
608.2184, 402.5685
608.7005, 371.2885
609.1826, 353.2975
609.6647, 342.5461
610.1469, 338.3491
610.6290, 338.2409
611.1111, 340.3865
611.5932, 344.5977
612.0753, 353.4996
612.5574, 369.0654
613.0396, 388.5876
613.5217, 410.5733
614.0038, 436.1777
614.4859, 461.7803
614.9680, 487.1873
615.4501, 512.8529
615.9323, 538.6402
616.4144, 564.2371
616.8965, 593.6910
617.3786, 628.2292
617.8607, 665.6039
618.3428, 709.0116
618.8250, 754.0092
619.3071, 782.0468
619.7892, 794.2083
620.2713, 778.3815
620.7534, 710.9432
621.2355, 600.1905
621.7177, 487.1827
622.1998, 379.0335
622.6819, 284.6608
623.1640, 208.4120
623.6461, 151.3102
624.1282, 108.2410
624.6104, 85.64697
625.0925, 70.61017
625.5746, 55.19696
626.0567, 37.34113
626.5388, 24.85913
627.0209, 19.04626
627.5031, 16.83716
627.9852, 14.84076
628.4673, 13.03931
628.9494, 10.56720
629.4315, 6.813049
629.9136, 3.035217
630.3958, 1.649597
630.8779, 1.961121
631.3600, 1.920593
631.8421, 0.1928100
632.3242, 1.980652
632.8063, 3.911011
633.2885, 5.520813
633.7706, 6.635620
634.2527, 6.710083
634.7348, 6.677185
635.2169, 7.232239
635.6990, 8.686890
636.1812, 8.741028
636.6633, 6.382080
637.1454, 3.902527
637.6275, 3.131775
638.1096, 4.408569
638.5917, 4.983765
639.0739, 4.593018
639.5560, 3.930298
640.0381, 3.943909
640.5202, 4.479858
641.0023, 4.961060
641.4844, 5.558105
641.9666, 5.413086
642.4487, 2.440796
642.9308, 1.924011
643.4129, 4.521545
643.8950, 2.383728
644.3771, 0.1983030
644.8593, 1.042297
645.3414, 0.4890140
645.8235, 0.6660160
646.3056, 4.142822
646.7877, 5.974365
647.2698, 3.765869
647.7520, 2.725586
648.2341, 6.266785
648.7162, 6.233887
649.1983, 4.955383
649.6804, 3.594849
650.1625, 2.265015
650.6447, 2.389771
651.1268, 4.203491
651.6089, 6.115295
652.0910, 6.066406
652.5731, 5.045776
653.0552, 4.908142
653.5374, 6.488770
654.0195, 8.092468
654.5016, 8.228088
654.9837, 7.862732
655.4658, 8.412109
655.9479, 12.25079
656.4301, 14.72168
656.9122, 13.70398
657.3943, 10.72144
657.8764, 10.05841
658.3585, 12.78082
658.8406, 15.32428
659.3228, 16.65955
659.8049, 16.88934
660.2870, 16.11926
660.7691, 14.27948
661.2512, 13.00201
661.7333, 14.17371
662.2155, 16.37421
662.6976, 16.29065
663.1797, 13.89893
663.6618, 12.40613
664.1439, 15.40448
664.6260, 19.47778
665.1082, 21.41870
665.5903, 20.02283
666.0724, 18.86163
666.5545, 18.91956
667.0366, 19.55310
667.5187, 20.15375
668.0009, 20.65979
668.4830, 21.35352
668.9651, 22.42511
669.4472, 23.50330
669.9293, 23.77368
670.4114, 23.22430
670.8936, 23.36084
671.3757, 24.94250
671.8578, 26.84961
672.3399, 27.18060
672.8220, 26.24017
673.3041, 25.08649
673.7863, 23.82458
674.2684, 22.88086
674.7505, 22.52319
675.2326, 22.74042
675.7147, 23.46564
676.1968, 25.51404
676.6790, 27.29083
677.1611, 27.93274
677.6432, 27.39209
678.1253, 27.12134
678.6074, 27.04510
679.0895, 27.39044
679.5717, 28.58337
680.0538, 30.63397
680.5359, 31.59210
681.0180, 31.28143
681.5001, 30.95215
681.9822, 32.04999
682.4644, 33.99536
682.9465, 35.72821
683.4286, 37.20746
683.9107, 37.89227
684.3928, 36.78821
684.8749, 34.89441
685.3571, 33.44977
685.8392, 32.83948
686.3213, 32.59320
686.8034, 32.75378
687.2855, 33.19604
687.7676, 33.85120
688.2498, 35.15540
688.7319, 35.53302
689.2140, 34.24237
689.6961, 32.11548
690.1782, 31.67145
690.6603, 32.82782
691.1425, 34.04108
691.6246, 34.75867
692.1067, 35.13452
692.5888, 35.51526
693.0709, 35.71375
693.5530, 34.98840
694.0352, 31.35260
694.5173, 28.29114
694.9994, 28.66168
695.4815, 32.61298
695.9636, 34.55145
696.4457, 31.26550
696.9279, 28.28259
697.4100, 28.52283
697.8921, 32.72479
698.3742, 34.56976
698.8563, 33.51312
699.3384, 31.77899
699.8206, 31.29388
700.3027, 32.05304
700.7848, 33.62677
701.2669, 36.01434
