##NAMES=Uramarsite
##RRUFFID=R061122
##IDEAL CHEMISTRY=N^3-^H_4_(U^6+^O_2_)As^5+^O_4_&#183;3H_2_O
##LOCALITY=Bota-Burum Uranium deposit, Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brownish green cleavage fragment, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061122
581.9859, 61.03613
582.4680, 59.50952
582.9501, 55.58716
583.4323, 51.76758
583.9144, 47.12354
584.3965, 44.44946
584.8786, 47.33862
585.3607, 56.87207
585.8428, 66.03540
586.3250, 74.98120
586.8071, 81.02710
587.2892, 81.09644
587.7713, 65.33618
588.2534, 55.66895
588.7355, 58.20728
589.2177, 66.82349
589.6998, 66.89136
590.1819, 53.35474
590.6640, 42.38013
591.1461, 39.63525
591.6282, 45.07959
592.1104, 54.01733
592.5925, 66.57983
593.0746, 76.77393
593.5567, 79.06812
594.0388, 75.36011
594.5209, 71.34766
595.0031, 67.53125
595.4852, 63.05566
595.9673, 56.63843
596.4494, 49.47339
596.9315, 42.92944
597.4136, 37.92578
597.8958, 33.30762
598.3779, 26.22729
598.8600, 18.90552
599.3421, 18.18506
599.8242, 34.06714
600.3063, 49.37183
600.7885, 60.08179
601.2706, 66.10962
601.7527, 64.79980
602.2348, 49.83521
602.7169, 37.92847
603.1990, 44.94922
603.6812, 74.32520
604.1633, 79.94116
604.6454, 54.03271
605.1275, 22.27856
605.6096, 21.51880
606.0917, 44.40405
606.5739, 60.74268
607.0560, 58.65063
607.5381, 50.95947
608.0202, 52.31152
608.5023, 59.97632
608.9844, 66.05298
609.4666, 63.91650
609.9487, 61.41357
610.4308, 64.53320
610.9129, 73.46387
611.3950, 78.28101
611.8771, 74.20557
612.3593, 67.49463
612.8414, 61.27344
613.3235, 54.59766
613.8056, 51.55811
614.2877, 53.71338
614.7698, 57.68481
615.2520, 59.59131
615.7341, 59.40332
616.2162, 57.63013
616.6983, 53.49854
617.1804, 49.26367
617.6625, 51.04785
618.1446, 47.28857
618.6267, 64.52808
619.1088, 75.00171
619.5909, 79.07251
620.0731, 57.56079
620.5552, 69.08594
621.0373, 67.37598
621.5194, 65.12280
622.0015, 81.30371
622.4836, 63.52002
622.9658, 79.40918
623.4479, 81.85815
623.9300, 90.45972
624.4121, 85.73975
624.8942, 85.13599
625.3763, 75.43677
625.8585, 74.44849
626.3406, 84.14307
626.8227, 97.59937
627.3048, 98.49219
627.7869, 86.87744
628.2690, 77.44580
628.7512, 78.36328
629.2333, 84.03979
629.7154, 82.52637
630.1975, 75.03320
630.6796, 69.10522
631.1617, 73.04370
631.6439, 78.85229
632.1260, 79.93066
632.6081, 75.52393
633.0902, 66.82080
633.5723, 47.81641
634.0544, 28.38892
634.5366, 16.53149
635.0187, 21.18677
635.5008, 20.85034
635.9829, 9.983643
636.4650, 2.520752
636.9471, 0.6730960
637.4293, 19.65991
637.9114, 34.67358
638.3935, 37.95654
638.8756, 32.28516
639.3577, 22.66406
639.8398, 9.500977
640.3220, 1.355957
640.8041, 5.572754
641.2862, 6.077148
641.7683, 6.702148
642.2504, 7.487305
642.7325, 6.639160
643.2147, 3.073486
643.6968, 2.589111
644.1789, 10.30273
644.6610, 21.74390
645.1431, 31.00732
645.6252, 37.37939
646.1074, 41.16235
646.5895, 42.28003
647.0716, 39.66870
647.5537, 38.13818
648.0358, 37.70435
648.5179, 38.28687
649.0001, 40.04956
649.4822, 42.94678
649.9643, 41.65161
650.4464, 31.54492
650.9285, 18.02124
651.4106, 9.679443
651.8928, 6.621338
652.3749, 8.121338
652.8570, 18.14819
653.3391, 28.17065
653.8212, 30.66943
654.3033, 24.80200
654.7855, 17.15186
655.2676, 2.403564
655.7497, 8.159912
656.2318, 5.890625
656.7139, 18.14697
657.1960, 35.63428
657.6782, 46.74805
658.1603, 50.81177
658.6424, 43.34619
659.1245, 22.64990
659.6066, 11.51807
660.0887, 16.75513
660.5709, 29.71362
661.0530, 35.42725
661.5351, 34.88184
662.0172, 33.68994
662.4993, 32.78589
662.9814, 33.48755
663.4636, 39.90479
663.9457, 50.45288
664.4278, 55.83960
664.9099, 42.24170
665.3920, 29.98560
665.8741, 30.76392
666.3563, 48.22485
666.8384, 60.94751
667.3205, 68.23804
667.8026, 72.64917
668.2847, 74.99219
668.7668, 75.01440
669.2490, 69.49390
669.7311, 57.33105
670.2132, 44.06812
670.6953, 35.37329
671.1774, 31.53174
671.6595, 32.29614
672.1417, 38.95386
672.6238, 46.09351
673.1059, 46.87476
673.5880, 44.54907
674.0701, 45.36890
674.5522, 58.17944
675.0344, 67.90918
675.5165, 67.03931
675.9986, 57.51025
676.4807, 50.01807
676.9628, 44.66113
677.4449, 41.73901
677.9271, 41.25781
678.4092, 43.18359
678.8913, 50.70874
679.3734, 66.11768
679.8555, 77.54077
680.3376, 72.88354
680.8198, 57.15381
681.3019, 46.78857
681.7840, 43.16064
682.2661, 42.28125
682.7482, 41.54395
683.2303, 41.93774
683.7125, 43.72095
684.1946, 47.87085
684.6767, 50.97266
685.1588, 52.41919
