##NAMES=Cuprite
##RRUFFID=R140763
##IDEAL CHEMISTRY=Cu^1+^_2_O
##LOCALITY=Milpillas mine, Municipio de Santa Cruz, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Semimetallic deep red, massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R140763
398.3379, 46.33521
398.8200, 48.00546
399.3021, 49.60193
399.7842, 50.89832
400.2664, 51.88431
400.7485, 52.85562
401.2306, 53.95984
401.7127, 54.84125
402.1948, 55.22620
402.6769, 54.69022
403.1591, 54.70166
403.6412, 55.51624
404.1233, 56.79282
404.6054, 57.73657
405.0875, 58.20682
405.5696, 58.86325
406.0518, 60.14502
406.5339, 62.03625
407.0160, 62.96182
407.4981, 62.90665
407.9802, 62.37347
408.4623, 61.64185
408.9445, 60.69333
409.4266, 59.79752
409.9087, 58.95657
410.3908, 58.34491
410.8729, 58.49402
411.3550, 59.36798
411.8372, 60.21738
412.3193, 60.69144
412.8014, 60.76993
413.2835, 60.33670
413.7656, 59.29733
414.2477, 58.03198
414.7299, 56.80341
415.2120, 55.65637
415.6941, 54.71936
416.1762, 54.05341
416.6583, 53.60690
417.1404, 53.57297
417.6226, 53.91025
418.1047, 53.73883
418.5868, 52.11273
419.0689, 49.93033
419.5510, 48.02869
420.0331, 46.68216
420.5153, 45.60394
420.9974, 44.90805
421.4795, 44.42407
421.9616, 43.72620
422.4437, 42.70670
422.9258, 41.46252
423.4080, 39.96991
423.8901, 38.10428
424.3722, 36.45261
424.8543, 35.21567
425.3364, 34.15009
425.8185, 33.00476
426.3007, 31.43915
426.7828, 30.31927
427.2649, 30.12000
427.7470, 30.59030
428.2291, 29.89325
428.7112, 27.29230
429.1934, 24.79190
429.6755, 23.70673
430.1576, 24.50201
430.6397, 24.17804
431.1218, 22.27209
431.6039, 19.84061
432.0861, 18.61533
432.5682, 18.67462
433.0503, 18.85565
433.5324, 18.98041
434.0145, 18.88354
434.4966, 17.71146
434.9788, 15.43124
435.4609, 13.20316
435.9430, 12.16516
436.4251, 11.94778
436.9072, 11.49619
