##NAMES=Hydrotungstite
##RRUFFID=R120058
##IDEAL CHEMISTRY=WO_2_(OH)_2_&#183;H_2_O
##LOCALITY=Mundo Nuevo, La Libertad, Peru
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Greenish yellow cubes, associated with ferberite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120058
515.3841, 32.61496
515.8662, 32.79974
516.3483, 33.18517
516.8304, 34.09018
517.3126, 34.79912
517.7947, 35.16011
518.2768, 35.19759
518.7589, 34.83049
519.2410, 33.98694
519.7231, 33.14952
520.2053, 33.13770
520.6874, 34.06039
521.1695, 35.00819
521.6516, 35.94986
522.1337, 36.54868
522.6158, 36.57428
523.0980, 36.19958
523.5801, 35.83241
524.0622, 35.40790
524.5443, 35.28758
525.0264, 36.06262
525.5085, 37.52045
525.9907, 38.61588
526.4728, 38.95110
526.9549, 38.97408
527.4370, 39.39977
527.9191, 40.36816
528.4012, 40.98825
528.8834, 41.00606
529.3655, 40.78621
529.8476, 40.29626
530.3297, 39.77121
530.8118, 39.82332
531.2939, 40.81230
531.7761, 42.35892
532.2582, 43.50365
532.7403, 43.98453
533.2224, 44.52306
533.7045, 45.59915
534.1866, 46.32848
534.6688, 45.81076
535.1509, 44.41626
535.6330, 43.29297
536.1151, 43.18895
536.5972, 43.91280
537.0793, 45.04572
537.5615, 46.70381
538.0436, 47.55994
538.5257, 46.51654
539.0078, 45.02605
539.4899, 44.48453
539.9720, 44.88841
540.4542, 45.08896
540.9363, 44.07237
541.4184, 42.72549
541.9005, 42.69542
542.3826, 43.92534
542.8647, 44.33398
543.3469, 42.62741
543.8290, 39.67049
544.3111, 37.66928
544.7932, 36.92590
545.2753, 36.22308
545.7574, 35.46054
546.2396, 34.64804
546.7217, 33.89685
547.2038, 33.12015
547.6859, 31.99808
548.1680, 30.27417
548.6501, 28.09085
549.1323, 26.08554
549.6144, 24.48410
550.0965, 22.64923
550.5786, 19.88098
551.0607, 17.35672
551.5428, 16.35519
552.0250, 16.64932
552.5071, 16.55829
552.9892, 14.50177
553.4713, 11.26926
553.9534, 9.253723
554.4355, 8.692017
554.9177, 8.227936
555.3998, 7.454926
555.8819, 6.396515
556.3640, 5.096069
556.8461, 3.526855
557.3282, 1.889038
557.8104, 6.4727999E-02
558.2925, 1.845032
558.7746, 2.608582
559.2567, 2.462555
559.7388, 2.647430
560.2209, 3.997772
560.7031, 6.044647
561.1852, 7.281433
561.6673, 6.885101
562.1494, 6.814697
562.6315, 7.308258
563.1136, 7.977509
563.5958, 8.514587
564.0779, 8.914154
564.5600, 9.395386
565.0421, 10.15225
565.5242, 11.05167
566.0063, 11.62564
566.4885, 11.81271
566.9706, 11.87836
567.4527, 12.07596
567.9348, 11.99832
568.4169, 10.83722
568.8990, 8.882141
569.3812, 7.971924
569.8633, 10.17410
570.3454, 13.44092
570.8275, 14.71021
571.3096, 14.06662
571.7917, 13.13727
572.2739, 12.50034
572.7560, 12.07254
573.2381, 11.75165
573.7202, 11.64090
574.2023, 11.16125
574.6844, 9.901764
575.1666, 8.532593
575.6487, 7.530701
576.1308, 6.809296
576.6129, 5.949127
577.0950, 4.694489
577.5771, 3.490082
578.0593, 3.525299
578.5414, 5.749420
579.0235, 6.561401
579.5056, 4.443817
579.9877, 2.120941
580.4698, 0.4515690
580.9520, 0.4277040
581.4341, 0.2555850
581.9162, 1.659607
582.3983, 3.468445
582.8804, 2.112793
583.3625, 2.078583
583.8447, 5.207520
584.3268, 6.050903
584.8089, 6.285461
585.2910, 7.717529
585.7732, 10.19122
586.2553, 12.01593
586.7374, 12.56650
587.2195, 12.93948
587.7017, 13.77179
588.1838, 14.78479
588.6659, 15.28836
589.1480, 15.12244
589.6301, 15.07446
590.1122, 16.14380
590.5944, 18.41818
591.0765, 21.00867
591.5586, 24.51544
592.0407, 27.64493
592.5228, 30.37125
593.0049, 32.42874
593.4871, 33.01492
593.9692, 32.01459
594.4513, 31.44171
594.9334, 33.72159
595.4155, 38.15451
595.8976, 41.63763
596.3798, 43.89447
596.8619, 45.66660
597.3440, 47.40329
597.8261, 48.88522
598.3082, 49.43481
598.7903, 48.16776
599.2725, 48.20059
599.7546, 51.49637
600.2367, 55.99973
600.7188, 59.61804
601.2009, 62.18808
601.6830, 64.42975
602.1652, 66.85513
602.6473, 69.32712
603.1294, 71.29330
603.6115, 72.27628
604.0936, 73.63602
604.5757, 75.26279
605.0579, 77.40173
605.5400, 80.46674
606.0221, 84.19669
606.5042, 87.88522
606.9863, 91.13110
607.4684, 94.08453
607.9506, 96.94952
608.4327, 99.73798
608.9148, 102.5312
609.3969, 105.2438
609.8790, 108.2449
610.3611, 112.2191
610.8433, 117.0432
611.3254, 121.0416
611.8075, 123.4635
612.2896, 125.6934
612.7717, 127.9265
613.2538, 130.5859
613.7360, 134.4667
614.2181, 139.7651
614.7002, 145.7477
615.1823, 151.5696
615.6644, 157.1586
616.1465, 163.5426
616.6287, 172.2195
617.1108, 179.7309
617.5929, 184.2545
618.0750, 187.6473
618.5571, 191.7122
619.0392, 196.8548
619.5214, 202.7004
620.0035, 209.0774
620.4856, 215.7907
620.9677, 222.3538
621.4498, 228.7149
621.9319, 235.9173
622.4141, 244.7561
622.8962, 254.4032
623.3783, 263.0056
623.8604, 269.8297
624.3425, 278.1155
624.8246, 289.4218
625.3068, 301.1686
625.7889, 311.6620
626.2710, 321.2241
626.7531, 330.7220
627.2352, 340.3955
627.7173, 351.0996
628.1995, 365.1758
628.6816, 383.7784
629.1637, 400.3373
629.6458, 413.3866
630.1279, 425.6159
630.6100, 437.1552
631.0922, 449.2131
631.5743, 464.1591
632.0564, 483.3313
632.5385, 503.3108
633.0206, 521.5127
633.5027, 538.7325
633.9849, 556.9766
634.4670, 576.5004
634.9491, 595.3958
635.4312, 611.9156
635.9133, 626.9253
636.3954, 644.9527
636.8776, 668.0106
637.3597, 691.6277
637.8418, 715.6943
638.3239, 740.0798
638.8060, 764.9267
639.2881, 790.0453
639.7703, 814.7336
