##NAMES=Greifensteinite
##RRUFFID=R070613
##IDEAL CHEMISTRY=Ca_2_Fe^2+^_5_Be_4_(PO_4_)_6_(OH)_4_&#183;6H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Dakota Matrix Minerals
##DESCRIPTION=Darker orange-brown blebs in pale salmon colored montgomeryite, associated with tiptopite (R070609)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070613
474.8419, 2.777748
475.3240, 1.859909
475.8061, 1.444275
476.2882, 2.075317
476.7704, 2.466789
477.2525, 2.274353
477.7346, 1.742561
478.2167, 1.084106
478.6988, 0.3867260
479.1809, 0.2154540
479.6631, 0.5247420
480.1452, 0.4475860
480.6273, 0.5481260
481.1094, 1.143837
481.5915, 1.591293
482.0736, 1.581741
482.5558, 1.295143
483.0379, 1.045532
483.5200, 0.9798130
484.0021, 1.042549
484.4842, 1.136955
484.9663, 1.266533
485.4485, 1.416260
485.9306, 1.594048
486.4127, 1.783432
486.8948, 2.039452
487.3769, 2.325256
487.8590, 2.450790
488.3412, 2.249260
488.8233, 1.832962
489.3054, 1.405182
489.7875, 0.9699710
490.2696, 0.5176240
490.7517, 4.7600001E-02
491.2339, 0.4451830
491.7160, 1.007927
492.1981, 1.731316
492.6802, 2.252586
493.1623, 2.287727
493.6444, 2.070274
494.1266, 1.880348
494.6087, 1.772621
495.0908, 1.874046
495.5729, 2.363678
496.0550, 3.231812
496.5371, 3.786163
497.0193, 3.829498
497.5014, 3.840202
497.9835, 3.992844
498.4656, 4.191750
498.9477, 4.283112
499.4298, 4.220100
499.9120, 4.093124
500.3941, 4.037132
500.8762, 4.079590
501.3583, 4.079536
501.8404, 4.000069
502.3225, 3.915398
502.8047, 3.926369
503.2868, 3.938896
503.7689, 3.761772
504.2510, 3.276520
504.7331, 2.658928
505.2152, 2.212944
505.6974, 1.945412
506.1795, 1.805016
506.6616, 1.884705
507.1437, 1.996338
507.6258, 2.028610
508.1079, 1.976646
508.5901, 1.837082
509.0722, 1.496758
509.5543, 1.123665
510.0364, 1.018654
510.5185, 1.178101
511.0006, 1.254791
511.4828, 1.039787
511.9649, 0.6866530
512.4470, 0.5441590
512.9291, 0.6876530
513.4112, 0.7449490
513.8933, 0.4848100
514.3754, 0.1752930
514.8575, 0.1325000
515.3397, 0.3568570
515.8218, 0.6145710
516.3039, 0.7409670
516.7860, 0.7447970
517.2681, 0.6904750
517.7502, 0.5256500
518.2324, 0.3663100
518.7145, 0.2208100
519.1966, 8.4724002E-02
519.6787, 9.1964997E-02
520.1608, 0.2913360
520.6429, 0.3922350
521.1251, 0.2851940
521.6072, 3.0548001E-02
522.0893, 0.5956340
522.5714, 1.779266
523.0535, 2.612526
523.5356, 2.465996
524.0178, 1.973785
524.4999, 1.925941
524.9820, 2.557365
525.4641, 3.255753
525.9462, 3.412025
526.4283, 3.143066
526.9105, 2.975845
527.3926, 2.992348
527.8747, 3.089630
528.3568, 3.277252
528.8389, 3.487091
529.3210, 3.476379
529.8032, 2.927170
530.2853, 2.488060
530.7674, 2.657104
531.2495, 3.162521
531.7316, 3.449539
532.2137, 3.355026
532.6959, 3.136566
533.1780, 3.112556
533.6601, 3.322388
534.1422, 3.483452
534.6243, 3.610222
535.1064, 3.681793
535.5886, 3.671463
536.0707, 3.606277
536.5528, 3.475403
537.0349, 3.261696
537.5170, 3.113541
537.9991, 3.346130
538.4813, 4.055283
538.9634, 4.561607
539.4455, 4.795464
539.9276, 4.903313
540.4097, 4.800629
540.8918, 4.648895
541.3740, 4.804939
541.8561, 5.552124
542.3382, 6.338608
542.8203, 6.312775
543.3024, 5.584846
543.7845, 5.267548
544.2667, 5.743103
544.7488, 6.485352
545.2309, 6.979202
545.7130, 7.254410
546.1951, 7.436066
546.6772, 7.327187
547.1594, 7.347733
547.6415, 7.886047
548.1236, 8.772659
548.6057, 9.582573
549.0878, 10.13024
549.5699, 10.51371
550.0521, 10.87396
550.5342, 11.04204
551.0163, 11.73176
551.4984, 13.53331
551.9805, 15.16776
552.4626, 15.94714
552.9448, 16.17506
553.4269, 16.45699
553.9090, 17.07272
554.3911, 17.94120
554.8732, 18.98246
555.3553, 20.24487
555.8375, 21.36632
556.3196, 22.22852
556.8017, 23.01714
557.2838, 23.86607
557.7659, 24.74711
558.2480, 25.57115
558.7302, 26.29674
559.2123, 26.96075
559.6944, 27.59709
560.1765, 28.20219
560.6586, 28.71622
561.1407, 29.08006
561.6229, 29.49725
562.1050, 30.30501
562.5871, 31.60520
563.0692, 32.48694
563.5513, 32.69974
564.0334, 32.73142
564.5156, 32.76645
564.9977, 32.80859
565.4798, 32.82082
565.9619, 32.79003
566.4440, 32.76584
566.9261, 32.86375
567.4083, 33.17738
567.8904, 33.22891
568.3725, 32.70516
568.8546, 32.23432
569.3367, 31.99973
569.8188, 31.96858
570.3010, 32.13300
570.7831, 32.53999
571.2652, 32.87859
571.7473, 32.59250
572.2294, 31.80408
572.7115, 31.59937
573.1937, 32.37546
573.6758, 33.19648
574.1579, 33.13464
574.6400, 32.44113
575.1221, 32.10610
575.6042, 32.47842
576.0864, 32.93586
576.5685, 33.20601
577.0506, 33.34975
577.5327, 33.46655
578.0148, 33.57761
578.4969, 33.63303
578.9791, 33.58089
579.4612, 33.42593
579.9433, 33.25637
580.4254, 33.06994
580.9075, 32.86947
581.3896, 32.71439
581.8718, 32.51160
582.3539, 32.09251
582.8360, 31.44775
583.3181, 30.85471
583.8002, 30.72269
584.2823, 30.94595
584.7645, 30.66474
585.2466, 29.65620
585.7287, 28.77039
586.2108, 28.59355
586.6929, 28.70951
587.1750, 28.47900
587.6572, 27.74819
588.1393, 27.15241
588.6214, 27.18127
589.1035, 27.40865
589.5856, 27.21953
590.0677, 26.59530
590.5499, 25.96452
591.0320, 25.60587
591.5141, 25.44437
591.9962, 25.20818
592.4783, 24.77816
592.9604, 24.44559
593.4426, 24.24960
593.9247, 24.12137
594.4068, 24.07149
594.8889, 24.05244
595.3710, 23.90851
595.8531, 23.47252
596.3353, 22.98989
596.8174, 23.17338
597.2995, 24.20280
597.7816, 24.83944
598.2637, 24.52628
598.7458, 24.03275
599.2280, 24.03168
599.7101, 24.44742
600.1922, 24.86562
600.6743, 25.25500
601.1564, 25.51085
601.6385, 25.48935
602.1207, 25.27996
602.6028, 25.20550
603.0849, 25.38107
603.5670, 25.41518
604.0491, 24.76988
604.5313, 23.29893
605.0134, 22.19344
605.4955, 21.72877
605.9776, 21.26156
606.4597, 20.78210
606.9418, 20.07682
607.4240, 18.77408
607.9061, 16.82289
608.3882, 14.76013
608.8703, 13.14705
609.3524, 11.97318
609.8345, 11.11052
610.3167, 10.71253
610.7988, 10.24649
611.2809, 9.360935
611.7630, 8.295292
612.2451, 7.393692
612.7272, 6.741268
613.2094, 6.015850
613.6915, 4.864548
614.1736, 3.662838
614.6557, 2.922005
615.1378, 2.632324
615.6199, 2.482597
616.1021, 2.323929
616.5842, 2.153740
617.0663, 1.995026
617.5484, 1.912315
618.0305, 1.641293
618.5126, 0.9592440
618.9948, 0.3265420
619.4769, 2.6381999E-02
619.9590, 0.1330760
620.4411, 7.1064003E-02
620.9232, 0.1505700
621.4053, 0.4838220
621.8875, 0.8774300
622.3696, 1.333527
622.8517, 1.752808
623.3338, 2.101578
623.8159, 2.494617
624.2980, 3.114811
624.7802, 3.835640
625.2623, 4.312134
625.7444, 4.221004
626.2265, 4.252472
626.7086, 4.887077
627.1907, 5.772232
627.6729, 6.341152
628.1550, 6.536484
628.6371, 6.778450
629.1192, 7.444260
629.6013, 8.471371
630.0834, 9.458481
630.5656, 10.52746
631.0477, 11.35225
631.5298, 11.69072
632.0119, 11.95047
632.4940, 12.48694
632.9761, 13.26370
633.4583, 13.94729
633.9404, 14.29912
634.4225, 14.45616
634.9046, 14.66774
635.3867, 14.92340
635.8688, 15.07531
636.3510, 15.07261
636.8331, 14.88111
637.3152, 14.39191
637.7973, 13.55634
638.2794, 13.03407
638.7615, 13.15988
639.2437, 13.23083
639.7258, 12.86818
640.2079, 12.30803
640.6900, 11.91722
641.1721, 11.76624
641.6542, 11.64510
642.1364, 11.33894
642.6185, 10.87344
643.1006, 10.59616
643.5827, 10.68041
644.0648, 10.55021
644.5469, 9.793957
645.0291, 8.863205
645.5112, 8.134995
645.9933, 7.639034
646.4754, 7.232105
646.9575, 6.995266
647.4396, 6.716000
647.9218, 6.044415
648.4039, 5.091667
648.8860, 4.373543
649.3681, 4.113262
649.8502, 4.024174
650.3323, 3.648712
650.8145, 2.878754
651.2966, 2.314770
651.7787, 2.072144
652.2608, 1.906109
652.7429, 1.804447
653.2250, 1.681408
653.7072, 1.417004
654.1893, 0.9925270
654.6714, 0.6446080
655.1535, 0.6792640
655.6356, 0.9679260
656.1177, 1.064198
656.5999, 0.9389610
657.0820, 0.7509960
657.5641, 0.5750310
658.0462, 0.3853190
658.5283, 0.1093060
659.0104, 0.2691760
659.4926, 0.6387520
659.9747, 1.148949
660.4568, 1.484276
660.9389, 1.276161
661.4210, 0.7737540
661.9031, 0.5077400
662.3853, 0.6805500
662.8674, 0.9974630
663.3495, 1.049461
663.8316, 0.8212320
664.3137, 0.5835650
664.7958, 0.2963030
665.2780, 7.1406998E-02
665.7601, 1.4500000E-02
666.2422, 2.5599999E-02
666.7243, 2.2572000E-02
667.2064, 1.0338000E-02
667.6885, 7.6259999E-03
668.1707, 4.1655999E-02
668.6528, 8.0619998E-02
669.1349, 9.7857997E-02
669.6170, 8.7479003E-02
670.0991, 1.5171000E-02
670.5812, 0.1477200
671.0634, 0.3228070
671.5455, 0.3755910
672.0276, 0.2846530
672.5097, 0.1378170
672.9918, 0.2872510
673.4739, 0.5143390
673.9561, 0.1837230
674.4382, 0.3354450
