##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
454.2408, 24.79416
454.7230, 24.38380
455.2051, 23.86701
455.6872, 23.16136
456.1693, 22.25346
456.6514, 21.70870
457.1335, 21.65379
457.6157, 21.84799
458.0978, 22.24398
458.5799, 22.78187
459.0620, 23.37862
459.5441, 24.01216
460.0262, 24.58229
460.5084, 24.83486
460.9905, 24.65837
461.4726, 24.29307
461.9547, 23.92451
462.4368, 23.23768
462.9189, 21.90358
463.4011, 19.97697
463.8832, 17.79698
464.3653, 15.61023
464.8474, 13.43127
465.3295, 11.49461
465.8116, 9.786598
466.2938, 8.373243
466.7759, 7.400848
467.2580, 6.657429
467.7401, 5.922092
468.2222, 5.129679
468.7043, 4.341335
469.1865, 3.606598
469.6686, 2.913794
470.1507, 2.431417
470.6328, 2.322321
471.1149, 2.282682
471.5970, 2.124052
472.0792, 1.883303
472.5613, 1.670385
473.0434, 1.523338
473.5255, 1.445045
474.0076, 1.476484
474.4897, 1.615612
474.9719, 1.648638
475.4540, 1.428577
475.9361, 1.121902
476.4182, 0.9932210
476.9003, 1.073217
477.3824, 1.134775
477.8645, 1.097178
478.3466, 0.9959130
478.8288, 0.8611910
479.3109, 0.6944160
479.7930, 0.5214120
480.2751, 0.3618390
480.7572, 0.2129170
481.2393, 4.7853000E-02
481.7215, 0.2714500
482.2036, 0.4355830
482.6857, 0.2109950
483.1678, 0.1517580
483.6499, 0.3093380
484.1320, 0.1814750
484.6142, 2.8836999E-02
485.0963, 6.7417003E-02
485.5784, 0.1069300
486.0605, 0.2068920
486.5426, 0.1926020
487.0247, 0.1482890
487.5069, 4.7233999E-02
487.9890, 5.3635001E-02
488.4711, 4.0750999E-02
488.9532, 0.1524830
489.4353, 0.4161660
489.9174, 0.4941810
490.3996, 0.2984390
490.8817, 0.2216110
491.3638, 0.5028780
491.8459, 0.7775310
492.3280, 0.8064820
492.8102, 0.6265620
493.2923, 0.4670660
493.7744, 0.4842190
494.2565, 0.6110820
