##NAMES=Rudenkoite
##RRUFFID=R070048
##IDEAL CHEMISTRY=Sr_3_Al_3.5_Si_3.5_O_10_(OH,O)_8_Cl_2_&#183;H_2_O
##LOCALITY=80 km SEE of Aldan, Yakutia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White fragment embedded in epoxy, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070048
588.9070, 6059.337
589.3892, 6246.584
589.8713, 6400.976
590.3534, 6552.514
590.8355, 6734.116
591.3176, 6949.573
591.7997, 7176.284
592.2819, 7424.303
592.7640, 7655.220
593.2461, 7805.507
593.7282, 7875.069
594.2103, 7869.949
594.6924, 7808.526
595.1746, 7665.786
595.6567, 7398.740
596.1388, 7010.859
596.6209, 6557.110
597.1030, 6029.384
597.5851, 5472.531
598.0673, 4911.578
598.5494, 4343.793
599.0315, 3810.267
599.5136, 3299.493
599.9957, 2839.195
600.4778, 2457.808
600.9600, 2182.929
601.4421, 1932.980
601.9242, 1702.110
602.4063, 1491.769
602.8884, 1309.409
603.3705, 1157.916
603.8527, 1025.197
604.3348, 907.5879
604.8169, 804.3701
605.2990, 715.3740
605.7811, 641.3867
606.2632, 581.6670
606.7454, 549.9678
607.2275, 528.2480
607.7096, 485.2637
608.1917, 410.2686
608.6738, 339.8428
609.1559, 297.8252
609.6381, 274.3516
610.1202, 256.4990
610.6023, 242.1045
611.0844, 230.8799
611.5665, 230.8672
612.0486, 234.8652
612.5308, 218.8350
613.0129, 162.8066
613.4950, 118.5098
613.9771, 105.3623
614.4592, 121.8613
614.9413, 129.7363
615.4235, 128.2197
615.9056, 122.0488
616.3877, 114.6387
616.8698, 105.4922
617.3519, 92.65137
617.8340, 75.91895
618.3162, 56.26172
618.7983, 30.81055
619.2804, 3.933594
619.7625, 18.47559
620.2446, 43.32031
620.7267, 50.86719
621.2089, 10.20508
621.6910, 55.84668
622.1731, 92.49805
622.6552, 57.83887
623.1373, 20.41602
623.6194, 1.225586
624.1016, 7.250000
624.5837, 3.808594
625.0658, 14.12207
625.5479, 33.99219
626.0300, 51.77344
626.5121, 67.50684
626.9943, 60.41406
627.4764, 27.03711
627.9585, 14.96777
628.4406, 52.27393
628.9227, 82.25391
629.4048, 95.74561
629.8870, 85.32959
630.3691, 68.44238
630.8512, 63.64404
631.3333, 65.21436
631.8154, 61.45557
632.2975, 40.11377
632.7797, 19.82129
633.2618, 8.909180
633.7439, 6.840820
634.2260, 5.931641
634.7081, 6.929688
635.1902, 7.297852
635.6724, 6.421875
636.1545, 4.666016
636.6366, 1.131836
637.1187, 12.95312
637.6008, 24.39355
638.0829, 31.41309
638.5651, 33.33594
639.0472, 22.01465
639.5293, 7.423828
640.0114, 37.80322
640.4935, 55.02539
640.9756, 56.82129
641.4578, 36.78027
641.9399, 43.45996
642.4220, 109.7275
642.9041, 97.64355
643.3862, 30.87305
643.8683, 16.48535
644.3505, 11.99512
644.8326, 7.202148
645.3147, 34.59863
645.7968, 70.91895
646.2789, 83.64844
646.7610, 56.84473
647.2432, 31.58789
647.7253, 38.59375
648.2074, 81.67188
648.6895, 106.4658
649.1716, 110.7568
649.6537, 100.0225
650.1359, 69.21289
650.6180, 27.71777
651.1001, 5.279297
651.5822, 14.78125
652.0643, 32.85645
652.5464, 33.47070
653.0286, 27.19434
653.5107, 34.40723
653.9929, 89.16113
654.4750, 132.4893
654.9571, 130.7021
655.4392, 91.98730
655.9213, 76.56445
656.4034, 110.9014
656.8856, 137.0820
657.3677, 127.2998
657.8498, 78.70703
658.3319, 64.40332
658.8140, 90.25195
659.2961, 126.9180
659.7783, 157.2646
660.2604, 179.2168
660.7425, 178.1035
661.2246, 148.3340
661.7067, 119.3613
662.1888, 127.4336
662.6710, 153.2119
663.1531, 166.7607
663.6352, 153.3008
664.1173, 134.2783
664.5994, 109.1934
665.0815, 86.15234
665.5637, 81.32129
666.0458, 125.9766
666.5279, 155.1807
667.0100, 147.6621
667.4921, 113.3291
667.9742, 112.0264
668.4564, 154.4346
668.9385, 191.4609
669.4206, 193.7852
669.9027, 168.4365
670.3848, 152.1455
670.8669, 144.9287
671.3491, 145.1406
671.8312, 161.4258
672.3133, 180.3105
672.7954, 178.8730
673.2775, 149.0586
673.7596, 124.2139
674.2418, 125.1748
674.7239, 138.4648
675.2060, 150.4326
675.6881, 154.5078
676.1702, 163.1016
676.6523, 186.7715
677.1345, 210.8516
677.6166, 201.8477
678.0987, 144.7529
678.5808, 112.5107
679.0629, 136.7090
679.5450, 190.1709
680.0272, 197.0498
680.5093, 161.4189
680.9914, 127.7451
681.4735, 127.1768
681.9556, 137.0762
682.4377, 120.0195
