##NAMES=Simonkolleite
##RRUFFID=R130616
##IDEAL CHEMISTRY=Zn_5_(OH)_8_Cl_2_&#183;H_2_O
##LOCALITY=Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless tabular crystals, associated with the blue platy crystals with the chemistry CuZnCl(OH)3.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130616
442.5406, 1.299025
443.0227, 1.522768
443.5049, 1.513804
443.9870, 1.017470
444.4691, 0.5499790
444.9512, 0.2755550
445.4333, 0.1376110
445.9154, 1.2993000E-02
446.3976, 0.1643450
446.8797, 0.3346400
447.3618, 0.3089880
447.8439, 5.6841999E-02
448.3260, 0.1916870
448.8081, 0.3079680
449.2903, 0.1665390
449.7724, 7.8561001E-02
450.2545, 6.1699999E-03
450.7366, 0.1744750
451.2187, 0.2536910
451.7008, 0.2565000
452.1830, 0.2936220
452.6651, 0.3847510
453.1472, 0.4515270
453.6293, 0.3992800
454.1114, 0.2912820
454.5935, 0.2489540
455.0757, 0.3375520
455.5578, 0.4198800
456.0399, 0.3459170
456.5220, 0.3230160
457.0041, 0.2414480
457.4862, 5.0577998E-02
457.9684, 0.1737000
458.4505, 0.3329350
458.9326, 0.4326800
459.4147, 0.5248980
459.8968, 0.5972800
460.3789, 0.6728930
460.8611, 0.7771680
461.3432, 0.9102010
461.8253, 1.039502
462.3074, 1.147600
462.7895, 1.266043
463.2716, 1.506520
463.7538, 2.019820
464.2359, 2.448927
464.7180, 2.769506
465.2001, 2.986764
465.6822, 3.023633
466.1643, 2.902485
466.6465, 2.801841
467.1286, 2.921073
467.6107, 3.283710
468.0928, 3.646363
468.5749, 4.056278
469.0570, 4.414036
469.5392, 4.654830
470.0213, 4.835198
470.5034, 5.019913
470.9855, 5.234529
471.4676, 5.509544
471.9497, 5.958673
472.4319, 6.674569
472.9140, 7.151397
473.3961, 7.041780
473.8782, 6.902951
474.3603, 7.024219
474.8424, 7.396699
475.3246, 7.902820
475.8067, 8.581817
476.2888, 9.308088
476.7709, 9.782024
477.2530, 9.965143
477.7351, 10.12705
478.2173, 10.37871
478.6994, 10.69200
479.1815, 11.01316
479.6636, 11.33261
480.1457, 11.68544
480.6278, 12.20975
481.1100, 12.74862
481.5920, 12.95944
482.0742, 12.77023
482.5563, 12.51856
483.0384, 12.50344
483.5205, 12.72546
484.0026, 12.90359
484.4847, 13.11531
484.9669, 13.20329
485.4490, 13.07301
485.9311, 12.78099
486.4132, 12.39563
486.8953, 11.94314
487.3774, 11.49564
487.8596, 11.18901
488.3417, 11.12101
488.8238, 10.91578
489.3059, 10.58214
489.7880, 10.12993
490.2701, 9.436778
490.7523, 8.634539
491.2344, 8.005988
491.7165, 7.738929
492.1986, 7.713888
492.6807, 7.643134
493.1628, 7.599773
493.6450, 7.309279
494.1271, 6.365168
494.6092, 5.408595
495.0913, 4.915814
495.5734, 4.884443
496.0555, 4.912377
496.5377, 4.743750
497.0198, 4.424118
497.5019, 4.063780
497.9840, 3.654974
498.4661, 3.248249
498.9482, 2.847207
499.4304, 2.472251
499.9125, 2.159566
500.3946, 1.915992
500.8767, 1.719267
501.3588, 1.578902
501.8409, 1.470749
502.3231, 1.366229
502.8052, 1.260856
503.2873, 1.098123
503.7694, 0.7974750
504.2515, 0.3418190
504.7336, 3.2834999E-02
505.2158, 6.8071999E-02
505.6979, 6.9176003E-02
506.1800, 1.3228000E-02
506.6621, 0.1170330
507.1442, 0.2250410
507.6263, 0.3188760
508.1085, 0.3548360
508.5906, 0.2445780
509.0727, 7.0739999E-02
509.5548, 2.5978001E-02
510.0369, 8.6420000E-02
510.5190, 0.1285720
511.0012, 4.3822002E-02
511.4833, 8.2354002E-02
511.9654, 9.1482997E-02
512.4475, 0.1109860
512.9296, 0.3778500
513.4117, 0.4499510
513.8939, 0.3143710
514.3760, 0.1762310
514.8581, 5.9478998E-02
515.3402, 9.2820004E-03
515.8223, 1.5110000E-03
516.3044, 6.4681999E-02
516.7866, 9.7250998E-02
517.2687, 5.0407998E-02
517.7508, 4.6679001E-02
518.2329, 0.1786530
518.7150, 0.3398620
519.1971, 0.2720810
519.6793, 0.2380130
520.1614, 0.2459930
520.6435, 0.1723230
521.1256, 3.6435001E-02
521.6077, 0.1570650
522.0898, 3.8984999E-02
522.5720, 0.1035460
523.0541, 3.7494998E-02
523.5362, 0.2111490
524.0183, 0.4073240
524.5004, 0.3627910
524.9825, 0.1510780
525.4647, 0.1601250
525.9468, 0.5833320
526.4289, 0.9614760
526.9110, 1.273695
527.3931, 1.516100
527.8752, 1.611267
528.3574, 1.598296
528.8395, 1.689388
529.3216, 2.132201
529.8037, 2.850447
530.2858, 3.365545
530.7679, 3.592645
531.2501, 3.809541
531.7322, 4.147243
532.2143, 4.529710
532.6964, 4.875296
533.1785, 5.162440
533.6606, 5.474125
534.1428, 5.898185
534.6249, 6.379578
535.1070, 6.774158
535.5891, 7.054110
536.0712, 7.396908
536.5533, 7.954310
537.0355, 8.684491
537.5176, 9.325235
537.9997, 9.789500
538.4818, 10.28254
538.9639, 10.86661
539.4460, 11.51883
539.9282, 12.26606
540.4103, 13.06787
540.8924, 13.76102
541.3745, 14.14754
541.8566, 14.21961
542.3387, 14.29506
542.8209, 14.32070
543.3029, 14.39455
543.7850, 14.67614
544.2672, 14.97781
544.7493, 15.05623
545.2314, 14.85613
545.7135, 14.58584
546.1956, 14.56395
546.6777, 14.73942
547.1599, 14.49363
547.6420, 13.62105
548.1241, 12.70552
548.6062, 12.05789
549.0883, 11.60855
549.5704, 11.32600
550.0526, 11.35221
550.5347, 11.24868
551.0168, 10.60462
551.4989, 9.652234
551.9810, 8.864511
552.4631, 8.341119
552.9453, 7.980404
553.4274, 7.742369
553.9095, 7.619802
554.3916, 7.326187
554.8737, 6.665016
555.3558, 6.062901
555.8380, 5.669310
556.3201, 5.394152
556.8022, 5.124956
557.2843, 4.832501
557.7664, 4.524134
558.2485, 4.184365
558.7307, 3.812088
559.2128, 3.555733
559.6949, 3.465976
560.1770, 3.416555
560.6591, 3.423820
561.1412, 3.417315
561.6234, 3.304535
562.1055, 3.047475
562.5876, 2.743218
563.0697, 2.465099
563.5518, 2.219743
564.0339, 1.993792
564.5161, 1.768985
564.9982, 1.621792
565.4803, 1.641058
565.9624, 1.790003
566.4445, 1.883788
566.9266, 1.844466
567.4088, 1.840459
567.8909, 2.034264
568.3730, 2.244176
568.8551, 2.243188
569.3372, 2.004394
569.8193, 1.679142
570.3015, 1.383129
570.7836, 1.120488
571.2657, 1.060620
571.7478, 1.544153
572.2299, 1.781044
572.7120, 1.440444
573.1942, 0.9382410
573.6763, 0.6638460
574.1584, 0.6685680
574.6405, 0.7366490
575.1226, 0.6685900
575.6047, 0.5104710
576.0869, 0.4621580
576.5690, 0.5522840
577.0511, 0.6370940
577.5332, 0.6437540
578.0153, 0.5903840
578.4974, 0.5099300
578.9796, 0.3916490
579.4617, 0.3186540
579.9438, 0.3787520
580.4259, 0.4751030
580.9080, 0.4843830
581.3901, 0.4110180
581.8723, 0.3675540
582.3544, 0.4293890
582.8365, 0.5582140
583.3186, 0.6230290
583.8007, 0.5987870
584.2828, 0.5429170
584.7650, 0.4144080
585.2471, 0.2911170
585.7292, 0.2167370
586.2113, 0.1936090
586.6934, 0.2060280
587.1755, 0.2438720
587.6577, 0.3083610
588.1398, 0.4272320
588.6219, 0.6210370
589.1040, 0.7185640
589.5861, 0.5935260
590.0682, 0.4522880
590.5504, 0.5380360
591.0325, 0.8052380
591.5146, 0.9529720
591.9967, 0.8309520
592.4788, 0.6040780
592.9609, 0.3023600
593.4431, 6.2630000E-03
