##NAMES=Peretaite
##RRUFFID=R060459
##IDEAL CHEMISTRY=CaSb^3+^_4_O_4_(SO_4_)_2_(OH)_2_&#183;2H_2_O
##LOCALITY=Pereta mine, Grosseto, Tuscany, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless thin plates, with red incrustations of valentinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060459
623.7747, 21.21765
624.2568, 21.20532
624.7389, 21.70435
625.2210, 21.12476
625.7031, 18.99084
626.1852, 16.69104
626.6674, 14.09204
627.1495, 11.60376
627.6316, 9.875366
628.1137, 8.911621
628.5958, 8.800781
629.0779, 10.26440
629.5601, 11.82605
630.0422, 9.691162
630.5243, 4.699463
631.0064, 0.6757810
631.4885, 0.5178220
631.9706, 1.826050
632.4528, 2.536255
632.9349, 2.613770
633.4170, 2.579956
633.8991, 2.458374
634.3812, 2.468384
634.8633, 2.687500
635.3455, 3.023315
635.8276, 4.013062
636.3097, 6.665283
636.7918, 9.038330
637.2739, 9.040161
637.7560, 5.529785
638.2382, 4.289063
638.7203, 6.190796
639.2024, 9.637207
639.6845, 12.55652
640.1666, 14.93713
640.6487, 16.74817
641.1309, 17.84570
641.6130, 18.53955
642.0951, 18.77002
642.5772, 18.86096
643.0594, 19.76465
643.5415, 22.42664
644.0236, 25.61414
644.5057, 29.21936
644.9879, 33.04822
645.4700, 35.41760
645.9521, 34.07251
646.4342, 33.00195
646.9163, 34.29517
647.3984, 38.59009
647.8806, 41.13330
648.3627, 41.24182
648.8448, 41.03418
649.3269, 42.73181
649.8090, 46.34717
650.2911, 47.97791
650.7733, 47.19214
651.2554, 45.23706
651.7375, 43.63928
652.2196, 42.01514
652.7017, 39.34436
653.1838, 35.03345
653.6660, 30.14490
654.1481, 24.58179
654.6302, 19.13330
655.1123, 15.13416
655.5944, 14.04651
656.0765, 13.38843
656.5587, 12.45374
657.0408, 11.28540
657.5229, 10.21069
658.0050, 9.095337
658.4871, 8.292480
658.9692, 8.144165
659.4514, 8.513184
659.9335, 7.648682
660.4156, 5.371582
660.8977, 3.378906
661.3798, 3.699829
661.8619, 5.199829
662.3441, 4.137451
662.8262, 0.2244870
663.3083, 2.849854
663.7904, 0.9554440
664.2725, 2.812744
664.7546, 4.947510
665.2368, 4.136475
665.7189, 3.410767
666.2010, 4.960693
666.6831, 6.651001
667.1652, 5.834351
667.6473, 0.7767330
668.1295, 4.328857
668.6116, 2.881836
669.0937, 0.9620360
669.5758, 2.016235
670.0579, 3.1860001E-02
670.5400, 2.388306
671.0222, 4.987427
671.5043, 7.057983
671.9864, 6.826904
672.4685, 4.642090
672.9506, 2.126343
673.4327, 0.2314450
673.9149, 2.137573
674.3970, 3.241211
674.8791, 3.591064
675.3612, 3.644043
675.8433, 3.433105
676.3254, 3.103149
676.8076, 2.603027
677.2897, 1.830322
677.7718, 1.942749
678.2539, 4.338623
678.7360, 5.752319
679.2181, 2.925415
679.7003, 4.896362
680.1824, 8.001709
680.6645, 5.459229
681.1466, 0.8276370
681.6287, 2.562500
682.1108, 4.924683
682.5930, 6.682983
683.0751, 7.837280
683.5572, 8.679932
684.0393, 9.323608
684.5214, 9.897339
685.0035, 10.35803
685.4857, 11.09900
