##NAMES=Chondrodite
##RRUFFID=R110158
##IDEAL CHEMISTRY=Mg_5_(SiO_4_)_2_F_2_
##LOCALITY=Pein Pyit, Mogok, Mandalay Division, Burma
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Orange bleb enclosed in calcite, associated with red spinel
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110158
646.8548, 95.01562
647.3369, 108.6328
647.8190, 113.2891
648.3011, 112.3750
648.7833, 100.0703
649.2654, 64.56250
649.7475, 1.710938
650.2296, 35.39062
650.7117, 41.96094
651.1938, 30.92969
651.6760, 18.03125
652.1581, 0.7578130
652.6402, 29.17188
653.1223, 76.87500
653.6044, 130.6562
654.0865, 195.5547
654.5687, 257.5781
655.0508, 290.8594
655.5329, 261.8516
656.0150, 227.3281
656.4971, 200.6562
656.9792, 184.1250
657.4614, 187.8672
657.9435, 234.9531
658.4256, 270.8047
658.9077, 271.6484
659.3898, 239.8750
659.8719, 229.9609
660.3541, 247.6406
660.8362, 269.2734
661.3183, 274.7031
661.8004, 267.6719
662.2825, 268.7656
662.7646, 280.2266
663.2468, 295.0312
663.7289, 319.9531
664.2110, 339.0391
664.6931, 328.2109
665.1752, 270.0859
665.6573, 214.4375
666.1395, 178.1797
666.6216, 159.6094
667.1037, 154.2344
667.5858, 170.2656
668.0679, 189.5234
668.5500, 212.4688
669.0322, 236.8750
669.5143, 260.3359
669.9964, 285.9062
670.4785, 293.6875
670.9606, 271.9375
671.4427, 231.3906
671.9249, 193.7109
672.4070, 160.6406
672.8891, 150.5078
673.3712, 196.0547
673.8533, 257.3359
674.3354, 284.8672
674.8176, 280.5625
675.2997, 276.1797
675.7818, 296.3516
676.2639, 315.2734
676.7460, 313.6875
677.2281, 280.9688
677.7103, 262.1875
678.1924, 260.7734
678.6745, 271.7188
679.1566, 290.1953
679.6387, 313.7812
680.1208, 362.2969
680.6030, 446.8125
681.0851, 529.8438
681.5672, 558.9141
682.0493, 544.5703
682.5314, 534.4297
683.0135, 539.8828
683.4957, 552.8828
683.9778, 574.7188
684.4599, 594.5703
684.9420, 591.1875
685.4241, 531.4297
685.9063, 482.0234
686.3884, 474.3047
686.8705, 496.9688
687.3526, 510.6875
687.8347, 505.3984
688.3168, 507.1953
688.7990, 530.9766
689.2811, 571.4453
689.7632, 577.6484
690.2453, 544.6250
690.7274, 506.0234
691.2095, 473.7422
691.6917, 452.1719
692.1738, 465.4922
692.6559, 510.6797
693.1380, 538.2188
693.6201, 479.8125
694.1022, 403.5547
694.5844, 380.9375
695.0665, 428.6719
695.5486, 472.3281
696.0307, 479.6484
696.5128, 475.4766
696.9949, 481.7969
697.4771, 521.1250
697.9592, 522.1641
698.4413, 468.6094
698.9234, 399.6094
699.4055, 369.7969
699.8876, 380.8672
700.3698, 368.9609
700.8519, 321.3672
701.3340, 260.0234
701.8161, 212.7812
702.2982, 174.8047
702.7803, 133.0078
703.2625, 67.71875
703.7446, 16.71875
704.2267, 15.10156
704.7088, 45.26562
705.1909, 69.31250
705.6730, 62.31250
706.1552, 62.21094
706.6373, 77.33594
707.1194, 104.1953
707.6015, 129.9375
708.0836, 151.9609
708.5657, 176.6641
709.0479, 212.6328
709.5300, 251.9922
710.0121, 255.8203
710.4942, 225.4609
710.9763, 199.1484
711.4584, 214.5234
711.9406, 241.6797
712.4227, 243.7031
712.9048, 219.2109
713.3869, 184.5469
713.8690, 138.9688
714.3511, 93.95312
714.8333, 57.82031
715.3154, 36.16406
715.7975, 17.02344
716.2796, 9.625000
716.7617, 3.929688
717.2438, 45.09375
717.7260, 118.0078
718.2081, 156.7500
718.6902, 151.7812
719.1723, 131.9531
719.6544, 132.2188
720.1365, 144.3984
720.6187, 148.5000
721.1008, 140.1953
721.5829, 124.8125
722.0650, 110.7969
722.5471, 92.08594
723.0292, 59.89062
723.5114, 4.093750
723.9935, 58.39062
724.4756, 85.60938
724.9577, 102.4844
725.4398, 140.9766
725.9219, 208.8828
726.4041, 270.0469
726.8862, 312.7656
727.3683, 347.2188
727.8504, 400.0156
728.3325, 467.4922
728.8146, 526.4609
729.2968, 570.1953
729.7789, 595.6016
730.2610, 584.5703
730.7431, 549.9141
731.2252, 534.2812
731.7073, 572.2500
732.1895, 616.5078
732.6716, 649.8594
733.1537, 671.6953
733.6358, 684.6641
734.1179, 675.0469
734.6000, 683.3047
735.0822, 741.1328
735.5643, 839.2969
736.0464, 858.1406
736.5285, 793.5000
737.0106, 743.1328
737.4927, 796.1328
737.9749, 902.4609
738.4570, 980.0234
738.9391, 1024.086
739.4212, 1056.547
739.9033, 1096.875
740.3854, 1124.547
740.8676, 1115.719
741.3497, 1049.133
741.8318, 1023.734
742.3139, 1072.945
742.7960, 1130.102
743.2781, 1147.539
743.7603, 1117.117
744.2424, 1112.156
744.7245, 1142.688
745.2066, 1167.734
745.6887, 1128.219
746.1708, 1051.570
746.6530, 1011.633
747.1351, 1025.977
747.6172, 1053.711
748.0993, 1072.188
748.5814, 1085.102
749.0635, 1095.414
749.5457, 1096.406
750.0278, 1106.562
750.5099, 1122.164
750.9920, 1149.523
751.4741, 1203.234
751.9562, 1294.523
752.4384, 1351.078
752.9205, 1353.680
753.4026, 1331.992
753.8847, 1327.016
754.3668, 1337.062
754.8489, 1363.688
755.3311, 1428.500
755.8132, 1469.180
756.2953, 1398.641
756.7774, 1271.102
757.2595, 1182.844
757.7416, 1213.148
758.2238, 1229.023
758.7059, 1195.195
759.1880, 1130.344
759.6701, 1070.727
760.1522, 1020.758
760.6343, 964.7422
761.1165, 892.7656
761.5986, 816.5859
762.0807, 771.2891
762.5628, 754.7734
763.0449, 743.3828
763.5270, 733.6406
764.0092, 715.5781
764.4913, 670.4453
764.9734, 607.6641
765.4555, 556.5781
765.9376, 531.1328
766.4197, 514.7812
766.9019, 507.0391
767.3840, 503.8984
767.8661, 487.8906
768.3482, 453.9531
768.8303, 419.4922
769.3124, 389.2812
769.7946, 364.4844
770.2767, 348.5078
770.7588, 341.3516
771.2409, 343.6953
771.7230, 359.4609
772.2051, 382.9609
772.6873, 411.3984
773.1694, 443.4375
773.6515, 472.5625
774.1336, 499.9531
774.6157, 522.2109
775.0978, 532.0312
775.5800, 528.6172
776.0621, 542.2344
776.5442, 578.5547
777.0263, 628.0938
777.5084, 682.7656
777.9905, 743.1719
778.4727, 818.1094
778.9548, 907.3750
779.4369, 999.9688
779.9190, 1088.227
780.4011, 1174.242
780.8832, 1261.555
781.3654, 1350.672
781.8475, 1439.891
782.3296, 1535.148
782.8117, 1622.508
783.2938, 1698.781
783.7759, 1765.117
784.2581, 1809.648
784.7402, 1829.109
785.2223, 1839.523
785.7044, 1872.727
786.1865, 1909.430
786.6686, 1859.930
787.1508, 1723.031
787.6329, 1565.242
