##NAMES=Stichtite
##RRUFFID=R060675
##IDEAL CHEMISTRY=Mg_6_Cr^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Nevada Creek, Dundas, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Purple massive, associated with green serpentine
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060675
690.426, 2345.586
690.908, 2259.487
691.390, 2211.630
691.872, 2182.825
692.354, 2156.491
692.836, 2129.993
693.318, 2047.407
693.800, 1887.732
694.283, 1749.289
694.765, 1693.417
695.247, 1681.997
695.729, 1636.018
696.211, 1540.300
696.693, 1460.442
697.175, 1404.276
697.657, 1360.500
698.140, 1338.327
698.622, 1319.226
699.104, 1269.515
699.586, 1182.545
700.068, 1102.636
700.550, 1085.027
701.032, 1097.290
701.514, 1063.075
701.997, 985.904
702.479, 913.155
702.961, 860.146
703.443, 827.035
703.925, 818.484
704.407, 838.660
704.889, 830.440
705.371, 767.286
705.853, 711.368
706.336, 675.245
706.818, 650.600
707.300, 628.452
707.782, 609.684
708.264, 605.266
708.746, 640.400
709.228, 672.256
709.710, 662.815
710.192, 625.497
710.675, 577.444
711.157, 525.956
711.639, 490.756
712.121, 490.453
712.603, 514.690
713.085, 525.970
713.567, 520.750
714.049, 520.850
714.531, 538.727
715.014, 548.623
715.496, 516.510
715.978, 460.842
716.460, 441.199
716.942, 486.676
717.424, 523.569
717.906, 538.269
718.388, 534.220
718.870, 496.034
719.353, 443.237
719.835, 426.238
720.317, 470.393
720.799, 523.861
721.281, 508.978
721.763, 449.615
722.245, 445.967
722.727, 506.182
723.210, 547.456
723.692, 523.090
724.174, 471.727
724.656, 464.834
725.138, 517.038
725.620, 555.349
726.102, 573.896
726.584, 584.871
727.067, 585.748
727.549, 584.104
728.031, 590.327
728.513, 605.104
728.995, 614.137
729.477, 610.105
729.959, 597.854
730.441, 570.986
730.924, 541.517
731.406, 538.342
731.888, 565.715
732.370, 597.192
732.852, 610.208
733.334, 606.751
733.816, 588.406
734.298, 549.355
734.780, 536.268
735.263, 569.238
735.745, 610.017
736.227, 634.945
736.709, 641.910
737.191, 623.473
737.673, 553.281
738.155, 497.477
738.637, 478.336
739.119, 464.774
739.602, 424.737
740.084, 374.634
740.566, 357.859
741.048, 394.869
741.530, 440.421
742.012, 453.318
742.494, 444.153
742.976, 434.689
743.458, 425.039
743.941, 400.855
744.423, 354.018
744.905, 303.853
745.387, 283.253
745.869, 297.103
746.351, 275.969
746.833, 185.049
747.315, 128.034
747.797, 172.768
748.280, 240.562
748.762, 244.608
749.244, 187.884
749.726, 152.098
750.208, 168.794
750.690, 190.284
751.172, 196.248
751.654, 195.053
752.137, 199.569
752.619, 208.034
753.101, 204.501
753.583, 175.278
754.065, 139.546
754.547, 127.822
755.029, 135.417
755.511, 146.651
755.994, 159.932
756.476, 152.146
756.958, 103.184
757.440, 35.483
757.922, 5.792
758.404, 26.798
758.886, 49.971
759.368, 83.652
759.851, 108.857
760.333, 122.729
760.815, 122.790
761.297, 100.611
761.779, 53.683
762.261, 14.359
762.743, 7.396
763.225, 18.296
763.707, 17.614
764.190, 11.400
764.672, 8.001
765.154, 9.356
765.636, 13.318
766.118, 21.101
766.600, 26.246
767.082, 9.722
767.564, 24.619
768.046, 45.691
768.529, 46.636
769.011, 40.902
769.493, 37.031
769.975, 35.810
770.457, 41.208
770.939, 62.926
771.421, 69.723
771.903, 51.909
772.385, 29.273
772.868, 5.076
773.350, 32.731
773.832, 17.522
774.314, 53.545
774.796, 107.337
775.278, 115.397
775.760, 100.698
776.242, 70.271
776.724, 32.558
777.207, 5.431
777.689, 39.520
778.171, 58.605
778.653, 50.043
779.135, 23.434
779.617, 8.332
780.099, 42.484
780.581, 55.176
781.064, 39.821
781.546, 25.118
782.028, 35.417
782.510, 61.917
782.992, 68.820
783.474, 42.866
783.956, 33.183
784.438, 63.560
784.920, 83.048
785.403, 49.555
785.885, 4.305
786.367, 25.358
786.849, 3.650
787.331, 19.429
787.813, 36.274
788.295, 48.116
788.778, 56.808
789.260, 60.300
789.742, 53.248
790.224, 36.139
790.706, 18.725
791.188, 5.566
791.670, 1.098
792.152, 5.155
792.634, 20.861
793.117, 37.556
793.599, 52.914
794.081, 54.066
794.563, 29.184
795.045, 8.879
795.527, 22.642
796.009, 6.205
796.491, 3.170
796.973, 1.918
797.456, 2.924
797.938, 9.316
798.420, 16.427
798.902, 22.197
799.384, 25.686
799.866, 33.130
800.348, 55.596
800.830, 69.464
801.312, 58.974
801.795, 40.500
802.277, 30.357
802.759, 30.158
803.241, 34.414
803.723, 47.873
804.205, 53.541
804.687, 23.719
805.169, 18.005
805.652, 35.057
806.134, 23.861
806.616, 12.701
807.098, 75.625
807.580, 131.365
808.062, 110.155
808.544, 22.857
809.026, 18.972
809.508, 7.111
809.991, 4.826
810.473, 5.630
810.955, 21.838
811.437, 20.028
811.919, 1.005
812.401, 6.342
812.883, 22.873
813.365, 37.450
813.847, 11.924
814.330, 15.678
814.812, 18.143
815.294, 1.489
815.776, 12.313
816.258, 17.463
816.740, 23.406
817.222, 36.686
817.705, 49.043
818.187, 55.570
818.669, 55.692
819.151, 48.343
819.633, 33.490
820.115, 16.254
820.597, 0.622
821.079, 16.066
821.561, 35.405
822.044, 51.938
822.526, 32.468
823.008, 27.775
823.490, 76.578
823.972, 67.323
824.454, 21.122
824.936, 5.245
825.418, 22.828
825.901, 32.992
826.383, 30.676
826.865, 22.266
827.347, 7.685
827.829, 7.016
828.311, 8.086
828.793, 10.969
829.275, 19.448
829.757, 0.038
830.240, 8.333
830.722, 22.554
831.204, 55.729
831.686, 49.063
832.168, 7.548
832.650, 18.412
833.132, 2.228
833.614, 15.426
834.096, 7.907
834.579, 0.180
835.061, 25.577
835.543, 71.278
836.025, 94.810
836.507, 78.527
836.989, 51.101
837.471, 36.125
837.953, 30.799
838.435, 32.389
838.918, 39.276
839.400, 47.584
839.882, 55.867
840.364, 57.031
840.846, 41.724
841.328, 17.495
841.810, 13.143
842.292, 30.530
