##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
491.1646, 6536.847
491.6468, 6410.082
492.1289, 6279.014
492.6110, 6147.533
493.0931, 6014.847
493.5752, 5880.520
494.0573, 5757.573
494.5395, 5655.410
495.0216, 5570.230
495.5037, 5491.713
495.9858, 5420.896
496.4679, 5354.525
496.9500, 5288.832
497.4322, 5226.867
497.9143, 5175.194
498.3964, 5141.768
498.8785, 5114.553
499.3606, 5090.666
499.8427, 5068.457
500.3249, 5043.412
500.8070, 5013.242
501.2891, 4979.954
501.7712, 4945.943
502.2533, 4914.472
502.7354, 4874.057
503.2176, 4827.348
503.6997, 4769.586
504.1818, 4695.269
504.6639, 4600.013
505.1460, 4495.611
505.6281, 4383.819
506.1103, 4263.290
506.5924, 4134.063
507.0745, 3995.676
507.5566, 3849.860
508.0387, 3699.687
508.5208, 3544.516
509.0030, 3369.467
509.4851, 3172.582
509.9672, 2968.116
510.4493, 2771.510
510.9314, 2580.100
511.4135, 2383.132
511.8957, 2178.447
512.3778, 1971.646
512.8599, 1768.487
513.3420, 1569.305
513.8242, 1375.774
514.3063, 1181.683
514.7884, 995.6494
515.2705, 826.6133
515.7526, 675.9033
516.2347, 531.7842
516.7169, 385.6592
517.1990, 245.4678
517.6811, 117.6221
518.1632, 4.748047
518.6453, 96.50781
519.1274, 187.3438
519.6096, 267.8662
520.0917, 335.5605
520.5738, 387.5615
521.0559, 431.8145
521.5380, 470.5801
522.0201, 503.2031
522.5023, 523.7451
522.9844, 532.9395
523.4665, 530.6074
523.9486, 514.6016
524.4307, 485.1426
524.9128, 450.7656
525.3950, 412.7568
525.8771, 367.6973
526.3592, 309.0195
526.8413, 239.4248
527.3234, 167.4092
527.8055, 98.34277
528.2877, 26.68848
528.7698, 55.38770
529.2519, 146.0430
529.7340, 239.2061
530.2161, 328.5303
530.6982, 421.1650
531.1804, 524.2363
531.6625, 638.6172
532.1446, 758.5693
532.6267, 886.2051
533.1088, 1015.263
533.5909, 1138.915
534.0731, 1248.604
534.5552, 1363.946
535.0373, 1489.905
535.5194, 1621.384
536.0015, 1751.063
536.4836, 1879.981
536.9658, 2003.969
537.4479, 2120.396
537.9300, 2229.098
538.4121, 2336.600
538.8942, 2442.836
539.3763, 2544.286
539.8585, 2639.180
540.3406, 2727.144
540.8227, 2805.755
541.3048, 2874.366
541.7869, 2935.573
542.2690, 2995.461
542.7512, 3050.694
543.2333, 3092.959
543.7154, 3111.964
544.1975, 3122.522
544.6796, 3138.795
545.1617, 3157.869
545.6439, 3167.555
546.1260, 3164.458
546.6081, 3148.699
547.0902, 3118.436
547.5723, 3071.284
548.0544, 3021.696
548.5366, 2974.356
549.0187, 2923.032
549.5008, 2862.091
549.9829, 2787.012
550.4650, 2710.814
550.9471, 2635.642
551.4293, 2559.589
551.9114, 2474.430
552.3935, 2378.072
552.8756, 2283.274
553.3577, 2196.060
553.8398, 2114.652
554.3220, 2030.875
554.8041, 1944.273
555.2862, 1856.587
555.7683, 1766.433
556.2504, 1675.897
556.7325, 1585.859
557.2147, 1495.708
557.6968, 1410.341
558.1789, 1334.975
558.6610, 1266.328
559.1431, 1200.471
559.6252, 1140.062
560.1074, 1078.078
560.5895, 1008.655
561.0716, 934.5781
561.5537, 867.0781
562.0358, 808.9258
562.5179, 756.1572
563.0001, 708.8975
563.4822, 668.0469
563.9643, 625.6191
564.4464, 579.6377
564.9285, 534.8711
565.4106, 494.2520
565.8928, 457.8896
566.3749, 423.9600
566.8570, 391.7490
567.3391, 362.0879
567.8212, 336.1357
568.3033, 313.4531
568.7855, 293.7285
569.2676, 277.2529
569.7497, 262.7285
570.2318, 247.8682
570.7139, 233.0947
571.1960, 217.9014
571.6782, 200.7334
572.1603, 184.1650
572.6424, 169.3213
573.1245, 155.7129
573.6066, 149.0986
574.0887, 160.3574
574.5709, 174.0693
575.0530, 178.0264
575.5351, 160.6045
576.0172, 147.6523
576.4993, 139.3701
576.9814, 133.5420
577.4636, 128.7148
577.9457, 127.6523
578.4278, 120.5215
578.9099, 102.6152
579.3920, 78.04004
579.8741, 63.49121
580.3563, 60.08301
580.8384, 56.80957
581.3205, 46.76270
581.8026, 32.51855
582.2847, 19.72070
582.7668, 8.596680
583.2490, 1.101563
583.7311, 0.3867190
584.2131, 4.424805
584.6953, 10.30664
585.1774, 16.76270
585.6595, 25.58105
586.1416, 39.21094
586.6237, 54.43164
587.1058, 67.19727
587.5880, 79.12695
588.0701, 85.92773
588.5522, 81.45215
589.0343, 69.60449
589.5164, 69.16992
589.9985, 85.72266
590.4807, 104.2090
590.9628, 117.6670
591.4449, 125.8340
591.9270, 141.4678
592.4091, 165.9717
592.8912, 191.5693
593.3734, 212.7109
593.8555, 229.2900
594.3376, 238.3438
594.8197, 237.2549
595.3018, 237.6270
595.7839, 255.4697
596.2661, 283.6943
596.7482, 308.6562
597.2303, 323.2402
597.7124, 335.3965
598.1945, 347.2148
598.6766, 360.2500
599.1588, 378.7344
599.6409, 409.7568
600.1230, 440.7686
600.6051, 465.9795
601.0872, 484.4834
601.5693, 507.0371
602.0515, 533.9775
602.5336, 563.8535
603.0157, 596.9541
603.4978, 634.3555
603.9799, 667.8076
604.4620, 695.8740
604.9442, 724.0068
605.4263, 759.0391
605.9084, 800.6094
606.3905, 841.8193
606.8726, 881.0479
607.3547, 921.3232
607.8369, 968.7510
608.3190, 1020.796
608.8011, 1072.885
609.2832, 1119.761
609.7653, 1167.751
610.2474, 1221.599
610.7296, 1281.064
611.2117, 1338.867
611.6938, 1389.616
