##NAMES=Ramdohrite
##RRUFFID=R110001
##IDEAL CHEMISTRY=CdAg_5.5_Pb_12_Sb_21.5_S_48_
##LOCALITY=Chocaya, Potosi, Bolivia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Massive, silver metallic associated with quartz and wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110001
542.3485, 1.120098
542.8306, 2.054118
543.3127, 2.898762
543.7948, 3.457663
544.2769, 3.594539
544.7590, 2.968180
545.2411, 1.354759
545.7233, 0.3415850
546.2054, 0.8822020
546.6875, 0.3474750
547.1696, 9.4950996E-02
547.6517, 0.2129670
548.1339, 0.3146830
548.6160, 0.7573530
549.0981, 1.394057
549.5802, 1.841401
550.0623, 1.944950
550.5444, 1.908882
551.0266, 1.751945
551.5087, 1.563869
551.9908, 1.600144
552.4729, 1.947134
552.9550, 2.352036
553.4371, 2.507708
553.9193, 2.386029
554.4014, 2.164339
554.8835, 1.807579
555.3656, 1.405973
555.8477, 0.7563170
556.3298, 0.1571730
556.8120, 0.1427120
557.2941, 0.8779070
557.7762, 1.842786
558.2583, 2.295373
558.7404, 2.146476
559.2225, 2.092683
559.7047, 2.166557
560.1868, 2.324271
560.6689, 2.813959
561.1510, 3.301527
561.6331, 3.083879
562.1152, 1.652915
562.5974, 0.3166980
563.0795, 0.5379390
563.5616, 1.897175
564.0437, 2.850615
564.5258, 3.055371
565.0079, 3.030184
565.4901, 3.359123
565.9722, 3.966887
566.4543, 3.808185
566.9364, 1.861749
567.4185, 0.3210170
567.9006, 0.3066390
568.3828, 1.096603
568.8649, 1.749001
569.3470, 1.982850
569.8291, 1.910471
570.3112, 1.592118
570.7933, 0.9926440
571.2755, 0.7673400
571.7576, 1.184486
572.2397, 1.656321
572.7218, 2.202968
573.2039, 2.654697
573.6860, 2.775434
574.1682, 2.511395
574.6503, 2.083063
575.1324, 1.597808
575.6145, 1.105528
576.0966, 0.8705140
576.5787, 0.9708910
577.0609, 1.083764
577.5430, 0.9993290
578.0251, 0.7953640
578.5072, 0.6510200
578.9893, 0.5346410
579.4714, 0.5573540
579.9536, 0.7561330
580.4357, 1.119911
580.9178, 1.796123
581.3999, 2.715799
581.8820, 3.393725
582.3641, 3.453214
582.8463, 2.967297
583.3284, 2.358592
583.8105, 1.643161
584.2926, 0.7620820
584.7747, 0.9343270
585.2568, 2.309909
585.7390, 2.263119
586.2211, 0.9512300
586.7032, 0.5100360
587.1853, 1.434383
587.6674, 1.862317
588.1495, 1.681505
588.6317, 0.7097200
589.1138, 0.2808480
589.5959, 1.098525
590.0780, 2.434822
590.5601, 3.546010
591.0422, 4.440766
591.5244, 4.750310
592.0065, 3.892564
592.4886, 2.863883
592.9707, 2.793213
593.4528, 3.387159
593.9349, 3.443043
594.4171, 2.382892
594.8992, 0.9096830
595.3813, 0.2701980
595.8634, 0.7936070
596.3455, 1.197711
596.8276, 1.388374
597.3098, 1.575873
597.7919, 1.755361
598.2740, 2.026242
598.7561, 2.656135
599.2382, 3.798036
599.7203, 4.770594
600.2025, 4.411555
600.6846, 2.768281
601.1667, 1.668745
601.6488, 1.437866
602.1309, 1.594038
602.6130, 2.149511
603.0952, 2.895742
603.5773, 3.290678
604.0594, 3.192133
604.5415, 2.893296
605.0236, 2.241298
605.5057, 1.539805
605.9879, 1.358066
606.4700, 1.750696
606.9521, 2.253569
607.4342, 2.484205
607.9163, 2.483267
608.3984, 2.580332
608.8806, 3.174012
609.3627, 3.293437
609.8448, 2.208062
610.3269, 1.118501
610.8090, 1.200490
611.2911, 2.294528
611.7733, 3.184031
612.2554, 2.940471
612.7375, 2.001500
613.2196, 1.288139
613.7017, 0.7839200
614.1838, 0.6844170
614.6660, 1.210872
615.1481, 1.973041
615.6302, 2.695138
616.1123, 3.368264
616.5944, 3.440772
617.0765, 2.020569
617.5587, 0.7029510
618.0408, 0.7563610
618.5229, 1.731550
619.0050, 2.633319
619.4871, 3.035626
619.9692, 3.114521
620.4514, 3.226401
620.9335, 3.417939
621.4156, 3.752799
621.8977, 4.526042
622.3798, 5.087993
622.8619, 5.442922
623.3441, 5.418560
623.8262, 4.591452
624.3083, 2.900128
624.7904, 1.352575
625.2725, 0.9186640
625.7546, 1.276337
626.2367, 1.592824
626.7188, 1.831258
627.2009, 1.992571
627.6830, 2.064565
628.1652, 2.070268
628.6473, 2.066899
629.1294, 2.080777
629.6115, 2.010569
630.0936, 1.654890
630.5757, 1.369098
631.0579, 1.547310
631.5400, 2.012738
632.0221, 2.213487
632.5042, 1.856988
632.9863, 1.351585
633.4684, 1.593639
633.9506, 2.856316
634.4327, 3.483360
634.9148, 2.879342
635.3969, 2.271020
635.8790, 2.443916
636.3611, 2.976469
636.8433, 3.113084
637.3254, 2.585447
637.8075, 1.899335
638.2896, 1.157846
638.7717, 0.5876890
639.2538, 0.8693490
639.7360, 2.052578
640.2181, 2.988865
640.7002, 2.801569
641.1823, 1.790366
641.6644, 1.170476
642.1465, 0.9123040
642.6287, 1.077222
643.1108, 2.473432
643.5929, 3.644101
644.0750, 3.322596
644.5571, 1.916895
645.0392, 0.7840360
645.5214, 0.7550870
646.0035, 1.253281
646.4856, 1.323138
646.9677, 0.9661590
647.4498, 0.5573560
647.9319, 1.9757001E-02
648.4141, 0.2615640
648.8962, 0.2053940
649.3783, 1.220633
649.8604, 2.011227
650.3425, 2.394619
650.8246, 2.713114
651.3068, 3.330222
651.7889, 3.834002
652.2710, 3.499003
652.7531, 2.381466
653.2352, 1.392476
653.7173, 1.291968
654.1995, 1.812719
654.6816, 1.763468
655.1637, 0.7255580
655.6458, 0.1218310
656.1279, 0.4842860
656.6100, 1.096670
657.0922, 1.874963
657.5743, 2.598403
658.0564, 2.561585
658.5385, 0.8365490
659.0206, 0.8280660
659.5027, 0.4160520
659.9849, 1.393173
660.4670, 2.725123
660.9491, 3.148840
661.4312, 3.030582
661.9133, 2.623089
662.3954, 1.955981
662.8776, 1.465445
663.3597, 1.245899
663.8418, 1.084614
664.3239, 0.8122260
664.8060, 0.7017020
665.2881, 1.143200
665.7703, 2.000357
666.2524, 2.648994
666.7345, 2.581410
