##NAMES=Stringhamite
##RRUFFID=R060934
##IDEAL CHEMISTRY=CaCuSiO_4_&#183;H_2_O
##LOCALITY=Santos mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Azure blue crust, there is no diffraction from this material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060934
523.6080, 529.1095
524.0901, 506.2413
524.5722, 472.7616
525.0543, 440.5835
525.5364, 411.2927
526.0186, 386.6875
526.5007, 375.0209
526.9828, 375.5363
527.4649, 374.1245
527.9470, 359.9735
528.4291, 337.5013
528.9113, 310.9403
529.3934, 279.5627
529.8755, 251.5674
530.3576, 232.7163
530.8397, 221.0750
531.3218, 213.4296
531.8040, 211.7683
532.2861, 210.9958
532.7682, 208.9739
533.2503, 206.0228
533.7324, 204.7212
534.2145, 206.3042
534.6967, 208.9093
535.1788, 211.7035
535.6609, 214.3422
536.1430, 218.8967
536.6251, 228.5480
537.1072, 236.6340
537.5894, 232.0651
538.0715, 210.7010
538.5536, 199.8209
539.0357, 208.2583
539.5178, 228.1229
539.9999, 238.7485
540.4821, 240.0780
540.9642, 238.2820
541.4463, 235.1096
541.9284, 231.6840
542.4105, 229.6312
542.8926, 228.9102
543.3748, 231.9390
543.8569, 242.3468
544.3390, 257.2375
544.8211, 272.7615
545.3032, 287.4431
545.7853, 303.3412
546.2675, 324.6504
546.7495, 347.9541
547.2316, 365.4207
547.7137, 370.6959
548.1959, 373.8800
548.6780, 374.9875
549.1601, 372.7035
549.6422, 385.5839
550.1243, 425.0260
550.6064, 467.4355
551.0886, 495.4578
551.5707, 503.3745
552.0528, 517.0394
552.5349, 537.8516
553.0170, 565.0856
553.4991, 596.7390
553.9813, 632.7853
554.4634, 677.0129
554.9455, 735.3281
555.4276, 800.0144
555.9097, 850.7661
556.3918, 889.1902
556.8740, 926.3807
557.3561, 963.8889
557.8382, 1006.492
558.3203, 1060.841
558.8024, 1129.071
559.2845, 1202.711
559.7667, 1277.513
560.2488, 1355.513
560.7309, 1439.886
561.2130, 1540.014
561.6951, 1637.044
562.1772, 1724.872
562.6594, 1806.073
563.1415, 1892.000
563.6236, 1981.547
564.1057, 2075.963
564.5878, 2179.843
565.0699, 2294.328
565.5521, 2395.341
566.0342, 2481.397
566.5163, 2558.206
566.9984, 2631.935
567.4805, 2701.983
567.9626, 2764.263
568.4448, 2820.555
568.9269, 2864.280
569.4090, 2887.663
569.8911, 2891.370
570.3732, 2877.409
570.8553, 2839.637
