##NAMES=Romerite
##RRUFFID=R060820
##IDEAL CHEMISTRY=Fe^2+^Fe^3+^_2_(SO_4_)_4_&#183;14H_2_O
##LOCALITY=Alcaparrosa mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Reddish-brown isolated grains associated with copiapite, R060821
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060820
630.6380, 326.4114
631.1200, 307.5635
631.6020, 263.9561
632.0840, 226.0100
632.5660, 207.4258
633.0480, 200.7205
633.5300, 203.5225
634.0120, 215.8564
634.4950, 230.5928
634.9770, 256.1448
635.4590, 275.9158
635.9410, 277.9688
636.4230, 247.9092
636.9050, 238.7974
637.3870, 256.2261
637.8690, 286.6589
638.3510, 315.0647
638.8340, 341.4670
639.3160, 369.2500
639.7980, 399.7229
640.2800, 431.3611
640.7620, 459.3079
641.2440, 485.3872
641.7260, 516.5391
642.2080, 563.3911
642.6900, 611.1951
643.1730, 642.1545
643.6550, 660.0337
644.1370, 687.4565
644.6190, 737.9023
645.1010, 797.1411
645.5830, 858.8103
646.0650, 923.0850
646.5470, 986.8081
647.0290, 1049.942
647.5120, 1111.783
647.9940, 1169.674
648.4760, 1222.412
648.9580, 1279.884
649.4400, 1343.479
649.9220, 1410.222
650.4040, 1478.125
650.8860, 1546.397
651.3690, 1607.427
651.8510, 1653.637
652.3330, 1698.291
652.8150, 1761.504
653.2970, 1835.758
653.7790, 1901.984
654.2610, 1944.225
654.7430, 1981.103
655.2260, 2018.951
655.7080, 2058.793
656.1900, 2108.084
656.6720, 2188.320
657.1540, 2258.915
657.6360, 2298.314
658.1180, 2296.471
658.6000, 2314.951
659.0830, 2360.725
659.5650, 2410.665
660.0470, 2440.771
660.5290, 2452.738
661.0110, 2463.400
661.4930, 2476.764
661.9750, 2485.044
662.4570, 2475.605
662.9390, 2454.344
663.4220, 2433.556
663.9040, 2423.536
664.3860, 2409.909
664.8680, 2380.672
665.3500, 2341.174
665.8320, 2307.084
666.3140, 2290.041
666.7960, 2270.394
667.2780, 2240.869
667.7610, 2201.766
668.2430, 2166.358
668.7250, 2139.351
669.2070, 2104.866
669.6890, 2050.043
670.1710, 1976.040
670.6530, 1910.282
671.1350, 1854.133
671.6170, 1797.537
672.1000, 1730.154
672.5820, 1656.552
673.0640, 1582.238
673.5460, 1505.333
674.0280, 1438.167
674.5100, 1405.600
674.9920, 1381.526
675.4740, 1331.515
675.9560, 1197.961
676.4390, 1096.617
676.9210, 1071.450
677.4030, 1087.826
677.8850, 1065.406
678.3670, 985.1667
678.8490, 914.2625
679.3310, 875.5566
679.8130, 861.0676
680.2960, 836.4531
680.7780, 802.0205
681.2600, 762.3635
681.7420, 711.7485
682.2240, 661.2036
682.7060, 636.6270
683.1880, 637.6589
683.6700, 633.2288
684.1530, 596.0496
684.6350, 550.0491
685.1170, 514.0823
685.5990, 494.7854
686.0810, 476.3833
686.5630, 456.7354
687.0450, 436.8086
687.5270, 416.7930
688.0100, 396.5378
688.4920, 379.3606
688.9740, 368.5535
689.4560, 356.0979
689.9380, 321.8210
690.4200, 268.9209
690.9020, 229.1892
