##NAMES=Atelestite
##RRUFFID=R080139
##IDEAL CHEMISTRY=Bi^3+^_2_O(As^5+^O_4_)(OH)
##LOCALITY=Daniel mine, Schneeberg, Saxony, Germany
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Small sharp tan to cream colored crystals, associated with dark brown eulytine
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080139
451.1490, 1507.022
451.6311, 1494.397
452.1132, 1484.350
452.5953, 1480.209
453.0774, 1480.054
453.5595, 1476.660
454.0417, 1469.234
454.5238, 1456.870
455.0059, 1433.870
455.4880, 1405.016
455.9701, 1391.790
456.4522, 1396.775
456.9344, 1405.419
457.4165, 1396.862
457.8986, 1377.693
458.3807, 1369.343
458.8628, 1384.065
459.3449, 1408.815
459.8271, 1429.181
460.3092, 1446.147
460.7913, 1464.415
461.2734, 1484.652
461.7555, 1509.626
462.2376, 1542.487
462.7198, 1584.639
463.2019, 1630.146
463.6840, 1676.148
464.1661, 1723.734
464.6482, 1774.265
465.1303, 1824.432
465.6125, 1880.588
466.0946, 1946.681
466.5767, 2021.174
467.0588, 2089.555
467.5409, 2138.174
468.0230, 2191.249
468.5052, 2260.855
468.9873, 2358.675
469.4694, 2445.225
469.9515, 2515.334
470.4336, 2579.007
470.9157, 2653.357
471.3979, 2743.785
471.8800, 2827.188
472.3621, 2895.944
472.8442, 2953.061
473.3263, 3015.632
473.8084, 3083.667
474.2906, 3158.427
474.7727, 3247.981
475.2548, 3346.720
475.7369, 3427.355
476.2190, 3485.766
476.7011, 3531.419
477.1833, 3578.921
477.6654, 3624.486
478.1475, 3657.679
478.6296, 3681.834
479.1117, 3686.551
479.5938, 3654.071
480.0760, 3587.995
480.5581, 3515.480
481.0402, 3460.427
481.5223, 3399.844
482.0044, 3312.675
482.4865, 3190.720
482.9687, 3060.188
483.4508, 2928.556
483.9329, 2793.354
484.4150, 2653.560
484.8971, 2507.048
485.3792, 2356.958
485.8614, 2199.603
486.3435, 2034.808
486.8256, 1876.855
487.3077, 1724.770
487.7898, 1583.012
488.2719, 1454.191
488.7541, 1343.817
489.2362, 1236.794
489.7183, 1131.302
490.2004, 1031.269
490.6825, 941.5537
491.1646, 862.3975
491.6468, 787.6406
492.1289, 714.2881
492.6110, 644.0342
493.0931, 575.5654
493.5752, 508.6924
494.0573, 449.7100
494.5395, 403.6797
495.0216, 368.0713
495.5037, 337.3223
495.9858, 312.2900
496.4679, 288.0898
496.9500, 261.5020
497.4322, 233.0205
497.9143, 204.1406
498.3964, 172.7236
498.8785, 143.5732
499.3606, 119.6982
499.8427, 100.4385
500.3249, 85.08691
500.8070, 77.30078
501.2891, 69.99707
501.7712, 58.55078
502.2533, 38.73730
502.7354, 25.72168
503.2176, 26.35547
503.6997, 31.44727
504.1818, 31.83398
504.6639, 25.97852
505.1460, 17.33496
505.6281, 4.427734
506.1103, 10.75098
506.5924, 19.12500
507.0745, 19.45410
507.5566, 17.81641
508.0387, 17.01562
508.5208, 17.02441
509.0030, 16.35352
509.4851, 14.60449
509.9672, 14.30566
510.4493, 21.85547
510.9314, 33.61816
511.4135, 36.02637
511.8957, 20.82324
512.3778, 2.833008
512.8599, 2.0508001E-02
513.3420, 8.642578
513.8242, 17.95703
514.3063, 27.08887
514.7884, 31.50684
515.2705, 23.53125
515.7526, 2.552734
516.2347, 11.45898
516.7169, 1.766602
517.1990, 13.04980
517.6811, 18.84766
518.1632, 7.208008
518.6453, 4.924805
519.1274, 18.92090
519.6096, 31.63770
520.0917, 37.05078
520.5738, 32.28320
521.0559, 24.77246
521.5380, 14.30908
522.0201, 1.442871
522.5023, 3.352539
522.9844, 1.042969
523.4665, 10.56152
523.9486, 24.53418
524.4307, 42.61035
524.9128, 55.71631
525.3950, 62.60986
525.8771, 66.39746
526.3592, 71.79932
526.8413, 77.58301
527.3234, 78.96973
527.8055, 69.22119
528.2877, 59.04053
528.7698, 63.69971
529.2519, 79.78613
529.7340, 92.90576
