##NAMES=Lorandite
##RRUFFID=R060961
##IDEAL CHEMISTRY=TlAsS_2_
##LOCALITY=Allchar, Macedonia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep red prisms or tabular crystals, associated with prismatic realgar.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060961
459.2186, 3.761230
459.7007, 2.541321
460.1829, 1.323669
460.6650, 4.524536
461.1471, 6.300781
461.6292, 7.344177
462.1113, 8.384399
462.5934, 9.030273
463.0756, 8.182495
463.5577, 2.314575
464.0398, 3.495178
464.5219, 6.954651
465.0040, 7.698975
465.4861, 7.733765
465.9683, 5.124023
466.4504, 3.157166
466.9325, 4.765442
467.4146, 14.48615
467.8967, 21.29962
468.3788, 23.68304
468.8610, 22.41125
469.3431, 19.96149
469.8252, 14.80957
470.3073, 11.45697
470.7894, 13.28479
471.2715, 21.61053
471.7537, 24.92120
472.2358, 22.13574
472.7179, 16.77173
473.2000, 12.49329
473.6821, 9.313293
474.1642, 9.228638
474.6464, 14.68726
475.1285, 22.55756
475.6106, 25.22760
476.0927, 22.98334
476.5748, 20.05548
477.0569, 19.06580
477.5391, 19.61096
478.0212, 21.84381
478.5033, 26.95190
478.9854, 29.83972
479.4675, 21.79578
479.9496, 9.013428
480.4318, 2.948242
480.9139, 16.90680
481.3960, 32.05396
481.8781, 36.50385
482.3602, 30.02594
482.8423, 25.31641
483.3244, 28.36957
483.8065, 33.09686
484.2887, 35.23859
484.7708, 31.26379
485.2529, 28.37872
485.7350, 27.50159
486.2171, 27.80847
486.6992, 27.47034
487.1814, 26.65143
487.6635, 16.50171
488.1456, 25.17450
488.6277, 29.81415
489.1098, 30.63733
489.5919, 16.23438
490.0741, 21.47546
490.5562, 18.83331
491.0383, 15.86047
491.5204, 23.84424
492.0025, 11.61554
492.4846, 19.40912
492.9668, 19.19861
493.4489, 22.64008
493.9310, 18.14954
494.4131, 16.09869
494.8952, 21.96667
495.3773, 23.43781
495.8595, 18.00372
496.3416, 21.63123
496.8237, 9.047119
497.3058, 10.67310
497.7879, 3.871887
498.2701, 0.2873540
498.7522, 0.9968870
499.2343, 7.370728
499.7164, 18.04938
500.1985, 27.50464
500.6806, 36.80481
501.1628, 42.75171
501.6449, 42.29602
502.1270, 30.31848
502.6091, 25.01208
503.0912, 31.57190
503.5733, 42.02258
504.0555, 46.90918
504.5376, 44.87073
505.0197, 40.54639
505.5018, 33.67065
505.9839, 25.40863
506.4660, 22.47217
506.9482, 25.85559
507.4303, 30.56635
507.9124, 34.48474
508.3945, 37.03546
508.8766, 35.73389
509.3587, 28.90161
509.8408, 21.71893
510.3229, 22.32861
510.8051, 28.46539
511.2872, 32.42645
511.7693, 29.98438
512.2514, 24.84808
512.7335, 20.69379
513.2156, 17.40552
513.6978, 14.49304
514.1799, 10.75031
514.6620, 8.083984
515.1441, 8.325073
515.6262, 13.06738
516.1083, 16.14355
516.5905, 14.53918
517.0726, 10.61505
517.5547, 7.199707
518.0368, 5.581055
518.5189, 3.175476
519.0010, 2.261963
519.4832, 9.687805
519.9653, 10.20935
520.4474, 0.7380370
520.9295, 11.84210
521.4116, 17.17639
521.8937, 15.61658
522.3759, 13.55316
522.8580, 10.32935
523.3401, 7.792603
523.8222, 9.577271
524.3043, 15.46777
524.7864, 19.42804
525.2686, 19.29614
525.7507, 16.49280
526.2328, 13.23706
526.7149, 9.704041
527.1970, 7.281860
527.6791, 8.247314
528.1613, 10.23718
528.6434, 10.29041
529.1255, 7.886536
529.6076, 4.887146
530.0897, 0.8414310
530.5718, 2.633423
531.0540, 3.438171
531.5361, 2.937805
532.0182, 8.000671
532.5003, 8.004089
532.9824, 4.101440
533.4645, 2.933228
533.9467, 7.477295
534.4288, 12.33795
534.9109, 15.96820
535.3930, 19.01807
535.8751, 17.75134
536.3572, 9.526001
536.8394, 0.5265500
537.3215, 2.435181
537.8036, 0.9038700
538.2857, 6.719116
538.7678, 15.90888
539.2499, 26.27820
539.7321, 32.66705
540.2142, 35.26556
540.6963, 36.80420
541.1784, 39.94012
541.6605, 42.78052
542.1426, 40.83929
542.6248, 33.67633
543.1069, 27.43628
543.5890, 28.53650
544.0711, 32.63501
544.5532, 34.50909
545.0353, 31.83142
545.5175, 27.77301
545.9996, 21.67163
546.4817, 15.25037
546.9637, 12.82330
547.4459, 19.00256
547.9280, 25.65710
548.4101, 30.77374
548.8922, 34.48761
549.3743, 34.07343
549.8564, 25.84296
550.3386, 17.83929
550.8207, 16.59332
551.3028, 24.00928
551.7849, 28.68823
552.2670, 29.04889
552.7491, 27.47986
553.2313, 28.30396
553.7134, 31.25977
554.1955, 33.06781
554.6776, 30.11945
