##NAMES=Dmisteinbergite
##RRUFFID=R130087
##IDEAL CHEMISTRY=CaAl_2_Si_2_O_8_
##LOCALITY=Katashina Village, Gunma Prefecture, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless platelets with pearly luster. Associated with prehnite and wairakite, R061075
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R130087
565.1766, 36.61182
565.6587, 27.17383
566.1408, 20.68994
566.6229, 15.67773
567.1050, 3.739746
567.5872, 37.92383
568.0693, 55.04346
568.5514, 23.51709
569.0335, 15.81885
569.5156, 30.88525
569.9977, 24.02979
570.4799, 18.92773
570.9620, 31.51855
571.4441, 54.58838
571.9262, 77.86475
572.4083, 101.6104
572.8904, 107.7891
573.3726, 82.66895
573.8547, 52.56250
574.3368, 51.21436
574.8189, 78.87988
575.3010, 98.60596
575.7831, 103.7930
576.2653, 105.1353
576.7474, 107.8413
577.2295, 110.0913
577.7116, 107.0967
578.1937, 98.34277
578.6758, 90.51318
579.1580, 95.49854
579.6401, 113.4248
580.1222, 112.8062
580.6042, 81.75000
581.0864, 55.48877
581.5685, 50.61865
582.0506, 58.66797
582.5327, 73.53760
583.0148, 96.65283
583.4969, 114.1470
583.9791, 117.1968
584.4612, 112.7168
584.9433, 104.6094
585.4254, 95.51611
585.9075, 96.34766
586.3896, 115.0161
586.8718, 139.3018
587.3539, 135.7427
587.8360, 83.41895
588.3181, 51.60693
588.8002, 63.98584
589.2823, 78.58545
589.7645, 73.88818
590.2466, 55.34326
590.7287, 38.28906
591.2108, 23.37646
591.6929, 16.29785
592.1750, 29.49268
592.6572, 55.95410
593.1393, 74.47119
593.6214, 78.78613
594.1035, 77.41992
594.5856, 76.67822
595.0677, 76.39258
595.5499, 75.29102
596.0320, 69.42822
596.5141, 67.90088
596.9962, 84.30811
597.4783, 94.66211
597.9604, 70.87598
598.4426, 21.11084
598.9247, 14.17822
599.4068, 3.628906
599.8889, 28.87988
600.3710, 42.86328
600.8531, 39.15820
601.3353, 35.49072
601.8174, 36.33252
602.2995, 38.08838
602.7816, 36.51172
603.2637, 31.63281
603.7458, 34.46191
604.2280, 53.31592
604.7101, 70.42822
605.1922, 80.36475
