##NAMES=Diamond
##RRUFFID=R050207
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal,  type I
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050207
520.5736, 0.9797210
521.0557, 1.010551
521.5378, 1.168358
522.0200, 1.326241
522.5021, 1.462608
522.9842, 1.479141
523.4663, 2.401192
523.9484, 5.526443
524.4305, 10.33005
524.9127, 11.72971
525.3948, 8.780563
525.8769, 4.827316
526.3590, 4.232468
526.8411, 6.098816
527.3232, 7.338730
527.8054, 6.840584
528.2875, 5.718361
528.7696, 4.949516
529.2517, 4.479317
529.7338, 4.245193
530.2159, 3.351265
530.6981, 2.916939
531.1802, 4.334335
531.6623, 8.821388
532.1444, 11.87482
532.6265, 10.85317
533.1086, 8.188927
533.5908, 6.412270
534.0729, 7.935074
534.5550, 8.266548
535.0371, 6.541985
535.5192, 3.287964
536.0013, 0.5466230
536.4835, 2.350761
536.9656, 3.180901
537.4477, 0.2700810
537.9298, 6.220352
538.4119, 9.202789
538.8940, 8.212364
539.3762, 5.842064
539.8583, 3.520767
540.3404, 1.440666
540.8225, 1.004646
541.3046, 3.194183
541.7867, 5.787476
542.2689, 5.621803
542.7510, 3.620964
543.2331, 2.276672
543.7152, 3.247002
544.1973, 5.033127
544.6794, 6.978172
545.1616, 8.854378
545.6437, 9.717529
546.1258, 8.307716
546.6079, 6.399483
547.0900, 4.912430
547.5721, 3.888863
548.0543, 3.500740
548.5364, 4.643242
549.0185, 6.026009
549.5006, 6.114532
549.9827, 3.416328
550.4648, 2.457710
550.9470, 4.538963
551.4291, 8.175758
551.9112, 9.576302
552.3933, 8.475777
552.8754, 6.531303
553.3575, 3.812561
553.8397, 0.7233050
554.3218, 0.5556560
554.8039, 3.9779998E-02
555.2860, 0.7527770
555.7681, 0.6968230
556.2502, 0.2226410
556.7324, 7.2777003E-02
557.2145, 0.3176500
557.6966, 0.7077560
558.1787, 1.344681
558.6608, 1.791946
559.1429, 1.766762
559.6251, 0.5568240
560.1072, 0.2179640
560.5893, 2.6535001E-02
561.0714, 5.1420000E-03
561.5535, 0.2992630
562.0356, 1.559807
562.5178, 3.057755
562.9999, 3.643364
563.4820, 3.405502
563.9641, 3.092720
564.4462, 2.392876
564.9283, 1.228546
565.4105, 1.109138
565.8926, 2.259499
566.3747, 3.741203
566.8568, 5.198822
567.3389, 6.196594
567.8210, 6.032730
568.3032, 4.974495
568.7853, 4.328445
569.2674, 4.523651
569.7495, 4.926697
570.2316, 4.739929
570.7137, 4.797043
571.1959, 5.064430
571.6780, 5.497169
572.1601, 4.915176
572.6422, 3.237267
573.1243, 1.235794
573.6064, 0.5571900
574.0886, 1.491783
574.5707, 3.118126
575.0528, 5.053841
575.5349, 8.797264
576.0170, 9.777641
576.4991, 7.987045
576.9813, 6.050407
577.4634, 5.007385
577.9455, 4.280167
578.4276, 3.195152
578.9097, 3.434944
579.3918, 5.007668
579.8740, 6.625496
580.3561, 7.480530
580.8382, 7.108505
581.3203, 5.899910
581.8024, 4.553238
582.2845, 3.544395
582.7667, 2.139694
583.2488, 0.9181290
583.7309, 1.182823
584.2130, 2.664848
584.6951, 4.076431
585.1772, 4.902245
585.6594, 5.406715
586.1415, 5.492287
586.6236, 5.119751
587.1057, 4.979454
587.5878, 5.423096
588.0699, 7.291077
588.5521, 9.551300
589.0342, 11.11802
589.5163, 9.496185
589.9984, 3.892975
590.4805, 0.2858280
590.9626, 0.8949430
591.4448, 5.130409
591.9269, 6.853561
592.4090, 6.576820
592.8911, 5.767998
593.3732, 4.617805
593.8553, 2.711487
594.3375, 1.448532
594.8196, 2.173737
595.3017, 3.658722
595.7838, 2.570152
596.2659, 0.2294080
596.7480, 0.2580490
597.2302, 4.456200
597.7123, 8.956207
598.1944, 10.39552
598.6765, 9.495422
599.1586, 7.939354
599.6407, 4.593468
600.1229, 1.838333
600.6050, 0.9179230
