##NAMES=Munakataite
##RRUFFID=R110005
##IDEAL CHEMISTRY=Pb_2_Cu_2_(Se^4+^O_3_)SO_4_(OH)_4_
##LOCALITY=Tonopah-Belmont mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Blue acicular to prismatic crystals with tapering terminations, associated with brochantite and cerussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110005
567.8491, 0.2703920
568.3312, 0.2244880
568.8133, 0.5585700
569.2954, 0.8065010
569.7775, 0.5742060
570.2596, 7.7096999E-02
570.7418, 0.3805420
571.2239, 0.7929720
571.7060, 0.9038840
572.1881, 0.1126150
572.6702, 0.9041240
573.1523, 1.360863
573.6345, 0.7268980
574.1166, 0.1128370
574.5987, 4.0913001E-02
575.0808, 8.8927001E-02
575.5629, 0.2070000
576.0450, 0.2119850
576.5272, 0.2672080
577.0093, 0.5119300
577.4914, 0.8723560
577.9735, 0.7533380
578.4556, 0.2305010
578.9377, 0.8818840
579.4199, 0.3470480
579.9020, 1.407168
580.3841, 2.132839
580.8662, 1.708963
581.3483, 0.9434190
581.8304, 0.5753890
582.3126, 0.4642750
582.7947, 0.3074550
583.2768, 4.6739999E-02
583.7589, 0.2029630
584.2410, 0.3318040
584.7231, 0.3590160
585.2053, 0.3223510
585.6874, 0.1410920
586.1696, 1.0239000E-02
586.6517, 5.6639998E-03
587.1338, 0.1458510
587.6159, 0.2144840
588.0980, 5.5112999E-02
588.5801, 8.3999999E-02
589.0623, 1.0830000E-02
589.5444, 0.3697370
590.0265, 0.3217360
590.5086, 0.3400370
590.9907, 1.193266
591.4728, 2.020166
591.9550, 2.892411
592.4371, 3.131785
592.9192, 2.510542
593.4013, 1.664490
593.8834, 1.709501
594.3655, 2.467122
594.8477, 2.753307
595.3298, 1.877258
595.8119, 0.7367690
596.2940, 0.6915380
596.7761, 1.451663
597.2582, 2.041874
597.7404, 1.655218
598.2225, 1.139067
598.7046, 1.152214
599.1867, 1.725306
599.6688, 2.183977
600.1509, 2.328810
600.6331, 2.298215
601.1152, 2.124290
601.5973, 1.575321
602.0794, 1.468093
602.5615, 2.045820
603.0436, 2.833424
603.5258, 3.330904
604.0079, 3.538569
604.4900, 3.373857
604.9721, 2.633945
605.4542, 1.794401
605.9363, 2.085751
606.4185, 3.352175
606.9006, 4.217603
607.3827, 3.654057
607.8648, 2.559446
608.3469, 2.352028
608.8290, 2.879664
609.3112, 3.341156
609.7933, 3.196756
610.2754, 2.834938
610.7575, 2.580138
611.2396, 2.471669
611.7217, 2.272295
612.2039, 1.564610
612.6860, 0.9433240
613.1681, 0.9563230
613.6502, 2.221616
614.1323, 2.966457
614.6144, 2.912248
615.0966, 2.554967
615.5787, 2.736370
616.0608, 3.614688
616.5429, 3.953641
617.0250, 3.287635
617.5071, 2.120304
617.9893, 1.523024
618.4714, 1.469846
618.9535, 1.761502
619.4356, 2.750922
619.9177, 3.776937
620.3998, 3.851878
620.8820, 3.061177
621.3641, 2.262479
621.8462, 1.969429
622.3283, 1.818102
622.8104, 1.471543
623.2925, 0.7372740
623.7747, 0.4119850
624.2568, 0.9014040
624.7389, 1.697845
625.2210, 2.435857
625.7031, 3.289356
626.1852, 3.662089
626.6674, 3.377530
627.1495, 2.762155
627.6316, 2.270477
628.1137, 1.889437
628.5958, 1.802275
629.0779, 2.221250
629.5601, 2.814538
630.0422, 2.948102
630.5243, 2.654820
631.0064, 2.219846
631.4885, 1.626268
631.9706, 1.087651
632.4528, 0.7749630
632.9349, 0.7129200
633.4170, 0.9221580
633.8991, 2.006322
634.3812, 2.912068
634.8633, 2.881320
635.3455, 1.373032
635.8276, 0.4225560
636.3097, 0.3380770
636.7918, 0.5217510
637.2739, 0.5809530
637.7560, 0.4956930
638.2382, 0.2816020
638.7203, 0.1816800
639.2024, 0.5307110
639.6845, 5.3280000E-02
640.1666, 1.159239
640.6487, 2.236754
641.1309, 2.963413
641.6130, 3.329386
642.0951, 3.246438
642.5772, 2.817373
643.0594, 2.272922
643.5415, 1.520239
644.0236, 0.9177230
644.5057, 0.5049470
644.9879, 0.2700890
645.4700, 0.4676850
645.9521, 1.933784
646.4342, 3.281234
646.9163, 3.732980
647.3984, 3.073003
647.8806, 2.640784
648.3627, 2.565617
648.8448, 2.556176
649.3269, 2.291320
649.8090, 1.775301
650.2911, 1.689309
650.7733, 2.142047
651.2554, 2.774687
651.7375, 3.101471
652.2196, 3.253569
652.7017, 3.565267
653.1838, 4.293246
653.6660, 4.879757
654.1481, 4.598680
654.6302, 3.931567
655.1123, 3.717280
655.5944, 4.658804
656.0765, 5.648524
656.5587, 6.559704
657.0408, 7.283158
657.5229, 7.344342
658.0050, 6.311859
658.4871, 5.340504
658.9692, 4.800038
659.4514, 4.672926
659.9335, 4.834550
660.4156, 5.317850
660.8977, 5.810555
661.3798, 6.077079
661.8619, 6.177255
662.3441, 6.334946
662.8262, 6.569482
663.3083, 6.605833
663.7904, 6.250278
664.2725, 5.566840
