##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
499.4686, 5.684143
499.9507, 4.191284
500.4328, 2.669861
500.9149, 2.049988
501.3971, 3.933716
501.8792, 6.394287
502.3613, 7.207214
502.8434, 3.147705
503.3255, 0.6825560
503.8076, 2.069336
504.2898, 6.220337
504.7719, 8.051147
505.2540, 6.496887
505.7361, 4.157898
506.2182, 1.775818
506.7003, 0.8696290
507.1825, 1.753357
507.6646, 0.2590940
508.1467, 1.683044
508.6288, 1.641663
509.1109, 0.3677980
509.5930, 1.655334
510.0752, 1.577393
510.5573, 0.6418460
511.0394, 0.6263430
511.5215, 2.086792
512.0037, 2.821594
512.4858, 1.797974
512.9679, 2.4780000E-02
513.4500, 1.346069
513.9321, 2.123047
514.4142, 2.668884
514.8964, 3.126465
515.3785, 3.510437
515.8606, 3.823730
516.3427, 4.041321
516.8248, 4.257874
517.3069, 4.741150
517.7891, 5.225891
518.2712, 5.217468
518.7533, 3.744568
519.2354, 2.638123
519.7175, 2.552917
520.1996, 3.461853
520.6818, 4.291504
521.1639, 4.963989
521.6460, 5.654724
522.1281, 6.681458
522.6102, 8.539795
523.0923, 8.578308
523.5745, 6.044922
524.0566, 2.827087
524.5387, 1.927368
525.0208, 3.337341
525.5029, 4.405884
525.9850, 4.344604
526.4672, 3.482422
526.9493, 2.229431
527.4314, 0.6566770
527.9135, 0.5231320
528.3956, 0.7567750
528.8777, 0.4064330
529.3599, 0.3323360
529.8420, 1.517761
530.3241, 1.987305
530.8062, 0.4976810
531.2883, 3.534607
531.7704, 4.298706
532.2526, 0.4351810
532.7347, 4.254150
533.2168, 4.515198
533.6989, 2.469788
534.1810, 1.064026
534.6631, 2.173584
535.1453, 2.442078
535.6274, 0.5444340
536.1095, 3.637756
536.5916, 6.422302
537.0737, 7.370911
537.5558, 7.644775
538.0380, 7.890198
538.5201, 8.048462
539.0022, 8.551880
539.4843, 9.373413
539.9664, 10.63129
540.4485, 12.97681
540.9307, 16.17932
541.4128, 18.27618
541.8949, 17.81238
542.3770, 16.63959
542.8591, 18.30505
