##NAMES=Pseudomalachite
##RRUFFID=R050597
##IDEAL CHEMISTRY=Cu_5_(PO_4_)_2_(OH)_4_
##LOCALITY=Cerro Negro mine, Carrizalillo, Chile
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Dark-green tabular crystals associated with chalcosiderite, R060007
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050597
610.8377, 1185.523
611.3198, 1147.114
611.8019, 1105.928
612.2841, 1062.247
612.7662, 1016.971
613.2483, 969.5182
613.7304, 918.3791
614.2125, 870.6243
614.6946, 826.9880
615.1768, 785.5291
615.6589, 743.1981
616.1410, 698.7363
616.6231, 657.7770
617.1052, 621.8146
617.5873, 589.3047
618.0695, 558.5865
618.5516, 529.3622
619.0337, 501.6093
619.5158, 475.7094
619.9979, 451.0792
620.4800, 427.1961
620.9622, 404.2377
621.4443, 383.1944
621.9264, 364.9011
622.4085, 348.1853
622.8906, 331.9391
623.3727, 315.9228
623.8549, 301.4764
624.3370, 289.4671
624.8191, 278.6020
625.3012, 268.1577
625.7833, 258.1257
626.2654, 248.7294
626.7476, 240.0005
627.2297, 231.3434
627.7118, 222.1731
628.1939, 212.5049
628.6760, 202.0903
629.1581, 190.2173
629.6403, 178.8733
630.1224, 171.7241
630.6045, 167.7986
631.0866, 163.9771
631.5687, 158.6829
632.0508, 152.7938
632.5330, 147.2589
633.0151, 141.9578
633.4972, 136.0564
633.9793, 128.5173
634.4614, 120.9327
634.9435, 113.7642
635.4257, 106.8872
635.9078, 101.6974
636.3899, 99.47154
636.8720, 97.63879
637.3541, 94.27402
637.8362, 88.68509
638.3184, 84.71243
638.8005, 82.89352
639.2826, 81.82173
639.7647, 79.69772
640.2468, 76.65454
640.7289, 73.62849
641.2111, 70.71721
641.6932, 68.25226
642.1753, 66.56085
642.6574, 65.47980
643.1395, 64.71262
643.6216, 64.81522
644.1038, 64.53806
644.5859, 62.72447
645.0680, 59.77792
645.5501, 57.54742
646.0322, 57.48271
646.5143, 57.20776
646.9965, 55.68103
647.4786, 52.76471
647.9607, 50.83250
648.4428, 50.21985
648.9249, 49.89700
649.4070, 49.28624
649.8892, 48.38246
650.3713, 46.78677
650.8534, 44.38208
651.3355, 41.85831
651.8176, 39.89352
652.2997, 38.34702
652.7819, 36.95825
653.2640, 35.73413
653.7461, 34.48842
654.2282, 33.15686
654.7103, 31.71870
655.1924, 30.14857
655.6746, 27.76543
656.1567, 25.96071
656.6388, 26.10359
657.1209, 27.10292
657.6030, 25.75529
658.0851, 20.03178
658.5673, 15.66277
659.0494, 14.82657
659.5316, 16.78198
660.0137, 16.95805
660.4958, 15.24574
660.9779, 13.01355
661.4600, 10.52191
661.9421, 8.200302
662.4243, 7.507187
662.9064, 8.432602
663.3885, 9.194031
663.8706, 8.329239
664.3527, 6.694778
664.8348, 5.053040
665.3170, 3.468796
665.7991, 2.131958
666.2812, 0.9168240
