##NAMES=Philipsbornite
##RRUFFID=R070065
##IDEAL CHEMISTRY=Pb^2+^Al_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_
##LOCALITY=Hat Yai Province, Thailand
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless pyramidal crystals, associated with yellow mimetite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070065
424.9881, 1923.065
425.4702, 1928.544
425.9523, 1929.053
426.4344, 1935.613
426.9166, 1953.608
427.3987, 1962.782
427.8808, 1956.355
428.3629, 1935.975
428.8450, 1923.226
429.3271, 1921.458
429.8092, 1921.669
430.2914, 1917.071
430.7735, 1907.339
431.2556, 1895.981
431.7377, 1882.654
432.2198, 1869.889
432.7019, 1864.147
433.1841, 1864.019
433.6662, 1856.576
434.1483, 1830.781
434.6304, 1793.729
435.1125, 1767.626
435.5946, 1754.251
436.0768, 1741.659
436.5589, 1717.855
437.0410, 1685.470
437.5231, 1650.416
438.0052, 1611.162
438.4873, 1573.786
438.9695, 1549.009
439.4516, 1533.221
439.9337, 1508.601
440.4158, 1458.829
440.8979, 1399.570
441.3800, 1343.438
441.8622, 1290.374
442.3443, 1246.167
442.8264, 1219.547
443.3085, 1203.435
443.7906, 1184.376
444.2727, 1156.534
444.7549, 1125.905
445.2370, 1094.088
445.7191, 1060.778
446.2012, 1030.237
446.6833, 1005.642
447.1654, 981.9385
447.6476, 954.3120
448.1297, 914.3843
448.6118, 884.1677
449.0939, 869.0303
449.5760, 866.0918
450.0581, 860.4307
450.5403, 852.0234
451.0224, 840.8181
451.5045, 827.5259
451.9866, 812.5674
452.4687, 789.6550
452.9508, 755.8896
453.4330, 719.7917
453.9151, 694.7241
454.3972, 680.3325
454.8793, 672.2004
455.3614, 669.6875
455.8435, 671.7397
456.3256, 679.2305
456.8077, 692.2334
457.2899, 698.2295
457.7720, 673.4233
458.2541, 636.0583
458.7362, 623.9697
459.2183, 658.8862
459.7004, 698.3164
460.1826, 700.3362
460.6647, 676.4336
461.1468, 657.8557
461.6289, 659.7192
462.1110, 672.8098
462.5931, 694.1948
463.0753, 725.5342
463.5574, 751.7603
464.0395, 762.6714
464.5216, 768.1682
465.0037, 778.7837
465.4858, 803.9878
465.9680, 826.4365
466.4501, 839.5442
466.9322, 844.9663
467.4143, 858.5645
467.8964, 886.0779
468.3785, 915.5400
468.8607, 941.7197
469.3428, 965.0896
469.8249, 982.6709
470.3070, 990.1333
470.7891, 995.9287
