##NAMES=Variscite
##RRUFFID=R100222
##IDEAL CHEMISTRY=AlPO_4_&#183;2H_2_O
##LOCALITY=Canarana, Mato Grosso, Brazil
##OWNER=RRUFF
##SOURCE=Luiz Menezes
##DESCRIPTION=Green blocky, combination of pseudo-octahedral and pseudo-cubes on quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100222
580.4357, 50.27234
580.9178, 48.67737
581.3999, 45.09387
581.8820, 41.48792
582.3641, 39.37756
582.8463, 38.51611
583.3284, 37.38098
583.8105, 34.97754
584.2926, 33.81799
584.7747, 35.44446
585.2568, 37.35596
585.7390, 37.26636
586.2211, 35.44104
586.7032, 34.14185
587.1853, 35.28979
587.6674, 37.92847
588.1495, 39.36902
588.6317, 39.43396
589.1138, 39.53442
589.5959, 39.83838
590.0780, 40.57239
590.5601, 41.95105
591.0422, 43.96558
591.5244, 45.73828
592.0065, 46.41833
592.4886, 47.16272
592.9707, 49.64221
593.4528, 53.19006
593.9349, 55.04065
594.4171, 53.86230
594.8992, 51.98254
595.3813, 53.74780
595.8634, 61.40295
596.3455, 66.36389
596.8276, 66.55249
597.3098, 66.62659
597.7919, 68.54150
598.2740, 71.67712
598.7561, 74.74817
599.2382, 77.23865
599.7203, 79.66638
600.2025, 82.84241
600.6846, 86.82605
601.1667, 90.76550
601.6488, 94.91663
602.1309, 98.21252
602.6130, 98.95166
603.0952, 98.45044
603.5773, 99.52356
604.0594, 103.6394
604.5415, 107.5479
605.0236, 108.4904
605.5057, 108.4650
605.9879, 111.0909
606.4700, 116.9528
606.9521, 122.6061
607.4342, 125.1396
607.9163, 124.8906
608.3984, 124.4574
608.8806, 122.8300
609.3627, 122.4609
609.8448, 124.0980
610.3269, 126.6110
610.8090, 129.4996
611.2911, 132.5098
611.7733, 135.3783
612.2554, 138.5569
612.7375, 141.1512
613.2196, 140.3494
613.7017, 135.8165
614.1838, 131.2997
614.6660, 127.6089
615.1481, 124.7607
615.6302, 123.5070
616.1123, 123.7094
616.5944, 121.9939
617.0765, 116.6628
617.5587, 110.0470
618.0408, 102.7626
618.5229, 95.62549
619.0050, 90.45532
619.4871, 87.82495
619.9692, 86.05811
620.4514, 83.08386
620.9335, 78.76599
621.4156, 74.65881
621.8977, 70.74597
622.3798, 67.08752
622.8619, 64.04797
623.3441, 61.22949
623.8262, 58.16589
624.3083, 54.54395
624.7904, 50.60034
625.2725, 46.58130
625.7546, 42.70483
626.2367, 39.05896
626.7188, 35.51477
627.2009, 33.14551
627.6830, 33.23376
628.1652, 34.41370
628.6473, 33.41052
629.1294, 29.82715
629.6115, 25.91406
630.0936, 20.55627
630.5757, 16.19031
631.0579, 15.24475
631.5400, 16.79102
632.0221, 18.41626
632.5042, 18.79895
632.9863, 17.94043
633.4684, 15.43237
633.9506, 10.59802
634.4327, 7.518188
634.9148, 7.758179
635.3969, 8.119263
635.8790, 6.603760
636.3611, 4.227295
636.8433, 2.848022
637.3254, 3.136841
637.8075, 3.847412
638.2896, 4.432617
638.7717, 4.720093
639.2538, 4.158203
639.7360, 2.712769
640.2181, 1.297485
640.7002, 0.5723880
641.1823, 0.3415530
641.6644, 0.1718750
642.1465, 0.9627690
642.6287, 2.041138
643.1108, 4.350220
643.5929, 6.140869
644.0750, 5.558594
644.5571, 3.387817
645.0392, 2.159790
645.5214, 3.553345
646.0035, 5.687744
646.4856, 4.874634
646.9677, 1.122681
647.4498, 1.227661
647.9319, 0.9757080
648.4141, 2.0873999E-02
648.8962, 0.2629390
649.3783, 1.3184000E-02
649.8604, 0.5134280
650.3425, 1.917969
650.8246, 2.554932
651.3068, 0.7009280
651.7889, 1.753052
652.2710, 2.136963
652.7531, 0.3531490
653.2352, 1.562744
653.7173, 1.998535
654.1995, 1.320435
654.6816, 1.021484
655.1637, 1.086548
655.6458, 1.604858
656.1279, 3.858154
656.6100, 5.465454
657.0922, 4.344849
657.5743, 1.284424
658.0564, 0.9069820
658.5385, 0.8845210
659.0206, 4.1503999E-02
659.5027, 1.229980
659.9849, 2.313232
660.4670, 1.980469
660.9491, 0.1052250
661.4312, 2.543579
661.9133, 4.291748
662.3954, 5.285889
662.8776, 4.622437
663.3597, 0.2059330
663.8418, 3.405029
664.3239, 3.202026
664.8060, 2.097778
665.2881, 2.189453
665.7703, 3.423096
666.2524, 4.486450
666.7345, 4.679565
667.2166, 4.036743
667.6987, 1.990845
668.1808, 1.380493
668.6630, 2.917480
669.1451, 1.380981
669.6272, 0.9978030
670.1093, 2.198853
670.5914, 2.286011
671.0735, 2.312012
671.5557, 2.280396
