##NAMES=Diamond
##RRUFFID=R050205
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050205
1178.289, 61.50220
1179.512, 7.300049
1180.734, 110.8794
1181.956, 86.05176
1183.178, 38.21606
1184.399, 72.37207
1185.621, 6.519531
1186.842, 61.65625
1188.063, 76.78491
1189.284, 28.90625
1190.505, 82.01782
1191.726, 57.12207
1192.946, 76.21802
1194.166, 49.30737
1195.386, 32.38354
1196.606, 95.45532
1197.826, 113.5193
1199.045, 43.57568
1200.264, 26.62427
1201.483, 16.33667
1202.702, 17.31958
1203.921, 63.68408
1205.139, 30.65039
1206.357, 58.63892
1207.575, 106.6213
1208.793, 31.59595
1210.011, 69.54932
1211.228, 6.491699
1212.446, 1.425537
1213.663, 43.35547
1214.880, 39.19312
1216.097, 105.0813
1217.313, 82.99121
1218.529, 6.893555
1219.746, 68.78564
1220.962, 86.67090
1222.177, 2.549316
1223.393, 87.41675
1224.608, 88.27686
1225.824, 74.13013
1227.039, 131.9763
1228.254, 15.68457
1229.468, 94.51562
1230.683, 79.33984
1231.897, 111.1580
1233.111, 113.9692
1234.325, 107.5388
1235.539, 104.4983
1236.752, 97.36450
1237.965, 73.15088
1239.179, 71.93091
1240.392, 62.70386
1241.604, 47.48975
1242.817, 83.22852
1244.029, 32.97900
1245.241, 49.64087
1246.453, 66.37769
1247.665, 25.10742
1248.877, 18.68384
1250.088, 68.38477
1251.300, 86.88281
1252.511, 92.48608
1253.722, 112.5305
1254.932, 101.6562
1256.143, 103.0613
1257.353, 97.56958
1258.563, 49.16284
1259.773, 85.79590
1260.983, 40.94360
1262.192, 115.6091
1263.402, 0.9008790
1264.611, 101.7183
1265.820, 79.30078
1267.029, 39.87695
1268.237, 15.37207
1269.446, 36.66577
1270.654, 13.01440
1271.862, 62.41260
1273.070, 2.849854
1274.278, 86.24805
1275.485, 131.6514
1276.692, 0.9958500
1277.900, 4.537598
1279.106, 91.02124
1280.313, 50.31787
1281.520, 68.61084
1282.726, 2.972168
1283.932, 33.36328
1285.138, 50.61035
1286.344, 60.61475
1287.550, 48.01367
1288.755, 60.60156
1289.960, 61.12207
1291.165, 54.47021
1292.370, 83.72705
1293.575, 52.03564
1294.779, 95.45459
1295.984, 57.26611
1297.188, 69.46143
1298.392, 15.82227
1299.595, 41.16309
1300.799, 2.307617
1302.002, 114.0103
1303.206, 84.01904
1304.409, 78.41162
1305.611, 61.47021
1306.814, 112.8457
1308.016, 164.0757
1309.219, 141.4214
1310.421, 136.7476
1311.623, 219.9536
1312.824, 182.2754
1314.026, 151.6025
1315.227, 250.6841
1316.428, 215.5796
1317.629, 319.8057
1318.830, 331.7896
1320.031, 432.9277
1321.231, 471.0664
1322.431, 672.4014
1323.631, 774.6841
1324.831, 947.8550
1326.031, 1379.181
1327.230, 2113.503
1328.429, 3660.682
1329.628, 8060.000
1330.827, 20283.88
1332.026, 39608.15
1333.225, 43032.46
1334.423, 27736.59
1335.621, 12900.88
1336.819, 5574.109
1338.017, 2838.395
1339.214, 1682.589
1340.412, 1198.711
1341.609, 801.9912
1342.806, 607.2705
1344.003, 549.4380
1345.200, 427.5352
1346.396, 332.1157
1347.592, 313.6357
1348.788, 267.0566
1349.984, 191.1729
1351.180, 190.4370
1352.376, 145.0391
1353.571, 162.1636
1354.766, 146.4414
1355.961, 139.6597
1357.156, 145.3745
1358.351, 86.14355
1359.545, 146.3125
1360.739, 135.6011
1361.933, 139.8936
1363.127, 71.81885
1364.321, 123.1216
1365.515, 90.42285
1366.708, 90.22021
1367.901, 71.51807
1369.094, 74.74365
1370.287, 106.1006
1371.479, 76.38330
1372.672, 98.43799
1373.864, 71.72900
1375.056, 37.02686
1376.248, 97.33398
1377.440, 58.65820
1378.631, 59.00586
1379.822, 60.39258
1381.014, 116.8491
1382.205, 50.14307
1383.395, 123.3711
1384.586, 62.52979
1385.776, 100.7529
1386.966, 74.67773
1388.157, 39.93018
1389.346, 35.17822
1390.536, 55.42139
1391.725, 37.62451
1392.915, 109.4702
1394.104, 16.02686
1395.293, 128.2104
1396.482, 28.12500
1397.670, 44.80420
1398.858, 40.64648
1400.047, 11.82178
1401.235, 21.20020
1402.422, 158.3672
1403.610, 33.23779
1404.798, 56.33301
1405.985, 88.49072
1407.172, 6.363770
1408.359, 96.78223
1409.546, 46.92480
1410.732, 28.08008
1411.918, 37.10107
1413.105, 14.73438
1414.291, 26.89600
1415.476, 16.05664
1416.662, 34.21436
1417.848, 9.369141
