##NAMES=Kunatite
##RRUFFID=R120055
##IDEAL CHEMISTRY=CuFe^3+^_2_(PO_4_)_2_(OH)_2_&#183;4H_2_O
##LOCALITY=Krasno, Horni Slakov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Spherical aggregates of pale green acicular crystals on quartz, associated with triplite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120055
514.5886, 15.90228
515.0707, 15.58336
515.5528, 13.98077
516.0349, 11.98732
516.5170, 10.86339
516.9991, 11.98404
517.4813, 13.05542
517.9634, 13.26012
518.4455, 12.68954
518.9276, 12.20383
519.4097, 12.32890
519.8918, 12.17773
520.3740, 11.27202
520.8561, 9.148468
521.3382, 7.802826
521.8203, 7.514130
522.3024, 7.672974
522.7845, 7.595428
523.2667, 7.247650
523.7488, 6.828888
524.2309, 6.380493
524.7130, 5.886749
525.1951, 5.244476
525.6772, 4.455475
526.1594, 3.755554
526.6415, 3.411102
527.1236, 3.218521
527.6057, 2.707565
528.0878, 1.867050
528.5699, 0.9080050
529.0521, 0.1905360
529.5342, 1.219589
530.0163, 1.848450
530.4984, 1.727631
530.9805, 1.659286
531.4626, 2.303711
531.9448, 3.291168
532.4269, 3.901749
532.9090, 3.464111
533.3911, 3.080673
533.8732, 3.292892
534.3553, 4.146393
534.8375, 4.468597
535.3196, 4.018021
535.8017, 3.251404
536.2838, 2.430893
536.7659, 1.644394
537.2480, 0.4290470
537.7302, 1.574692
538.2123, 3.515823
538.6944, 3.830750
539.1765, 2.377319
539.6586, 1.358887
540.1407, 1.473587
540.6229, 2.324463
541.1050, 2.961594
541.5871, 3.430450
542.0692, 4.159790
542.5513, 5.912369
543.0334, 7.923553
543.5156, 8.858124
543.9977, 8.595779
544.4798, 8.278854
544.9619, 8.752228
545.4440, 9.586685
545.9261, 10.28613
546.4083, 10.33583
546.8904, 10.77603
547.3725, 12.25237
547.8546, 14.33705
548.3367, 16.14287
548.8188, 17.68657
549.3010, 18.75484
549.7831, 19.10014
550.2652, 18.73628
550.7473, 18.85443
551.2294, 19.77065
551.7115, 20.63451
552.1937, 20.85220
552.6758, 20.34409
553.1579, 19.98758
553.6400, 19.84669
554.1221, 19.79744
554.6042, 19.67126
555.0864, 19.48492
555.5685, 19.31815
556.0506, 19.13820
556.5327, 19.06908
557.0148, 19.20200
557.4969, 19.57465
557.9791, 20.33711
558.4612, 21.97029
558.9433, 23.75060
559.4254, 25.07394
559.9075, 25.89806
560.3896, 26.55884
560.8718, 26.85835
561.3539, 27.24936
561.8360, 28.09981
562.3181, 30.20918
562.8002, 31.62134
563.2823, 31.30856
563.7645, 30.65875
564.2466, 32.02521
564.7287, 36.71185
565.2108, 40.43320
565.6929, 41.93446
566.1750, 41.75214
566.6572, 42.32005
567.1393, 43.65709
567.6214, 45.28403
568.1035, 47.12505
568.5856, 49.08624
569.0677, 50.65289
569.5499, 51.77121
570.0320, 52.81798
570.5141, 54.99190
570.9962, 57.13771
571.4783, 57.07942
571.9604, 53.18565
572.4426, 49.29073
572.9247, 48.06943
573.4068, 48.43068
573.8889, 48.41663
574.3710, 47.46887
574.8531, 46.14384
575.3353, 44.50221
575.8174, 42.59068
576.2995, 40.76756
576.7816, 39.07719
577.2637, 37.43692
577.7458, 35.86362
578.2280, 34.47949
578.7101, 32.47952
579.1922, 29.45779
579.6743, 26.66484
580.1564, 25.95288
580.6385, 27.14650
581.1207, 26.87515
581.6028, 24.10460
582.0849, 20.74838
582.5670, 19.94066
583.0491, 21.04782
583.5313, 21.94688
584.0134, 21.24393
584.4955, 20.08911
584.9776, 19.55212
585.4597, 19.53218
585.9418, 19.44489
586.4240, 18.72812
586.9061, 18.12738
587.3882, 18.12814
587.8703, 18.98575
588.3524, 19.73750
588.8345, 20.21039
589.3167, 20.47375
589.7988, 20.61520
590.2809, 20.73825
590.7630, 20.58037
591.2451, 20.00299
591.7272, 19.25778
592.2094, 18.75383
592.6915, 18.49922
593.1736, 18.69702
593.6557, 19.76627
594.1378, 21.09763
594.6199, 20.94453
595.1021, 19.50328
595.5842, 18.22746
596.0663, 18.46529
596.5484, 19.16182
597.0305, 19.00893
597.5126, 17.88255
597.9948, 16.74477
598.4769, 16.07321
598.9590, 15.66380
599.4411, 15.36049
599.9232, 15.33614
600.4053, 15.08820
600.8875, 14.40483
601.3696, 13.51790
601.8517, 12.72903
602.3338, 11.98880
602.8159, 11.47112
603.2980, 11.23923
603.7802, 11.21501
604.2623, 11.26793
604.7444, 11.47296
605.2265, 11.23364
605.7086, 9.806244
606.1907, 7.671417
606.6729, 6.561066
607.1550, 6.466263
607.6371, 6.733780
608.1192, 7.169815
608.6013, 7.525833
609.0834, 7.437958
609.5656, 6.772156
610.0477, 5.947479
610.5298, 4.846634
611.0119, 3.870178
611.4940, 3.453400
611.9761, 4.213760
612.4583, 4.944000
612.9404, 5.561844
613.4225, 6.032196
613.9046, 6.253342
614.3867, 6.172729
614.8688, 5.939423
615.3510, 5.607468
615.8331, 5.163239
616.3152, 4.432388
616.7973, 3.381271
617.2794, 2.398895
617.7615, 1.744507
618.2437, 1.367065
618.7258, 1.163208
619.2079, 1.126465
619.6900, 1.112534
620.1721, 1.032928
620.6542, 0.8846740
621.1364, 0.6645810
621.6185, 0.3410800
622.1006, 3.1280001E-03
622.5827, 0.3048400
623.0648, 0.6083370
623.5469, 0.9430240
624.0291, 1.733124
624.5112, 2.016998
624.9933, 1.339798
625.4754, 7.6263003E-02
625.9575, 0.4230190
626.4396, 0.1132970
626.9218, 0.5957950
627.4039, 0.5156710
627.8860, 1.2405000E-02
628.3681, 1.8753000E-02
628.8502, 0.4349520
629.3323, 0.9960940
629.8145, 1.690628
630.2966, 2.220848
630.7787, 1.777115
631.2608, 0.1980590
631.7429, 1.171280
632.2250, 1.127335
632.7072, 0.4323430
633.1893, 0.1081090
633.6714, 0.2796250
634.1535, 0.3034060
634.6356, 8.8180996E-02
635.1177, 0.2005920
635.5999, 0.2856980
636.0820, 6.5398999E-02
636.5641, 0.2539980
637.0462, 0.1939930
637.5283, 9.8434001E-02
638.0104, 0.7016370
638.4926, 1.730721
638.9747, 2.377449
639.4568, 2.142609
639.9389, 1.269783
640.4210, 0.4352650
640.9031, 0.3486020
641.3853, 0.7889020
641.8674, 0.5796810
642.3495, 3.0861000E-02
