##NAMES=Wiserite
##RRUFFID=R130122
##IDEAL CHEMISTRY=Mn^2+^_14_(B_2_O_5_)_4_(OH)_8_&#183;(Si,Mg)(O,OH)_4_Cl
##LOCALITY=Kombat Mine, Namibia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Light brown prismatic to needles, associated with black hausmannite and white barite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130122
529.4434, 0.5994340
529.9255, 0.9124910
530.4076, 0.8431850
530.8897, 0.7478790
531.3718, 0.8017960
531.8539, 0.8931270
532.3361, 0.9035720
532.8182, 0.8074340
533.3003, 0.6931690
533.7824, 0.5518110
534.2645, 0.4452510
534.7466, 0.5737080
535.2288, 0.9848480
535.7109, 1.323669
536.1930, 1.290634
536.6751, 0.9489210
537.1572, 0.7345350
537.6393, 0.7343220
538.1215, 0.7446520
538.6036, 0.6021120
539.0857, 0.4863510
539.5678, 0.7364040
540.0499, 1.366966
540.5320, 1.933517
541.0142, 1.941696
541.4963, 1.372414
541.9784, 0.9085240
542.4604, 0.6026840
542.9426, 0.3538670
543.4247, 0.1449130
543.9068, 1.0941000E-02
544.3889, 6.0020000E-02
544.8710, 2.7920001E-03
545.3531, 4.2778000E-02
545.8353, 0.1347730
546.3174, 0.5038530
546.7995, 0.7133940
547.2816, 0.6374360
547.7637, 0.6281970
548.2458, 1.129646
548.7280, 1.794983
549.2101, 2.006203
549.6922, 1.451729
550.1743, 0.8797150
550.6564, 0.7463300
551.1385, 0.9374620
551.6207, 1.284225
552.1028, 1.753006
552.5849, 2.137215
553.0670, 2.187538
553.5491, 1.900352
554.0313, 1.974861
554.5134, 2.734001
554.9955, 3.405563
555.4776, 3.807640
555.9597, 4.000519
556.4418, 3.986977
556.9240, 3.780411
557.4061, 3.556053
557.8882, 3.569061
558.3703, 3.842834
558.8524, 3.903938
559.3345, 3.569939
559.8167, 3.268875
560.2988, 3.032516
560.7809, 2.933624
561.2630, 3.150269
561.7451, 3.767815
562.2272, 4.364609
562.7094, 4.449448
563.1915, 4.203613
563.6736, 4.346390
564.1557, 5.072929
