##NAMES=Krautite
##RRUFFID=R060967
##IDEAL CHEMISTRY=Mn^2+^(As^5+^O_3_OH)&#183;H_2_O
##LOCALITY=Jachymov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pink spheroidal aggregates and crusts found with other secondary arsenic minerals, quartz and mica
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060967
587.2524, 67.26562
587.7346, 49.14062
588.2167, 56.59766
588.6988, 75.67188
589.1809, 119.2266
589.6630, 150.5234
590.1451, 176.0508
590.6273, 182.8281
591.1094, 147.7148
591.5915, 88.39062
592.0736, 45.83594
592.5557, 42.25391
593.0378, 55.08984
593.5200, 44.48828
594.0021, 12.13672
594.4842, 5.656250
594.9663, 40.15625
595.4484, 80.04297
595.9305, 94.83594
596.4127, 90.73047
596.8948, 101.0039
597.3769, 139.8945
597.8590, 175.5586
598.3411, 195.4219
598.8232, 209.4141
599.3054, 231.8086
599.7875, 261.7305
600.2696, 285.3867
600.7517, 292.5547
601.2338, 284.8203
601.7159, 260.1719
602.1981, 207.6641
602.6802, 187.5859
603.1623, 238.1367
603.6444, 301.0547
604.1265, 324.0898
604.6086, 311.4766
605.0908, 290.3984
605.5729, 254.6250
606.0550, 225.2188
606.5371, 223.1914
607.0192, 236.8984
607.5013, 238.4102
607.9835, 220.3945
608.4656, 207.9336
608.9477, 234.0469
609.4298, 296.7539
609.9119, 319.8242
610.3940, 256.9609
610.8762, 237.3672
611.3583, 372.1406
611.8404, 520.0391
612.3225, 542.9180
612.8046, 431.9062
613.2867, 329.8906
613.7689, 296.5039
614.2510, 303.6562
614.7331, 343.5898
615.2152, 401.2070
615.6973, 431.8516
616.1794, 417.9805
616.6616, 383.4648
617.1437, 362.5000
617.6258, 358.3750
618.1079, 347.8945
618.5900, 318.9180
619.0721, 298.9023
619.5543, 298.3125
620.0364, 309.6406
620.5185, 325.2539
621.0006, 343.8008
621.4827, 362.9727
621.9648, 393.6680
622.4470, 416.4023
622.9291, 382.0664
623.4112, 304.3281
623.8933, 277.1484
624.3754, 351.6484
624.8575, 467.6133
625.3397, 509.7656
625.8218, 445.7148
626.3039, 413.3125
626.7860, 460.5117
627.2681, 486.5547
627.7502, 441.9297
628.2324, 366.1133
628.7145, 317.8789
629.1966, 314.7578
629.6787, 326.2383
630.1608, 335.9531
630.6429, 339.8672
631.1251, 330.6641
631.6072, 314.1875
632.0893, 317.7734
632.5714, 362.8281
633.0535, 422.3477
633.5356, 431.1484
634.0178, 354.7109
634.4999, 303.9180
634.9820, 295.1953
635.4641, 287.9805
635.9462, 256.1172
636.4283, 223.9219
636.9105, 239.0703
637.3926, 323.9570
637.8747, 413.6133
638.3568, 468.1367
638.8389, 485.1445
639.3210, 438.9180
639.8032, 332.7578
640.2853, 253.1758
640.7674, 257.5312
641.2495, 313.2539
641.7316, 333.2852
642.2137, 295.0391
642.6959, 264.8828
643.1780, 249.3047
643.6601, 238.3867
644.1422, 223.8633
644.6243, 210.8945
645.1064, 211.9102
645.5886, 235.3945
646.0707, 257.4023
646.5528, 249.1406
647.0349, 227.6719
647.5170, 230.0547
647.9991, 258.9297
648.4813, 290.9180
648.9634, 315.5234
649.4455, 325.8867
649.9276, 300.3438
650.4097, 204.1367
650.8918, 144.3516
651.3740, 128.4336
651.8561, 137.8320
652.3382, 186.3867
652.8203, 250.9336
653.3024, 288.6602
653.7845, 283.1875
654.2667, 261.8477
654.7488, 234.8477
655.2309, 211.2148
655.7130, 209.2812
656.1951, 227.7266
656.6772, 247.2539
657.1594, 257.0508
657.6415, 266.8516
658.1236, 307.5039
658.6057, 415.6875
659.0878, 463.0586
659.5699, 398.9570
660.0521, 324.1836
660.5342, 264.5703
661.0163, 226.3516
661.4984, 226.8516
661.9805, 284.1094
662.4626, 319.3945
662.9448, 262.1641
663.4269, 165.0781
663.9090, 89.37109
664.3911, 43.39062
664.8732, 35.39453
665.3553, 73.51953
665.8375, 126.3203
666.3196, 121.5352
666.8017, 31.63672
667.2838, 7.250000
667.7659, 45.11328
668.2480, 95.27344
668.7302, 89.60938
669.2123, 61.03125
669.6944, 58.16797
670.1765, 91.63281
670.6586, 131.1914
671.1407, 173.9805
671.6229, 208.4844
672.1050, 215.5898
672.5870, 203.3242
673.0692, 201.6680
673.5513, 224.1055
674.0334, 245.8320
674.5155, 217.8945
674.9976, 133.6211
675.4797, 95.05078
675.9619, 117.8672
676.4440, 152.8203
676.9261, 195.8672
677.4082, 229.4805
677.8903, 219.9023
678.3724, 154.7109
678.8546, 112.9336
679.3367, 141.9062
679.8188, 172.9922
680.3009, 150.8281
680.7830, 101.9531
681.2651, 78.26953
681.7473, 95.56250
682.2294, 125.3438
682.7115, 137.2188
683.1936, 128.8047
683.6757, 108.6289
684.1578, 74.68750
684.6400, 51.40625
685.1221, 51.52734
685.6042, 62.66797
686.0863, 65.86719
686.5684, 60.06641
