##NAMES=Tenorite
##RRUFFID=R060978
##IDEAL CHEMISTRY=CuO
##LOCALITY=Algomah, Michigan, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black massive with some prismatic faces, associated with malachite and chrysocolla
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060978
547.7189, 123.9351
548.2010, 152.1782
548.6832, 135.4316
549.1653, 111.2925
549.6474, 93.76270
550.1295, 86.21387
550.6116, 92.03955
551.0938, 114.1655
551.5759, 143.8462
552.0580, 167.1733
552.5401, 184.2285
553.0222, 197.2632
553.5043, 205.3809
553.9865, 211.7139
554.4686, 218.2334
554.9507, 225.0757
555.4328, 232.6885
555.9149, 244.1079
556.3970, 253.2500
556.8792, 254.8872
557.3613, 252.8247
557.8434, 251.4858
558.3255, 252.4609
558.8076, 259.6777
559.2897, 279.4023
559.7719, 312.0806
560.2540, 332.9829
560.7361, 333.3301
561.2182, 334.3267
561.7003, 337.7437
562.1824, 345.8057
562.6646, 364.2139
563.1467, 393.5444
563.6288, 419.1470
564.1109, 427.6597
564.5930, 426.9946
565.0751, 431.2739
565.5573, 441.0229
566.0394, 449.9961
566.5215, 453.7773
567.0036, 456.7144
567.4857, 469.9346
567.9678, 510.1572
568.4500, 527.6514
568.9321, 498.0356
569.4142, 470.2729
569.8963, 478.5435
570.3784, 511.9111
570.8605, 537.9863
571.3427, 538.9365
571.8248, 532.7158
572.3069, 549.8433
572.7890, 589.7036
573.2711, 629.8823
573.7532, 672.3740
574.2354, 706.1489
574.7175, 713.0869
575.1996, 699.6016
575.6817, 697.8228
576.1638, 719.7041
576.6459, 742.7734
577.1281, 754.6724
577.6102, 764.1841
578.0923, 785.0181
578.5744, 817.8062
579.0565, 846.9941
579.5386, 856.4785
580.0208, 848.8770
580.5029, 849.4829
580.9850, 860.3267
581.4671, 879.0293
581.9492, 910.0815
582.4313, 942.4766
582.9134, 967.0894
583.3955, 984.2896
583.8776, 999.5352
584.3597, 1008.974
584.8419, 1018.855
585.3240, 1036.950
585.8061, 1061.662
586.2882, 1085.768
586.7703, 1106.853
587.2524, 1127.346
587.7346, 1150.828
588.2167, 1181.120
588.6988, 1198.831
589.1809, 1183.790
589.6630, 1177.669
590.1451, 1203.979
590.6273, 1243.796
591.1094, 1268.911
591.5915, 1269.321
592.0736, 1263.047
592.5557, 1263.491
593.0378, 1269.105
593.5200, 1278.734
594.0021, 1291.855
594.4842, 1300.016
594.9663, 1295.944
595.4484, 1285.026
595.9305, 1283.816
596.4127, 1292.870
596.8948, 1311.545
597.3769, 1351.797
597.8590, 1391.069
598.3411, 1417.514
598.8232, 1430.514
599.3054, 1431.063
599.7875, 1417.208
600.2696, 1400.082
600.7517, 1397.067
601.2338, 1407.396
601.7159, 1421.832
602.1981, 1442.354
602.6802, 1456.228
603.1623, 1447.842
603.6444, 1421.585
604.1265, 1412.247
604.6086, 1433.834
605.0908, 1454.010
605.5729, 1469.637
606.0550, 1477.858
606.5371, 1465.520
607.0192, 1437.402
607.5013, 1422.048
607.9835, 1445.623
608.4656, 1492.938
608.9477, 1515.167
609.4298, 1508.402
609.9119, 1500.438
610.3940, 1497.481
610.8762, 1496.046
611.3583, 1493.146
611.8404, 1488.825
612.3225, 1482.897
612.8046, 1476.606
613.2867, 1467.378
613.7689, 1454.232
614.2510, 1437.232
614.7331, 1412.398
615.2152, 1380.885
615.6973, 1356.973
616.1794, 1359.018
616.6616, 1382.104
617.1437, 1383.116
617.6258, 1354.113
618.1079, 1324.312
618.5900, 1301.408
619.0721, 1282.757
619.5543, 1266.285
620.0364, 1251.921
620.5185, 1237.422
621.0006, 1219.319
621.4827, 1203.274
621.9648, 1195.688
622.4470, 1193.050
622.9291, 1189.172
623.4112, 1181.683
623.8933, 1167.845
624.3754, 1140.982
624.8575, 1100.421
625.3397, 1078.734
625.8218, 1084.415
626.3039, 1094.612
626.7860, 1108.912
627.2681, 1118.195
627.7502, 1108.720
628.2324, 1078.431
628.7145, 1050.027
629.1966, 1040.118
629.6787, 1030.723
630.1608, 999.8315
630.6429, 954.4932
631.1251, 918.3135
631.6072, 900.7329
632.0893, 891.1719
632.5714, 876.1733
633.0535, 859.2427
633.5356, 824.3081
634.0178, 749.5996
634.4999, 684.9028
634.9820, 661.3008
635.4641, 652.3867
635.9462, 624.7681
636.4283, 571.6191
636.9105, 523.8413
637.3926, 502.6313
637.8747, 488.5635
638.3568, 457.0400
638.8389, 413.3086
639.3210, 381.7314
639.8032, 373.7227
640.2853, 372.2954
640.7674, 346.3174
641.2495, 287.6948
641.7316, 250.8511
642.2137, 248.6382
642.6959, 250.4385
643.1780, 251.5156
643.6601, 246.2271
644.1422, 222.7378
644.6243, 175.5513
645.1064, 136.7397
645.5886, 128.6011
646.0707, 132.6758
646.5528, 133.0493
647.0349, 128.9678
647.5170, 113.5400
647.9991, 82.42871
648.4813, 54.57031
648.9634, 67.23047
649.4455, 132.4722
649.9276, 168.3140
650.4097, 165.6943
650.8918, 147.1201
651.3740, 103.1079
651.8561, 57.50000
652.3382, 46.61572
652.8203, 81.38623
653.3024, 108.2910
653.7845, 89.59326
654.2667, 63.50684
654.7488, 78.52051
655.2309, 121.0088
655.7130, 139.7373
656.1951, 112.0615
656.6772, 66.73633
657.1594, 48.55615
657.6415, 59.93945
658.1236, 78.23096
658.6057, 116.6782
659.0878, 137.6841
659.5699, 104.9067
660.0521, 54.13135
660.5342, 34.26074
661.0163, 54.13037
661.4984, 66.91064
661.9805, 54.20117
662.4626, 30.64648
662.9448, 0.3652340
663.4269, 29.73291
663.9090, 47.27783
664.3911, 47.24658
664.8732, 34.11768
665.3553, 8.709961
665.8375, 28.75684
666.3196, 48.56006
666.8017, 46.08154
667.2838, 37.96484
667.7659, 25.33594
668.2480, 14.82764
668.7302, 19.73486
669.2123, 43.79443
669.6944, 54.76416
670.1765, 30.76025
670.6586, 7.464355
671.1407, 9.775879
671.6229, 27.08789
672.1050, 41.98926
672.5870, 48.48584
673.0692, 46.28955
673.5513, 29.78027
674.0334, 3.692383
674.5155, 4.532227
674.9976, 7.950684
675.4797, 18.17920
675.9619, 14.70752
676.4440, 9.554199
676.9261, 21.97656
677.4082, 55.84668
677.8903, 77.11768
678.3724, 79.84717
678.8546, 75.76465
679.3367, 65.63867
679.8188, 53.05273
680.3009, 40.86426
680.7830, 30.15625
681.2651, 22.66211
681.7473, 22.82520
682.2294, 25.34570
682.7115, 14.03223
683.1936, 9.097168
683.6757, 15.54590
684.1578, 6.414551
684.6400, 33.25635
685.1221, 38.19873
685.6042, 20.93213
686.0863, 12.03076
686.5684, 19.33350
687.0505, 24.96973
687.5327, 20.69043
688.0148, 18.18701
688.4969, 37.25537
688.9790, 70.38037
689.4611, 79.24609
689.9432, 26.26660
690.4254, 35.49902
690.9075, 43.76514
691.3896, 15.94287
691.8717, 3.839844
692.3538, 6.430664
692.8359, 1.601074
693.3181, 3.729492
693.8002, 8.837891
694.2823, 9.574219
694.7644, 2.343750
695.2465, 0.7099610
695.7286, 3.329590
696.2108, 10.67139
696.6929, 25.14160
697.1750, 40.97852
697.6571, 42.73926
698.1392, 20.83887
698.6213, 2.956543
699.1035, 21.89209
699.5856, 33.58350
700.0677, 31.69531
700.5498, 19.06396
701.0319, 6.214844
701.5140, 1.329590
701.9962, 3.117188
702.4783, 6.027832
702.9604, 27.32715
