##NAMES=Palermoite
##RRUFFID=R130090
##IDEAL CHEMISTRY=Li_2_SrAl_4_(PO_4_)_4_(OH)_4_
##LOCALITY=Palermo Mine, N. Groton, New Hampshire, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch and Don Doell
##DESCRIPTION=Colorless prismatic crystal, associated with quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130090
491.9291, 25.35400
492.4112, 27.97076
492.8933, 30.51962
493.3754, 32.11072
493.8575, 32.86230
494.3397, 33.11261
494.8218, 32.66815
495.3039, 32.27863
495.7860, 32.96524
496.2681, 34.58701
496.7502, 36.64359
497.2324, 39.36227
497.7145, 42.10513
498.1966, 44.15567
498.6787, 45.49054
499.1608, 46.88348
499.6429, 48.73618
500.1251, 50.83487
500.6072, 53.07855
501.0893, 56.05969
501.5714, 58.26819
502.0535, 58.87283
502.5356, 58.49924
503.0178, 58.58588
503.4999, 59.31589
503.9820, 60.46484
504.4641, 62.18488
504.9462, 64.51245
505.4283, 66.19748
505.9105, 67.01193
506.3926, 67.62268
506.8747, 68.48856
507.3568, 69.63055
507.8389, 70.60156
508.3210, 71.25427
508.8032, 71.80801
509.2853, 72.74097
509.7674, 74.05548
510.2495, 75.39288
510.7316, 76.76965
511.2137, 77.95950
511.6959, 78.42236
512.1780, 78.19165
512.6601, 77.76938
513.1422, 77.43185
513.6243, 77.16406
514.1064, 76.95416
514.5886, 76.81433
515.0707, 76.65506
515.5528, 76.24429
516.0349, 75.83374
516.5170, 75.77728
516.9991, 76.91843
517.4813, 77.70459
517.9634, 77.34952
518.4455, 76.03351
518.9276, 75.18976
519.4097, 75.39142
519.8918, 75.71509
520.3740, 75.87161
520.8561, 75.96609
521.3382, 75.59915
521.8203, 74.54068
522.3024, 73.18329
522.7845, 71.99719
523.2667, 71.03134
523.7488, 69.87860
524.2309, 68.49692
524.7130, 67.06717
525.1951, 65.92682
525.6772, 65.01788
526.1594, 64.17661
526.6415, 63.51782
527.1236, 62.84903
527.6057, 61.59213
528.0878, 59.76929
528.5699, 57.98895
529.0521, 56.81357
529.5342, 55.95135
530.0163, 55.04922
530.4984, 53.95923
530.9805, 52.93018
531.4626, 52.15564
531.9448, 51.54428
532.4269, 50.92117
532.9090, 50.11459
533.3911, 49.38867
533.8732, 48.82144
534.3553, 48.41937
534.8375, 48.10684
535.3196, 48.23193
535.8017, 48.08121
536.2838, 47.17941
536.7659, 45.10260
537.2480, 43.42023
537.7302, 42.21866
538.2123, 41.30557
538.6944, 40.52640
539.1765, 39.90311
539.6586, 39.03546
540.1407, 37.82977
540.6229, 36.32559
541.1050, 34.48822
541.5871, 32.37296
542.0692, 30.47473
542.5513, 29.18359
543.0334, 28.26776
543.5156, 27.48285
543.9977, 26.82892
544.4798, 25.98520
544.9619, 24.50299
545.4440, 22.81186
545.9261, 21.38226
546.4083, 20.45337
546.8904, 19.62210
547.3725, 18.70621
547.8546, 17.79303
548.3367, 17.05786
548.8188, 16.80789
549.3010, 16.41977
549.7831, 15.68259
550.2652, 14.59952
550.7473, 13.63711
551.2294, 12.82837
551.7115, 12.08380
552.1937, 11.37576
552.6758, 10.72720
553.1579, 9.902313
553.6400, 8.815338
554.1221, 7.791260
554.6042, 7.383942
555.0864, 7.493073
555.5685, 7.470734
556.0506, 7.097900
556.5327, 6.530853
557.0148, 5.833130
557.4969, 5.084015
557.9791, 4.592651
558.4612, 4.866669
558.9433, 5.238190
559.4254, 5.175110
559.9075, 4.635468
560.3896, 3.866882
560.8718, 2.574707
561.3539, 1.342499
561.8360, 0.6332700
562.3181, 1.149597
562.8002, 1.224274
563.2823, 0.4507450
563.7645, 0.6569210
564.2466, 1.330719
564.7287, 1.482330
565.2108, 1.341949
565.6929, 0.8243410
566.1750, 6.8726003E-02
566.6572, 0.2461240
567.1393, 5.7464998E-02
567.6214, 0.1505740
568.1035, 5.1605001E-02
568.5856, 0.2637630
569.0677, 0.4762270
569.5499, 0.5688780
570.0320, 0.5468140
570.5141, 0.3352050
570.9962, 2.6581001E-02
571.4783, 0.2252810
571.9604, 0.3736570
572.4426, 0.4830930
572.9247, 0.5798950
573.4068, 0.6669310
573.8889, 0.7521670
574.3710, 0.7939450
574.8531, 0.8675230
575.3353, 1.054230
575.8174, 1.330750
576.2995, 1.415222
576.7816, 1.095612
577.2637, 0.8242800
577.7458, 0.8682860
578.2280, 1.362366
578.7101, 1.428162
579.1922, 0.9863280
579.6743, 0.2926330
580.1564, 0.5632020
580.6385, 1.544800
581.1207, 1.911682
581.6028, 1.312347
582.0849, 0.5387880
582.5670, 1.013763
583.0491, 2.363312
583.5313, 3.404938
584.0134, 3.009613
584.4955, 2.452271
584.9776, 3.018555
585.4597, 4.540924
585.9418, 6.040100
586.4240, 7.284576
586.9061, 8.185730
587.3882, 8.575195
587.8703, 8.192322
588.3524, 8.237030
588.8345, 9.234283
589.3167, 10.46201
589.7988, 11.31992
590.2809, 11.44070
590.7630, 12.08142
591.2451, 13.52280
591.7272, 15.33957
592.2094, 16.71078
592.6915, 17.59836
593.1736, 18.46524
593.6557, 19.38434
594.1378, 20.44122
594.6199, 22.05609
595.1021, 24.12546
595.5842, 25.91116
596.0663, 26.84363
596.5484, 27.26971
597.0305, 27.44662
597.5126, 27.37848
597.9948, 27.59277
598.4769, 28.67477
598.9590, 30.00131
599.4411, 31.05029
599.9232, 31.64224
600.4053, 32.09021
600.8875, 32.35440
601.3696, 32.52634
601.8517, 32.72977
602.3338, 32.99789
602.8159, 33.23895
603.2980, 33.46194
603.7802, 33.63965
604.2623, 33.74689
604.7444, 33.81400
605.2265, 33.52798
605.7086, 32.40799
606.1907, 30.79498
606.6729, 29.89194
607.1550, 29.68774
607.6371, 29.78622
608.1192, 30.20657
608.6013, 30.60257
609.0834, 30.38077
609.5656, 29.24683
610.0477, 28.34805
610.5298, 28.49136
611.0119, 29.14334
611.4940, 29.70969
611.9761, 29.75375
612.4583, 30.08087
612.9404, 31.12988
613.4225, 32.50937
613.9046, 33.31079
614.3867, 33.12997
614.8688, 33.22049
615.3510, 34.04572
615.8331, 35.45419
616.3152, 36.49652
616.7973, 37.14014
617.2794, 37.62375
617.7615, 38.20013
618.2437, 38.70679
618.7258, 38.69205
619.2079, 38.11429
619.6900, 37.24084
620.1721, 36.14001
620.6542, 34.95419
621.1364, 33.89209
621.6185, 33.05801
622.1006, 32.07059
622.5827, 30.76407
623.0648, 29.29523
623.5469, 27.81058
624.0291, 25.92892
624.5112, 24.47934
624.9933, 23.78604
625.4754, 23.69592
625.9575, 23.28799
626.4396, 22.20099
626.9218, 20.97717
