##NAMES=Chlorartinite
##RRUFFID=R060878
##IDEAL CHEMISTRY=Mg_2_CO_3_Cl(OH)&#183;2.5H_2_O
##LOCALITY=500m level, Quarry of Udachnaya-Vostochnaya pipe, Yakutia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White fibrous mass, associated with larger crystals of aragonite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R060878
617.7615, 2.862381
618.2437, 3.214912
618.7258, 3.326256
619.2079, 3.146439
619.6900, 2.961510
620.1721, 3.082291
620.6542, 3.310509
621.1364, 3.385406
621.6185, 3.183304
622.1006, 2.969223
622.5827, 2.849121
623.0648, 2.791473
623.5469, 2.752014
624.0291, 2.832283
624.5112, 2.802452
624.9933, 2.618279
625.4754, 2.305717
625.9575, 1.922661
626.4396, 1.401306
626.9218, 1.006470
627.4039, 0.8624950
627.8860, 0.9349820
628.3681, 1.064217
628.8502, 1.255562
629.3323, 1.354858
629.8145, 1.142822
630.2966, 0.7828450
630.7787, 0.6065520
631.2608, 0.6559680
631.7429, 0.7312160
632.2250, 0.6578830
632.7072, 0.5420990
633.1893, 0.5053330
633.6714, 0.6557160
634.1535, 0.7519380
634.6356, 0.6859890
635.1177, 0.5392300
635.5999, 0.4341960
636.0820, 0.3022610
636.5641, 0.3413390
637.0462, 0.6804200
637.5283, 1.186523
638.0104, 1.420502
638.4926, 1.365364
638.9747, 1.154716
639.4568, 0.7347180
639.9389, 0.2228550
640.4210, 9.1461003E-02
640.9031, 0.3185420
641.3853, 0.5316930
641.8674, 0.4234770
642.3495, 0.1679990
642.8316, 8.3328001E-02
643.3137, 0.3337020
643.7958, 0.3793560
644.2780, 0.1915970
644.7601, 0.8400570
645.2422, 1.073029
645.7243, 0.3326640
646.2064, 8.2122996E-02
646.6885, 8.7433003E-02
647.1707, 0.4915160
647.6528, 0.6462860
648.1349, 0.4488300
648.6170, 0.3537370
649.0991, 0.5078350
649.5812, 0.7451170
650.0634, 0.6296230
650.5455, 0.1844100
651.0276, 0.2454830
651.5097, 0.5745390
651.9918, 0.7519990
652.4739, 0.6512370
652.9561, 0.3085020
653.4382, 9.5764004E-02
653.9203, 0.6492840
654.4024, 1.077057
654.8845, 1.141144
655.3666, 0.7876280
655.8488, 0.4422150
656.3309, 0.1210710
656.8130, 9.9822998E-02
657.2951, 0.1562500
657.7772, 6.3933998E-02
658.2593, 0.1168520
658.7415, 0.1069340
659.2236, 0.3212200
659.7057, 9.7511001E-02
660.1878, 0.5496670
660.6699, 0.9419860
661.1520, 0.9030300
661.6342, 0.6892170
662.1163, 0.6307450
662.5984, 0.6865840
663.0805, 0.7511060
663.5626, 0.8340150
664.0447, 0.8557050
664.5269, 0.6642680
665.0090, 0.3562470
665.4911, 0.2095790
665.9732, 0.5677640
666.4553, 0.8487470
666.9374, 0.7743300
