##NAMES=Rooseveltite
##RRUFFID=R060804
##IDEAL CHEMISTRY=Bi^3+^As^5+^O_4_
##LOCALITY=Josef mine, Moldava, Czech. Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue-gray ill-formed grains, somewhat in spherical shapes
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060804
470.0929, 1695.227
470.5750, 1702.862
471.0571, 1710.709
471.5392, 1718.926
472.0213, 1726.827
472.5034, 1735.060
472.9856, 1740.502
473.4677, 1740.410
473.9498, 1734.627
474.4319, 1729.314
474.9140, 1725.729
475.3961, 1721.684
475.8782, 1713.199
476.3604, 1701.341
476.8425, 1690.108
477.3246, 1684.406
477.8067, 1679.698
478.2888, 1668.108
478.7709, 1650.297
479.2531, 1632.355
479.7352, 1615.651
480.2173, 1602.672
480.6994, 1599.788
481.1815, 1617.687
481.6636, 1621.332
482.1458, 1579.894
482.6279, 1513.295
483.1100, 1454.263
483.5921, 1419.039
484.0742, 1386.589
484.5563, 1351.206
485.0385, 1313.614
485.5206, 1267.534
486.0027, 1207.034
486.4848, 1141.091
486.9669, 1074.648
487.4490, 1007.782
487.9312, 942.9556
488.4133, 880.4922
488.8954, 820.6064
489.3775, 764.3516
489.8596, 713.9316
490.3417, 658.6963
490.8239, 591.9434
491.3060, 514.6426
491.7881, 442.6172
492.2702, 374.5293
492.7523, 314.9585
493.2344, 267.8027
493.7166, 232.5659
494.1987, 208.7642
494.6808, 201.5015
495.1629, 195.1494
495.6450, 159.6938
496.1271, 104.0815
496.6093, 59.97217
497.0914, 61.90869
497.5735, 72.91992
498.0556, 53.23145
498.5377, 0.6752930
499.0198, 49.78760
499.5020, 71.83105
499.9841, 78.78613
500.4662, 81.46777
500.9483, 79.99023
501.4304, 77.01025
501.9125, 67.92969
502.3947, 56.70654
502.8768, 56.56445
503.3589, 86.63574
503.8410, 109.8325
504.3231, 111.8696
504.8052, 86.45752
505.2874, 75.06055
505.7695, 82.50195
506.2516, 97.92969
506.7337, 112.2339
507.2158, 126.7065
507.6979, 133.2456
508.1801, 129.6719
508.6622, 118.0229
509.1443, 98.93652
509.6264, 72.35986
510.1085, 53.56445
510.5906, 56.07568
511.0728, 72.36084
511.5549, 84.03027
512.0370, 90.29102
512.5191, 93.41943
513.0012, 94.66797
513.4833, 94.53955
