##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=BiAl_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
428.1989, 1.752502
428.6810, 3.101013
429.1631, 4.696625
429.6453, 5.655701
430.1274, 5.865570
430.6095, 5.687347
431.0916, 5.086517
431.5737, 4.252930
432.0558, 3.451172
432.5380, 2.701324
433.0201, 2.350952
433.5022, 3.038300
433.9843, 4.980530
434.4664, 5.990173
434.9485, 5.173187
435.4307, 4.097260
435.9128, 3.829498
436.3949, 4.226654
436.8770, 4.604889
437.3591, 4.574615
437.8412, 4.212921
438.3234, 3.812042
438.8055, 3.080994
439.2876, 2.693176
439.7697, 2.912537
440.2518, 3.375977
440.7339, 3.849792
441.2160, 4.235443
441.6982, 4.398010
442.1803, 4.125061
442.6624, 3.317657
443.1445, 2.804840
443.6266, 2.747437
444.1087, 2.829468
444.5909, 2.958893
445.0730, 3.165894
445.5551, 3.558441
446.0372, 4.214996
446.5193, 4.959747
447.0014, 5.357971
447.4836, 5.250092
447.9657, 5.272064
448.4478, 5.921326
448.9299, 6.455505
449.4120, 6.277130
449.8941, 5.417450
450.3763, 4.505341
450.8584, 3.920349
451.3405, 3.660034
451.8226, 3.853577
452.3047, 4.747864
452.7868, 5.475861
453.2690, 5.174377
453.7511, 4.463531
454.2332, 4.294434
454.7153, 5.143890
455.1974, 6.026855
455.6795, 6.146301
456.1617, 5.604095
456.6438, 4.690155
457.1259, 3.219849
457.6080, 1.974396
458.0901, 2.241180
458.5722, 3.991638
459.0544, 5.539307
459.5365, 6.852936
460.0186, 7.652618
460.5007, 7.409546
460.9828, 6.299530
461.4649, 5.302216
461.9471, 5.066986
462.4292, 5.348663
462.9113, 5.101349
463.3934, 3.856567
463.8755, 2.736176
