##NAMES=Kurchatovite
##RRUFFID=R130074
##IDEAL CHEMISTRY=CaMgB_2_O_5_
##LOCALITY=Solongo B deposit, Vitim Plateau, Buriatia (Buryatia) Republic, Transbaikalia (Zabaykalye), Eastern-Siberian Region, Russia
##OWNER=RRUFF
##SOURCE=Igor Pekov
##DESCRIPTION=Pale gray crystals with good cleavage, associated with white frolovite and yellow wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130074
605.6481, 86.95081
606.1302, 90.93359
606.6123, 95.97162
607.0944, 100.8978
607.5765, 105.2241
608.0587, 109.3294
608.5408, 113.4354
609.0229, 117.6605
609.5050, 122.6116
609.9871, 128.9120
610.4692, 135.7108
610.9514, 142.7856
611.4335, 150.2156
611.9156, 156.7292
612.3977, 161.1523
612.8798, 165.1416
613.3619, 169.7513
613.8441, 175.9070
614.3262, 180.7288
614.8083, 184.1675
615.2904, 186.3787
615.7725, 187.5560
616.2546, 187.7221
616.7368, 186.3642
617.2189, 183.1232
617.7010, 178.7674
618.1831, 174.3774
618.6652, 170.0036
619.1473, 166.0027
619.6295, 162.8117
620.1116, 159.8984
620.5937, 156.5982
621.0758, 153.0704
621.5579, 150.0087
622.0400, 147.7018
622.5222, 146.1215
623.0043, 145.1721
623.4864, 144.7556
623.9685, 145.0629
624.4506, 146.6492
624.9327, 148.5026
625.4149, 149.9312
625.8970, 150.6584
626.3791, 151.7571
626.8612, 153.2305
627.3433, 155.0542
627.8254, 157.2081
628.3076, 159.7405
628.7897, 162.7183
629.2718, 166.3240
629.7539, 169.8357
630.2360, 171.7646
630.7181, 172.6955
631.2003, 174.2200
631.6824, 178.0786
632.1645, 181.8903
632.6466, 183.7081
633.1287, 183.9118
633.6108, 184.2285
634.0930, 186.0269
634.5751, 187.1141
635.0572, 186.4704
635.5393, 183.9604
636.0214, 180.5030
636.5035, 175.2142
636.9857, 169.9544
637.4678, 166.4939
637.9499, 165.2672
638.4320, 162.7661
638.9141, 158.6875
639.3962, 153.5097
639.8784, 147.6630
640.3605, 141.2366
640.8426, 134.3914
641.3247, 126.9298
641.8068, 119.7228
642.2889, 114.0159
642.7711, 109.2723
643.2532, 104.0816
643.7353, 96.64148
