##NAMES=Diopside
##RRUFFID=R090046
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Green crystals associated with graphite, R090047
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090046
631.6814, 273.5454
632.1635, 291.7516
632.6456, 300.2830
633.1277, 307.1201
633.6099, 313.0677
634.0920, 319.3836
634.5741, 329.3684
635.0562, 340.7565
635.5383, 347.1505
636.0204, 341.7492
636.5026, 342.6292
636.9847, 360.4609
637.4668, 393.5258
637.9489, 408.6230
638.4310, 403.7719
638.9131, 395.8825
639.3953, 389.7599
639.8774, 389.8999
640.3595, 419.5242
640.8416, 481.7018
641.3237, 550.0637
641.8058, 591.5048
642.2880, 623.6737
642.7701, 668.8548
643.2522, 734.4159
643.7343, 809.2594
644.2164, 890.2872
644.6985, 977.8156
645.1807, 1070.772
645.6628, 1164.622
646.1449, 1268.686
646.6270, 1382.617
647.1091, 1508.517
647.5912, 1647.821
648.0734, 1808.151
648.5555, 1963.121
649.0376, 2096.865
649.5197, 2222.911
650.0018, 2401.049
650.4839, 2634.086
650.9661, 2888.572
651.4482, 3147.372
651.9303, 3416.096
652.4124, 3713.619
652.8945, 4039.077
653.3766, 4362.351
653.8588, 4649.831
654.3409, 4935.055
654.8230, 5251.738
655.3051, 5611.190
655.7872, 5977.898
656.2693, 6324.106
656.7515, 6686.179
657.2336, 7099.351
657.7158, 7586.334
658.1979, 8071.614
658.6800, 8541.511
659.1621, 9014.353
659.6442, 9527.703
660.1263, 10078.68
660.6085, 10631.98
661.0906, 11174.10
661.5727, 11706.50
662.0548, 12255.95
662.5369, 12811.72
663.0190, 13334.00
663.5012, 13834.54
663.9833, 14268.45
664.4654, 14615.76
664.9475, 14870.83
665.4296, 15012.71
665.9117, 15065.05
666.3939, 14981.85
666.8760, 14729.68
667.3581, 14308.72
667.8402, 13773.72
668.3223, 13098.72
668.8044, 12343.01
669.2866, 11546.50
669.7687, 10705.84
670.2508, 9843.669
670.7329, 8946.772
671.2150, 8084.603
671.6971, 7310.833
672.1793, 6622.621
672.6614, 6024.926
673.1435, 5529.745
673.6256, 5075.685
674.1077, 4606.841
674.5898, 4148.338
675.0720, 3736.717
675.5541, 3396.938
676.0362, 3088.327
676.5183, 2811.058
677.0004, 2563.273
677.4825, 2335.296
677.9647, 2126.342
678.4468, 1933.715
678.9289, 1760.841
679.4110, 1611.646
679.8931, 1479.663
680.3752, 1364.955
680.8574, 1258.099
681.3395, 1152.646
681.8216, 1051.428
682.3037, 962.8796
682.7858, 886.0337
683.2679, 810.9196
683.7501, 720.9418
684.2322, 635.0936
684.7143, 570.7104
685.1964, 532.3557
685.6785, 496.7357
686.1606, 455.1749
686.6428, 415.5560
687.1249, 384.4886
687.6070, 368.5427
688.0891, 346.1208
688.5712, 316.3675
689.0533, 283.1029
689.5355, 250.6201
690.0176, 219.7629
690.4997, 188.3905
690.9818, 155.4052
691.4639, 125.5422
691.9460, 104.9836
692.4282, 91.52304
692.9103, 80.39243
693.3924, 66.33678
693.8745, 55.29977
694.3566, 45.58187
694.8387, 41.61934
695.3209, 48.03120
695.8030, 68.80244
696.2851, 96.29251
696.7672, 132.4700
697.2493, 171.8139
697.7314, 188.0611
698.2136, 175.3423
698.6957, 164.5918
699.1778, 174.0170
699.6599, 196.3600
700.1420, 194.3122
700.6241, 169.7077
701.1063, 143.7046
701.5884, 126.5979
702.0705, 119.1907
702.5526, 130.5996
703.0347, 161.4732
703.5168, 176.8582
703.9990, 139.3187
704.4811, 93.31837
704.9632, 70.02898
705.4453, 83.82495
705.9274, 89.51910
706.4095, 83.24822
706.8917, 72.80909
707.3738, 66.94781
707.8560, 66.03944
