##NAMES=Enstatite
##RRUFFID=R120168
##IDEAL CHEMISTRY=MgSiO_3_
##LOCALITY=Merensky Reef, Rustenburg, Brushveld District, South Africa
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Dark green, massive
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120168
507.2660, 28.56555
507.7481, 31.60272
508.2302, 33.94128
508.7123, 35.30975
509.1945, 36.89856
509.6766, 39.42950
510.1587, 41.43372
510.6408, 41.90228
511.1229, 41.48297
511.6050, 41.51672
512.0872, 42.77374
512.5693, 44.45844
513.0514, 45.00946
513.5335, 44.24554
514.0156, 43.78125
514.4977, 44.35931
514.9799, 44.93414
515.4620, 44.43488
515.9441, 43.04285
516.4262, 42.01099
516.9083, 42.21490
517.3904, 42.85773
517.8726, 42.87415
518.3547, 42.28845
518.8368, 41.70251
519.3189, 41.44958
519.8010, 41.30267
520.2831, 40.62524
520.7653, 38.99719
521.2474, 38.13965
521.7295, 39.38757
522.2116, 40.79504
522.6937, 40.11188
523.1758, 37.62018
523.6580, 35.53809
524.1401, 35.51184
524.6222, 36.99506
525.1043, 37.39709
525.5864, 35.67206
526.0685, 34.77625
526.5507, 35.23260
527.0328, 36.20911
527.5149, 37.03223
527.9970, 37.63446
528.4791, 38.40912
528.9612, 39.98962
529.4434, 42.14795
529.9255, 43.13879
530.4076, 42.43048
530.8897, 41.58246
531.3718, 41.31348
531.8539, 41.37604
532.3361, 41.55365
532.8182, 41.76019
533.3003, 41.78107
533.7824, 41.43829
534.2645, 40.83881
534.7466, 40.07538
535.2288, 39.10724
535.7109, 38.37018
536.1930, 38.41565
536.6751, 39.01886
537.1572, 38.73993
537.6393, 36.44519
538.1215, 34.79315
538.6036, 35.01111
539.0857, 35.97882
539.5678, 36.43048
540.0499, 36.07581
540.5320, 35.33905
541.0142, 34.50659
541.4963, 33.42938
541.9784, 32.59912
542.4604, 32.53107
542.9426, 32.16266
543.4247, 31.20673
543.9068, 29.88922
544.3889, 28.36066
544.8710, 26.71484
545.3531, 25.30933
545.8353, 24.50201
546.3174, 24.23749
546.7995, 24.48413
547.2816, 25.62628
547.7637, 26.48279
548.2458, 26.15356
548.7280, 25.14978
549.2101, 24.08099
549.6922, 22.94244
550.1743, 21.84015
550.6564, 20.72180
551.1385, 19.62909
551.6207, 18.77203
552.1028, 18.23309
552.5849, 18.09344
553.0670, 18.53314
553.5491, 19.54608
554.0313, 19.95532
554.5134, 19.41418
554.9955, 18.82507
555.4776, 18.37183
555.9597, 18.10852
556.4418, 18.00995
556.9240, 17.94879
557.4061, 17.88428
557.8882, 17.67181
558.3703, 17.35364
558.8524, 17.70288
559.3345, 19.26483
559.8167, 20.40784
560.2988, 20.33057
560.7809, 19.77985
561.2630, 19.72144
561.7451, 20.43823
562.2272, 21.18457
562.7094, 21.14880
563.1915, 20.60400
563.6736, 20.55603
564.1557, 21.21631
564.6378, 21.87421
565.1199, 21.97015
