##NAMES=Vanadiocarpholite
##RRUFFID=R080099
##IDEAL CHEMISTRY=Mn^2+^V^3+^AlSi_2_O_6_(OH)_4_
##LOCALITY=Molinello mine, Graveglia Valley, Ne, Genova Province, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellow brown fibrous, associated with quartz crystals on matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R080099
472.2615, 9.373161
472.7436, 8.803459
473.2257, 8.084961
473.7078, 7.190979
474.1899, 6.670914
474.6721, 6.679840
475.1542, 6.704971
475.6363, 5.819458
476.1184, 4.193130
476.6005, 2.830330
477.0826, 2.097534
477.5648, 1.772919
478.0469, 1.560539
478.5290, 1.454674
479.0111, 1.449783
479.4932, 1.795265
479.9753, 2.156837
480.4575, 2.074989
480.9396, 1.342110
481.4217, 0.5743100
481.9038, 6.3910998E-02
482.3859, 0.2106320
482.8680, 0.2683560
483.3502, 0.2939450
483.8323, 0.6723710
484.3144, 0.3952710
484.7965, 0.4779970
485.2786, 1.025475
485.7607, 0.7752760
486.2429, 0.4251630
486.7250, 0.3178250
487.2071, 0.5314250
487.6892, 0.8325420
488.1713, 1.314537
488.6534, 1.817047
489.1356, 2.128571
489.6177, 2.249626
490.0998, 2.147690
490.5819, 1.697220
491.0640, 1.023079
491.5461, 0.8617480
492.0283, 1.282204
492.5104, 1.687889
492.9925, 1.657059
493.4746, 1.248970
493.9567, 0.7088930
494.4388, 8.6749997E-03
494.9210, 0.6046300
495.4031, 0.7517850
495.8852, 0.5887150
496.3673, 0.5112080
496.8494, 0.6868130
497.3315, 0.9889910
497.8137, 1.326607
498.2958, 1.694908
498.7779, 2.067360
499.2600, 2.423943
499.7421, 2.787292
500.2242, 3.215584
500.7064, 3.773308
501.1885, 4.149704
501.6706, 3.972313
502.1527, 3.692467
502.6348, 3.770859
503.1169, 4.753349
503.5991, 5.517441
504.0812, 5.898308
504.5633, 5.968376
505.0454, 5.954971
505.5275, 5.687790
506.0096, 5.638313
506.4918, 5.498444
506.9739, 6.444016
507.4560, 7.177452
507.9381, 7.710197
508.4202, 7.442535
508.9023, 8.207283
509.3845, 8.557663
509.8666, 8.890511
510.3487, 9.799126
510.8308, 9.645370
511.3129, 10.54386
511.7950, 11.02175
512.2772, 11.69147
512.7593, 12.41441
513.2414, 12.99140
513.7235, 13.71872
514.2056, 14.33248
514.6877, 14.83870
515.1699, 14.91676
515.6520, 15.54659
516.1341, 15.95492
516.6162, 16.35395
517.0983, 17.06109
517.5804, 17.19990
518.0626, 17.90158
518.5447, 18.37807
519.0268, 18.95747
519.5089, 19.31409
519.9910, 19.73933
520.4731, 20.38725
520.9553, 20.91178
521.4374, 21.24207
521.9195, 21.82743
522.4016, 21.95735
522.8837, 22.48721
523.3658, 23.18990
523.8480, 23.53259
524.3301, 24.12314
524.8122, 24.61965
525.2943, 25.12804
525.7764, 25.94785
526.2585, 26.80022
526.7407, 27.54999
527.2228, 27.82661
527.7049, 27.71870
528.1870, 27.73336
528.6691, 28.32500
529.1512, 29.13134
529.6334, 29.73347
530.1155, 30.10178
530.5976, 30.38947
531.0797, 30.65738
531.5618, 30.90637
532.0439, 31.12682
532.5261, 31.19767
533.0082, 31.40964
533.4903, 32.02002
533.9724, 32.80559
534.4545, 33.29863
534.9366, 33.07439
535.4188, 32.98120
535.9009, 33.25627
536.3830, 33.89208
536.8651, 34.44572
537.3472, 34.88895
537.8293, 35.32573
538.3115, 35.85383
538.7936, 36.48042
539.2757, 36.88944
539.7578, 37.02391
540.2399, 37.05177
540.7220, 37.13207
541.2042, 37.32290
541.6863, 37.76386
542.1684, 38.63902
542.6505, 39.54208
543.1326, 39.83022
543.6147, 39.71195
544.0969, 39.81358
544.5790, 40.85006
545.0611, 41.97010
545.5432, 42.39381
546.0253, 42.01360
546.5074, 41.62458
546.9896, 41.56227
547.4717, 41.66181
547.9538, 41.79895
548.4359, 42.10272
548.9180, 42.29973
549.4001, 42.17180
549.8823, 41.90948
550.3644, 41.90135
550.8465, 42.27156
551.3286, 42.79179
551.8107, 43.52772
552.2928, 44.41212
552.7750, 44.73694
553.2571, 44.37405
553.7392, 43.97531
554.2213, 44.03433
554.7034, 44.46400
555.1855, 44.73627
555.6677, 44.82203
556.1498, 44.76913
556.6319, 44.46089
557.1140, 44.06557
557.5961, 42.33664
558.0782, 44.05045
558.5604, 45.07074
559.0425, 45.43311
559.5246, 43.16724
560.0067, 44.29514
560.4888, 44.06292
560.9709, 43.77499
561.4531, 45.38043
561.9352, 43.49677
562.4173, 45.07216
562.8994, 45.26674
563.3815, 46.09334
563.8636, 45.31980
564.3458, 45.38785
564.8279, 45.24710
565.3100, 44.78857
565.7921, 44.25744
566.2742, 44.04970
566.7563, 44.22316
567.2385, 44.11553
567.7206, 43.49472
568.2027, 42.63025
568.6848, 42.17607
569.1669, 42.07109
569.6490, 41.91373
570.1312, 41.45116
570.6133, 40.81945
571.0954, 40.24510
571.5775, 39.71344
572.0596, 39.07462
572.5417, 38.09189
573.0239, 37.03419
573.5060, 36.15566
573.9881, 35.48355
574.4702, 34.99384
574.9523, 34.89996
575.4344, 34.93909
575.9166, 34.76596
576.3987, 34.14508
576.8808, 33.55093
577.3629, 33.02928
577.8450, 32.55813
578.3271, 32.05630
578.8093, 31.52968
579.2914, 31.05982
579.7735, 30.72260
580.2556, 30.47804
580.7377, 29.96680
581.2198, 29.14703
581.7020, 28.35014
582.1841, 27.90939
582.6662, 27.70443
583.1483, 27.43667
583.6304, 27.07574
584.1125, 26.69798
584.5947, 26.29736
585.0768, 25.93820
585.5589, 25.71970
586.0410, 26.00740
586.5231, 26.02599
587.0052, 25.21150
587.4874, 23.90075
587.9695, 22.95868
588.4516, 22.99409
588.9337, 22.92013
589.4158, 22.31913
589.8979, 21.18796
590.3801, 20.51690
590.8622, 20.46442
591.3443, 20.58150
591.8264, 20.60381
592.3085, 20.52195
592.7906, 20.48303
593.2728, 20.51360
593.7549, 20.49538
594.2370, 20.21147
594.7191, 19.74017
595.2012, 19.40496
595.6833, 19.32082
596.1655, 19.32335
596.6476, 19.31522
597.1297, 19.25570
597.6118, 19.04952
598.0939, 18.61152
598.5760, 18.05627
599.0582, 17.32925
599.5403, 16.48881
600.0224, 15.88668
600.5045, 15.82571
600.9866, 15.83308
601.4688, 15.65769
601.9509, 15.20239
602.4330, 15.03323
602.9151, 15.37705
603.3972, 15.69383
603.8793, 15.35384
604.3615, 14.24717
604.8436, 13.71193
605.3257, 14.05277
605.8078, 14.67142
606.2899, 14.59845
606.7720, 13.95135
607.2542, 13.28665
607.7363, 12.78053
