##NAMES=Cristobalite
##RRUFFID=R061064
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Ellora Caves, India
##OWNER=RRUFF
##SOURCE=Harvard Mineralogical Museum
##DESCRIPTION=Colorless single crystals, octahedra and groups of octahedra, some have transformed to quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061064
##MEASURED CHEMISTRY=Si_1.00_O_2_·0.11H_2_O ; trace amounts of Al and Na; H_2_O by difference, verified by Raman spectroscopy
555.5339, 22.67700
556.0161, 31.26953
556.4982, 48.77454
556.9803, 59.08032
557.4624, 55.37781
557.9445, 45.97778
558.4266, 42.68738
558.9088, 45.67078
559.3909, 50.23401
559.8730, 57.60059
560.3551, 63.78735
560.8372, 67.21289
561.3193, 67.32874
561.8015, 62.08984
562.2836, 47.85217
562.7657, 34.82458
563.2478, 28.04028
563.7299, 25.33142
564.2120, 24.76733
564.6942, 25.74609
565.1763, 26.08813
565.6584, 23.15601
566.1405, 17.75342
566.6226, 18.06934
567.1047, 29.15710
567.5869, 38.03015
568.0690, 38.57312
568.5511, 39.84631
569.0332, 50.26001
569.5153, 68.90088
569.9974, 86.04016
570.4796, 96.98877
570.9617, 102.4941
571.4438, 101.6077
571.9259, 95.16248
572.4080, 91.27563
572.8901, 94.10693
573.3723, 97.72949
573.8544, 91.99756
574.3365, 72.07251
574.8186, 59.30005
575.3007, 58.82153
575.7828, 60.22998
576.2650, 58.30042
576.7471, 54.82727
577.2292, 53.46411
577.7113, 55.57092
578.1934, 58.99792
578.6755, 60.19385
579.1577, 59.60083
579.6398, 63.57690
580.1219, 74.42493
580.6040, 83.38086
581.0861, 83.91858
581.5682, 78.87476
582.0504, 76.91187
582.5325, 81.35718
583.0146, 81.94189
583.4967, 71.52869
583.9788, 58.31824
584.4609, 49.18909
584.9431, 45.68750
585.4252, 48.73486
585.9073, 57.70557
586.3894, 69.22852
586.8715, 73.69043
587.3536, 71.57825
587.8358, 67.08203
588.3179, 59.29114
588.8000, 51.90234
589.2821, 43.64270
589.7642, 35.69604
590.2463, 35.58630
590.7285, 52.79089
591.2106, 71.85388
591.6927, 83.61023
592.1748, 89.32959
592.6569, 90.72205
593.1390, 88.49915
593.6212, 84.78979
594.1033, 81.88403
594.5854, 79.71387
595.0675, 74.55786
595.5496, 61.78406
596.0317, 52.97998
596.5139, 53.22217
596.9960, 56.01233
597.4781, 53.58423
597.9602, 45.33105
598.4423, 42.87451
598.9244, 61.66492
599.4066, 85.66675
599.8887, 88.59985
600.3708, 73.33655
600.8529, 62.46069
601.3350, 65.65747
601.8171, 75.23376
602.2993, 78.07104
602.7814, 69.53162
603.2635, 70.28516
603.7456, 93.68909
604.2277, 110.6918
604.7098, 105.2040
605.1920, 89.42383
605.6741, 81.02661
606.1562, 85.50220
606.6383, 93.30420
607.1204, 97.10156
607.6025, 97.11938
608.0847, 91.80664
608.5668, 80.36658
609.0489, 74.78076
609.5310, 84.94312
610.0131, 102.1091
610.4952, 103.0251
610.9774, 71.31860
611.4595, 54.54016
611.9416, 67.53857
612.4237, 83.53430
612.9058, 87.64270
613.3879, 81.60474
613.8701, 71.28772
614.3522, 58.20435
614.8343, 48.04810
615.3164, 51.45032
615.7985, 66.69751
616.2806, 79.88623
616.7628, 90.28320
617.2449, 91.66345
617.7270, 74.43274
618.2091, 45.03979
618.6912, 30.43799
619.1733, 35.57324
619.6555, 45.45154
620.1376, 64.53210
620.6197, 81.80969
621.1018, 88.87744
621.5839, 85.85535
622.0660, 75.56042
622.5482, 58.02515
623.0303, 39.44043
623.5124, 31.91626
623.9945, 35.39893
624.4766, 42.08252
624.9587, 53.53430
625.4409, 62.63428
625.9230, 61.11633
626.4051, 51.25220
626.8872, 47.77612
627.3693, 56.41504
627.8514, 64.27490
628.3336, 64.64478
628.8157, 64.69006
629.2978, 77.06836
629.7799, 98.27124
630.2620, 107.6748
630.7441, 87.07227
