##NAMES=Hemimorphite
##RRUFFID=R070536
##IDEAL CHEMISTRY=Zn_4_Si_2_O_7_(OH)_2_&#183;H_2_O
##LOCALITY=Potosi mine, Santa Eulalia District, Chihuahua, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless striated thin tabular crystals in fan-shaped aggregates
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070536
##MEASURED CHEMISTRY=Zn_4.00_Si_2.00_O_7_(OH)_2_·H_2_O; total H_2_O estimated by difference, (OH) by charge balance
436.2220, 171.4502
436.7041, 190.5637
437.1862, 208.1616
437.6684, 221.6055
438.1505, 221.6052
438.6326, 209.8582
439.1147, 212.7419
439.5968, 248.4226
440.0789, 298.8774
440.5611, 322.2234
441.0432, 310.2817
441.5253, 301.0601
442.0074, 300.6973
442.4895, 307.9419
442.9716, 321.7478
443.4538, 341.8630
443.9359, 368.7100
444.4180, 403.4026
444.9001, 445.4841
445.3822, 485.0469
445.8643, 515.6191
446.3465, 551.5059
446.8286, 607.5784
447.3107, 664.5261
447.7928, 696.7419
448.2749, 699.1453
448.7570, 692.8875
449.2392, 704.0103
449.7213, 732.1570
450.2034, 749.8921
450.6855, 749.7173
451.1676, 748.4158
451.6497, 761.4282
452.1319, 780.9238
452.6140, 789.8301
453.0961, 787.2988
453.5782, 768.8755
454.0603, 720.7544
454.5424, 651.5022
455.0246, 594.2559
455.5067, 561.5513
455.9888, 538.5381
456.4709, 504.1255
456.9530, 454.8823
457.4352, 408.8472
457.9173, 365.7449
458.3994, 325.2783
458.8815, 289.6978
459.3636, 256.9368
459.8457, 220.5571
460.3279, 175.5273
460.8100, 129.6438
461.2921, 106.4436
461.7742, 123.2180
462.2563, 124.0090
462.7384, 91.22192
463.2206, 50.42554
463.7027, 10.24268
464.1848, 25.11328
464.6669, 44.92822
465.1490, 30.46265
465.6311, 1.515381
466.1133, 5.830811
466.5954, 21.88867
467.0775, 42.76123
467.5596, 33.56152
468.0417, 9.452148
468.5238, 0.7268070
469.0060, 11.49512
469.4881, 24.42603
469.9702, 34.99072
470.4523, 43.83911
470.9344, 53.70215
471.4165, 63.86938
471.8987, 66.79346
472.3808, 54.61597
472.8629, 29.46729
473.3450, 14.47803
473.8271, 18.50757
474.3092, 22.97632
474.7914, 28.14209
475.2735, 31.54395
475.7556, 29.76782
476.2377, 22.63550
476.7198, 15.01636
477.2019, 12.96167
477.6841, 15.90796
478.1662, 14.44141
478.6483, 4.684326
479.1304, 1.680176
479.6125, 5.968018
480.0946, 20.10034
480.5768, 30.38306
481.0589, 37.30640
481.5410, 35.60596
482.0231, 10.31055
482.5052, 24.23584
482.9873, 33.09302
483.4695, 8.177490
483.9516, 22.17529
484.4337, 29.39404
484.9158, 11.83691
485.3979, 1.755615
485.8800, 14.32104
486.3622, 20.44458
486.8443, 10.58569
487.3264, 3.690186
487.8085, 4.966309
488.2906, 11.82129
488.7727, 33.29272
489.2549, 41.39282
489.7370, 34.87183
490.2191, 28.16528
490.7012, 22.03564
491.1833, 15.14575
491.6654, 1.599609
492.1476, 12.27100
492.6297, 13.41846
493.1118, 7.751709
493.5939, 31.39624
494.0760, 42.84497
494.5581, 43.13745
495.0403, 32.60864
495.5224, 9.450195
496.0045, 13.00317
496.4866, 20.15259
496.9687, 10.41577
497.4508, 3.018066
497.9330, 26.49854
498.4151, 46.60327
498.8972, 56.15332
499.3793, 59.35571
499.8614, 63.22070
500.3435, 70.25977
500.8257, 77.08276
501.3078, 77.49878
501.7899, 69.73120
502.2720, 67.52539
502.7541, 81.60107
503.2362, 87.75757
503.7184, 62.80273
504.2005, 24.45532
504.6826, 8.599365
505.1647, 35.38062
505.6468, 69.87622
506.1289, 77.91577
506.6111, 67.08960
507.0932, 65.07959
507.5753, 80.32520
508.0574, 95.18848
508.5395, 88.00488
509.0216, 55.91089
509.5038, 44.47266
509.9859, 75.24878
510.4680, 101.4104
510.9501, 106.2959
511.4322, 95.44458
511.9143, 72.69092
512.3965, 40.77075
512.8786, 12.67822
513.3607, 9.329834
513.8428, 34.14526
514.3250, 49.83716
514.8071, 48.17554
515.2892, 49.25195
515.7713, 66.32178
516.2534, 91.04004
516.7355, 110.8374
517.2177, 123.9126
517.6998, 128.0850
518.1819, 115.5427
518.6640, 93.40015
519.1461, 78.30078
519.6282, 73.57837
520.1104, 75.72876
520.5925, 82.55737
521.0746, 94.02393
521.5567, 104.6777
522.0388, 117.7361
522.5209, 124.6797
523.0031, 120.3162
523.4852, 112.7720
523.9673, 109.7842
524.4494, 112.8809
524.9315, 118.6042
525.4136, 125.8145
525.8958, 134.9033
526.3779, 147.3108
526.8600, 167.7585
527.3421, 179.1885
527.8242, 161.8809
528.3063, 135.6748
528.7885, 127.9060
529.2706, 146.8162
529.7527, 162.7473
530.2348, 158.9199
530.7169, 146.2041
531.1990, 135.1716
531.6812, 126.9917
532.1633, 128.2764
532.6454, 146.5823
533.1275, 175.3716
533.6096, 181.4624
534.0917, 131.7161
534.5739, 106.9517
535.0560, 127.7129
535.5381, 161.1543
536.0202, 184.9829
536.5023, 197.9829
536.9844, 208.8054
537.4666, 223.4934
537.9487, 238.5054
538.4308, 242.7942
538.9129, 234.2969
539.3950, 240.4453
539.8771, 280.2358
540.3593, 331.3250
540.8414, 361.6953
541.3235, 370.3147
541.8056, 375.9048
542.2877, 377.8035
542.7698, 387.0637
543.2520, 412.8621
543.7341, 451.0356
544.2162, 488.4495
544.6983, 518.8530
545.1804, 545.2476
545.6625, 574.7566
546.1447, 607.9563
546.6268, 646.1985
547.1089, 691.7253
547.5910, 739.4700
548.0731, 786.9568
548.5552, 835.0854
549.0374, 885.2756
549.5195, 936.2239
550.0016, 991.5874
550.4837, 1064.492
550.9658, 1147.686
551.4479, 1207.831
551.9301, 1235.749
552.4122, 1258.911
552.8943, 1306.237
553.3764, 1375.829
553.8585, 1411.100
554.3406, 1404.312
554.8228, 1381.678
555.3049, 1344.096
555.7870, 1296.554
556.2691, 1243.162
556.7512, 1184.611
557.2333, 1118.560
557.7155, 1040.613
558.1976, 953.5444
558.6797, 873.0115
559.1618, 799.0288
559.6439, 733.8367
560.1260, 680.8391
560.6082, 636.4836
561.0903, 595.3940
561.5724, 558.0623
562.0545, 520.6152
562.5366, 478.7393
563.0187, 441.3826
563.5009, 415.4531
563.9830, 398.0696
564.4651, 380.9175
564.9472, 360.1506
565.4293, 338.9651
565.9114, 324.7568
566.3936, 322.3682
566.8757, 311.9829
567.3578, 281.6990
567.8399, 255.4951
568.3220, 244.8630
568.8041, 245.6489
569.2863, 248.3459
569.7684, 249.7561
570.2505, 247.5134
570.7326, 240.8274
571.2147, 231.6843
571.6968, 224.8909
572.1790, 220.6951
572.6611, 214.4634
573.1432, 201.6394
573.6253, 183.4934
574.1074, 172.3882
574.5895, 173.8032
575.0717, 174.3899
575.5538, 171.9248
576.0359, 167.9995
576.5180, 165.1729
577.0001, 162.8586
577.4822, 156.7551
577.9644, 140.8540
578.4465, 120.7986
578.9286, 113.8586
579.4107, 121.6267
579.8928, 124.0342
580.3749, 111.6226
580.8571, 94.72607
581.3392, 87.40430
581.8213, 89.54565
582.3034, 92.24243
582.7855, 100.1870
583.2676, 102.5803
583.7498, 87.95605
584.2319, 64.54346
584.7140, 45.99023
585.1961, 37.40942
585.6782, 37.29541
586.1603, 45.87109
586.6425, 63.78955
587.1246, 77.90137
587.6067, 92.30957
588.0888, 95.53296
588.5709, 70.50244
589.0530, 36.53833
589.5352, 18.49585
590.0173, 21.93774
590.4994, 27.53418
590.9815, 24.14453
591.4636, 19.35034
591.9457, 23.93506
592.4279, 36.72070
592.9100, 48.52197
593.3921, 54.31885
593.8742, 55.14624
594.3563, 53.05884
594.8384, 46.14307
595.3206, 40.84351
595.8027, 37.30688
596.2848, 35.42065
596.7669, 36.69336
597.2490, 39.33813
597.7311, 40.35718
598.2133, 39.65576
598.6954, 34.51611
599.1775, 15.62427
599.6596, 8.739502
600.1417, 14.99048
600.6238, 0.6564940
601.1060, 18.63623
601.5881, 23.59961
602.0702, 18.17188
602.5523, 18.12695
603.0344, 30.97827
603.5165, 38.84497
603.9987, 40.02686
604.4808, 36.67432
604.9629, 25.73486
605.4450, 11.05200
605.9271, 4.720947
606.4092, 17.56812
606.8914, 36.20483
607.3735, 40.44434
607.8556, 31.89038
608.3377, 22.44946
608.8198, 14.51587
609.3019, 8.172119
609.7841, 3.194092
610.2662, 0.3742680
610.7483, 0.3701170
611.2304, 9.113770
611.7125, 14.37939
612.1946, 6.805908
612.6768, 3.019287
613.1589, 1.879883
613.6410, 9.885010
614.1231, 18.25269
614.6052, 8.320557
615.0873, 9.834961
615.5695, 5.885010
616.0516, 21.54028
616.5337, 37.38281
617.0158, 26.46191
617.4979, 7.583740
617.9800, 5.034668
618.4622, 20.36914
618.9443, 26.55103
619.4264, 15.31055
619.9085, 2.963379
620.3906, 7.126953
620.8727, 12.83398
621.3549, 8.927246
621.8370, 4.204346
622.3191, 15.76270
622.8012, 12.66846
623.2833, 0.5229490
623.7654, 0.2058110
624.2476, 18.82788
624.7297, 28.26074
625.2118, 14.15112
625.6939, 9.102783
626.1760, 24.04956
626.6581, 31.65991
627.1403, 26.50635
627.6224, 8.331055
628.1045, 39.60889
628.5866, 44.32227
629.0687, 34.78271
629.5508, 32.53320
630.0330, 43.58643
630.5151, 56.20459
630.9972, 56.82739
631.4793, 46.82568
631.9614, 36.49707
632.4435, 24.15503
632.9257, 17.72876
633.4078, 22.24805
633.8899, 32.89087
634.3720, 45.59424
634.8541, 62.06348
635.3362, 66.11060
635.8184, 39.91138
636.3005, 14.65601
636.7826, 13.84204
637.2647, 27.04932
637.7468, 33.07104
638.2289, 25.04541
638.7111, 13.86157
639.1932, 12.83643
639.6753, 21.22461
640.1574, 28.53345
640.6395, 33.40845
641.1216, 42.17456
641.6038, 63.74268
642.0859, 85.83936
642.5680, 88.53516
643.0501, 69.09961
643.5322, 52.72900
644.0143, 44.39990
644.4965, 40.76587
644.9786, 41.76416
645.4607, 45.36841
645.9428, 48.74902
646.4249, 50.83472
646.9070, 51.29297
647.3892, 48.92090
647.8713, 44.18091
648.3534, 40.02148
648.8355, 33.94556
649.3176, 38.04688
649.7997, 64.75903
650.2819, 98.39038
650.7640, 114.8262
651.2461, 112.5027
651.7282, 108.7957
652.2103, 98.52075
652.6924, 95.72095
653.1746, 114.7937
653.6567, 145.1624
654.1388, 170.2517
654.6209, 184.5906
655.1030, 190.7817
655.5851, 186.5525
656.0673, 175.4822
656.5494, 183.2332
657.0315, 213.6973
657.5136, 241.2620
657.9957, 254.1394
658.4778, 264.4285
658.9600, 291.3376
659.4421, 338.4080
659.9242, 372.3975
660.4063, 374.4832
660.8884, 380.6980
661.3705, 411.4878
661.8527, 455.5405
662.3348, 495.1924
662.8169, 526.7576
663.2990, 560.4207
663.7811, 608.3342
664.2632, 665.4624
664.7454, 712.2473
665.2275, 747.6812
665.7096, 790.4990
666.1917, 849.6636
666.6738, 913.3555
667.1559, 964.8608
667.6381, 1002.249
668.1202, 1054.329
668.6023, 1126.278
669.0844, 1203.777
669.5665, 1297.465
670.0486, 1387.586
670.5308, 1447.626
671.0129, 1477.633
671.4950, 1503.247
671.9771, 1543.672
672.4592, 1591.354
672.9413, 1640.005
673.4235, 1687.581
673.9056, 1706.877
674.3877, 1687.698
674.8698, 1648.394
675.3519, 1605.174
675.8340, 1558.312
676.3162, 1512.191
676.7983, 1473.078
677.2804, 1426.520
677.7625, 1373.319
678.2446, 1309.515
678.7267, 1223.328
679.2089, 1122.507
679.6910, 1034.457
