##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O^+^)_3_Mg_6_Fe_15_(SO_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
437.7987, 21.58031
438.2808, 22.12436
438.7629, 22.62944
439.2450, 22.12456
439.7271, 20.56387
440.2093, 19.23784
440.6914, 19.32677
441.1735, 20.73756
441.6556, 21.41289
442.1377, 20.64609
442.6198, 20.04842
443.1020, 20.27014
443.5841, 20.98059
444.0662, 21.72990
444.5483, 22.34515
445.0304, 22.79839
445.5125, 23.04065
445.9947, 23.00807
446.4768, 22.88654
446.9589, 22.48517
447.4410, 22.16925
447.9231, 22.25648
448.4052, 22.63847
448.8874, 22.93765
449.3695, 22.85594
449.8516, 22.46109
450.3337, 22.26039
450.8158, 22.54041
451.2979, 22.56071
451.7801, 22.03337
452.2622, 21.29906
452.7443, 20.69783
453.2264, 20.31049
453.7085, 19.94818
454.1906, 19.39229
454.6728, 18.63895
455.1549, 17.81827
455.6370, 16.83279
456.1191, 15.91098
456.6012, 15.20921
457.0833, 14.65117
457.5655, 14.07118
458.0476, 13.41393
458.5297, 12.70158
459.0118, 11.97009
459.4939, 11.22000
459.9760, 10.41934
460.4582, 9.414612
460.9403, 8.488754
461.4224, 8.029526
461.9045, 8.075943
462.3866, 8.209503
462.8687, 8.269562
463.3508, 8.317856
463.8329, 8.527466
464.3151, 8.913757
464.7972, 9.052322
465.2793, 8.565247
465.7614, 7.534119
466.2435, 6.700821
466.7256, 6.115891
467.2078, 5.589310
467.6899, 4.976639
468.1720, 4.412537
468.6541, 4.165543
469.1362, 4.325073
469.6183, 4.659119
470.1005, 4.820099
470.5826, 4.727768
471.0647, 4.710663
471.5468, 4.924881
472.0289, 5.061386
472.5110, 4.919083
472.9932, 4.571823
473.4753, 4.180862
473.9574, 3.825333
474.4395, 3.556519
474.9216, 3.594208
475.4037, 4.327438
475.8859, 4.567078
476.3680, 3.599243
476.8501, 2.556000
477.3322, 2.322113
477.8143, 2.914108
478.2964, 3.660400
478.7786, 3.991684
479.2607, 3.975357
479.7428, 3.951035
480.2249, 3.961761
480.7070, 3.942505
481.1891, 3.723328
481.6713, 3.463379
482.1534, 3.376358
482.6355, 3.539703
483.1176, 3.759399
483.5997, 3.875122
484.0818, 3.911377
484.5640, 3.981659
485.0461, 4.127029
485.5282, 4.240021
486.0103, 4.167358
486.4924, 3.935226
486.9745, 3.769897
487.4567, 3.714981
487.9388, 3.724243
488.4209, 3.866043
488.9030, 4.056671
489.3851, 3.985992
489.8672, 3.463104
490.3494, 2.806000
490.8315, 2.685593
491.3136, 3.635132
491.7957, 4.104843
492.2778, 3.717194
492.7599, 3.149323
493.2421, 2.852509
493.7242, 2.823181
494.2063, 2.847458
494.6884, 2.775970
495.1705, 2.621475
495.6526, 2.455200
496.1348, 2.350739
496.6169, 2.106796
497.0990, 1.511810
497.5811, 0.9013210
498.0632, 0.6073150
498.5453, 0.6532290
499.0275, 0.7377470
499.5096, 0.5007780
499.9917, 6.5000001E-03
500.4738, 0.2054600
500.9559, 3.6377002E-02
501.4380, 0.3283080
501.9202, 0.5424500
502.4023, 0.6611940
502.8844, 0.6156460
503.3665, 0.3264920
503.8486, 6.0729999E-02
504.3307, 0.1182860
504.8129, 0.3914340
505.2950, 0.4732970
505.7771, 0.2345430
506.2592, 5.9982002E-02
506.7413, 0.1385650
507.2234, 1.0422000E-02
507.7056, 9.7580001E-02
508.1877, 0.1990050
508.6698, 0.2483370
509.1519, 0.1936650
509.6340, 6.8099998E-02
510.1161, 6.1370999E-02
510.5983, 0.1706850
511.0804, 0.2522130
511.5625, 0.3030850
512.0446, 0.3651280
