##NAMES=Magnesiotaaffeite-2N2S
##RRUFFID=X090001
##IDEAL CHEMISTRY=Mg_3_BeAl_8_O_16_
##LOCALITY=Ratnapura, Sri Lanka
##OWNER=Bill Pinch
##SOURCE=William W. Pinch
##DESCRIPTION=Dark grey with a hint of purple, flattened tabular hexagonal crystal
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/X090001
499.7609, 23.94530
500.2430, 23.87946
500.7252, 23.79607
501.2073, 24.10010
501.6894, 25.11891
502.1715, 26.38918
502.6536, 27.63254
503.1357, 28.57027
503.6179, 30.25572
504.1000, 33.50548
504.5821, 36.98119
505.0642, 39.34010
505.5463, 40.20955
506.0284, 40.73843
506.5106, 40.93153
506.9927, 40.93648
507.4748, 41.44931
507.9569, 42.69751
508.4390, 43.33484
508.9211, 42.41878
509.4033, 40.15182
509.8854, 38.14523
510.3675, 36.38748
510.8496, 34.98311
511.3317, 34.00977
511.8138, 33.46989
512.2960, 33.35406
512.7781, 33.59425
513.2602, 34.38385
513.7423, 36.22144
514.2244, 38.78465
514.7065, 41.28615
515.1887, 43.20135
515.6708, 45.05383
516.1529, 47.16733
516.6350, 49.55794
517.1171, 52.01247
517.5992, 54.21091
518.0814, 56.58667
518.5635, 59.47888
519.0456, 63.75183
519.5277, 67.19218
520.0098, 69.69406
520.4919, 71.31250
520.9741, 72.17496
521.4562, 72.64684
521.9383, 71.56784
522.4204, 68.30438
522.9025, 63.14580
523.3846, 58.08455
523.8668, 53.23932
524.3489, 48.21376
524.8310, 42.50468
525.3131, 36.24397
525.7952, 30.66330
526.2773, 25.81972
526.7595, 21.41486
527.2416, 17.04549
527.7237, 12.90294
528.2058, 9.417664
528.6879, 6.900116
529.1700, 4.885788
529.6522, 3.074860
530.1343, 1.491501
530.6164, 3.8956001E-02
531.0985, 1.708496
531.5806, 3.091202
532.0627, 3.593842
532.5449, 3.166519
533.0270, 2.474182
533.5091, 1.062576
533.9912, 0.1518400
534.4733, 0.4855650
534.9554, 1.491501
535.4376, 2.376999
535.9197, 1.609787
536.4018, 2.7100001E-02
536.8839, 0.8932340
537.3660, 0.9407350
537.8481, 0.9051360
538.3303, 1.003906
538.8124, 1.189178
539.2945, 1.156631
539.7766, 0.8743740
