##NAMES=Ktenasite
##RRUFFID=R070081
##IDEAL CHEMISTRY=(Cu,Zn)_5_(SO_4_)_2_(OH)_6_&#183;6H_2_O
##LOCALITY=Amot, Modum, Norway
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Radial aggregates of bluish green tabular crystals, associated with colorless tabular gypsum crystals.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070081
424.0230, 228.2626
424.5051, 221.3511
424.9872, 212.6250
425.4693, 210.1674
425.9514, 220.8646
426.4336, 228.0100
426.9157, 225.8752
427.3978, 214.3378
427.8799, 209.4962
428.3620, 215.5568
428.8441, 221.6877
429.3263, 215.3162
429.8084, 192.1692
430.2905, 184.5200
430.7726, 201.7427
431.2547, 232.6631
431.7368, 247.9813
432.2190, 246.5490
432.7011, 242.0268
433.1832, 240.4517
433.6653, 242.3190
434.1474, 251.4198
434.6295, 269.4263
435.1117, 286.9044
435.5938, 288.3973
436.0759, 279.3508
436.5580, 277.2605
437.0401, 295.0298
437.5222, 319.4113
438.0044, 332.7689
438.4865, 336.2409
438.9686, 341.1968
439.4507, 360.5548
439.9328, 383.4438
440.4149, 396.8902
440.8971, 392.0649
441.3792, 388.8054
441.8613, 401.0024
442.3434, 422.2842
442.8255, 439.0970
443.3076, 442.1030
443.7898, 443.3489
444.2719, 448.6418
444.7540, 459.5680
445.2361, 468.3832
445.7182, 472.1909
446.2003, 474.0624
446.6825, 476.9805
447.1646, 482.6783
447.6467, 487.1223
448.1288, 487.8549
448.6109, 486.2816
449.0930, 492.2554
449.5752, 512.1006
450.0573, 528.8350
450.5394, 531.8397
451.0215, 517.2738
451.5036, 505.7082
451.9857, 497.1129
452.4679, 492.1769
452.9500, 494.8379
453.4321, 505.8721
453.9142, 510.4784
454.3963, 499.1019
454.8784, 477.8394
455.3606, 469.3380
455.8427, 474.0671
456.3248, 480.4328
456.8069, 478.8051
457.2890, 471.0736
457.7711, 461.2134
458.2533, 448.7172
458.7354, 436.9271
459.2175, 431.2628
459.6996, 429.4575
460.1817, 424.7948
460.6638, 408.2626
461.1460, 391.1600
461.6281, 383.0663
462.1102, 385.6932
462.5923, 388.7661
463.0744, 390.9716
463.5565, 389.8019
464.0387, 382.7115
464.5208, 359.8726
465.0029, 340.7493
465.4850, 334.0848
465.9671, 336.8625
466.4492, 332.6424
466.9314, 306.7402
467.4135, 285.9104
467.8956, 282.8583
468.3777, 308.8754
468.8598, 322.6458
469.3419, 320.5497
469.8241, 309.2987
470.3062, 296.9351
470.7883, 282.6006
471.2704, 270.1394
471.7525, 259.8596
472.2346, 252.2258
472.7168, 252.0111
473.1989, 260.6700
473.6810, 268.0667
474.1631, 263.1728
474.6452, 248.9865
475.1273, 242.0796
475.6095, 246.2650
476.0916, 253.3986
476.5737, 251.2724
477.0558, 242.5456
477.5379, 235.9645
478.0201, 236.8187
478.5022, 241.0033
478.9843, 246.8319
479.4664, 254.0237
479.9485, 256.9166
480.4306, 245.2678
480.9128, 230.9231
481.3949, 225.8574
481.8770, 242.2639
482.3591, 256.0073
482.8412, 257.1143
483.3233, 249.4774
483.8055, 242.7339
484.2876, 236.8531
484.7697, 234.4891
485.2518, 238.9975
485.7339, 252.7982
486.2160, 255.7577
486.6982, 238.4312
487.1803, 219.3569
487.6624, 216.0063
488.1445, 235.9945
488.6266, 251.6515
489.1087, 259.1332
489.5909, 259.2256
490.0730, 254.7413
490.5551, 245.3768
491.0372, 235.9843
491.5193, 227.3788
492.0014, 220.4998
492.4836, 222.8013
492.9657, 235.8619
493.4478, 246.8229
493.9299, 236.3956
494.4120, 212.4468
494.8941, 197.4906
495.3763, 205.1125
495.8584, 218.1024
496.3405, 216.0787
496.8226, 201.7399
497.3047, 186.9331
497.7868, 179.8159
498.2690, 175.6619
498.7511, 169.5532
499.2332, 158.3864
499.7153, 150.5102
500.1974, 153.4379
500.6795, 160.7354
501.1617, 165.4032
501.6438, 168.0029
502.1259, 165.9601
502.6080, 154.7193
503.0901, 137.3663
503.5722, 128.4198
504.0544, 134.2117
504.5365, 139.4174
505.0186, 136.3277
505.5007, 121.9089
505.9828, 115.4031
506.4649, 120.0339
506.9471, 127.4684
507.4292, 123.8215
507.9113, 107.8249
508.3934, 99.22766
508.8755, 107.0504
509.3576, 121.8762
509.8398, 121.3861
510.3219, 106.7919
510.8040, 90.87250
511.2861, 80.80487
511.7682, 75.16748
512.2504, 72.86896
512.7325, 74.01324
513.2146, 75.07123
513.6967, 75.33087
514.1788, 73.57690
514.6609, 67.95844
515.1431, 48.54175
515.6252, 34.17487
516.1073, 39.26215
516.5894, 57.90851
517.0715, 65.39087
517.5536, 43.65967
518.0358, 20.17108
518.5179, 7.445679
519.0000, 9.393494
519.4821, 10.64752
519.9642, 11.73035
520.4464, 11.67657
520.9285, 8.255737
521.4106, 1.612305
521.8927, 4.537781
522.3748, 4.799683
522.8569, 21.07153
523.3391, 26.85266
523.8212, 21.33301
524.3033, 13.41888
524.7854, 5.566895
525.2675, 0.8265380
525.7496, 1.476013
526.2318, 13.49854
526.7139, 26.16479
527.1960, 30.14948
527.6781, 28.42365
528.1602, 26.94086
528.6423, 29.53394
529.1245, 30.06409
529.6066, 21.31085
530.0887, 6.545959
530.5708, 5.352234
531.0529, 9.295288
531.5350, 10.41730
