##NAMES=Cafetite
##RRUFFID=R060872
##IDEAL CHEMISTRY=CaTi_2_O_5_&#183;H_2_O
##LOCALITY=Magnet Cove, Arkansas, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale brown colored pseudohexagonal plates, associated with pectolite and albite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060872
678.8494, 267.4043
679.3315, 264.1729
679.8136, 261.3677
680.2957, 255.1455
680.7778, 238.3574
681.2599, 215.1509
681.7421, 202.4055
682.2242, 202.4229
682.7063, 202.5354
683.1884, 186.8821
683.6705, 166.2578
684.1526, 156.4023
684.6348, 173.5349
685.1169, 181.5601
685.5990, 154.4424
686.0811, 112.7061
686.5632, 89.30542
687.0453, 100.9902
687.5275, 107.3599
688.0096, 100.9465
688.4917, 86.81445
688.9738, 79.14551
689.4559, 78.80762
689.9380, 76.69702
690.4202, 69.37109
690.9023, 57.46655
691.3844, 38.80176
691.8665, 15.21338
692.3486, 1.551270
692.8307, 2.289551
693.3129, 12.20947
693.7950, 13.97461
694.2771, 6.193115
694.7592, 0.3012700
695.2413, 5.587646
695.7234, 9.569336
696.2056, 1.339600
696.6877, 28.22778
697.1698, 39.43896
697.6519, 24.30542
698.1340, 2.197998
698.6161, 8.561279
699.0983, 8.051514
699.5804, 3.403076
700.0625, 28.48071
700.5446, 55.39062
701.0267, 66.80737
701.5089, 67.71558
701.9910, 70.89966
702.4731, 89.71216
702.9552, 100.8281
703.4373, 79.36255
703.9194, 39.06055
704.4016, 11.37134
704.8837, 23.54004
705.3658, 28.17505
705.8479, 4.882568
706.3300, 38.32568
706.8121, 53.72583
707.2943, 31.27100
707.7764, 8.966553
708.2585, 3.877686
708.7406, 13.64331
709.2227, 26.79517
709.7048, 43.38525
710.1870, 57.80005
710.6691, 63.40356
711.1512, 65.38525
711.6333, 70.97705
712.1154, 81.17090
712.5975, 91.96997
713.0797, 98.56372
713.5618, 106.8384
714.0439, 122.1162
714.5260, 153.5195
715.0081, 175.6726
715.4902, 184.7578
715.9724, 187.4189
716.4545, 188.8240
716.9366, 188.0310
717.4187, 194.8188
717.9008, 213.0588
718.3829, 233.4392
718.8651, 237.6960
719.3472, 231.7800
719.8293, 236.0583
720.3114, 268.2502
720.7935, 299.4443
721.2756, 302.3459
721.7578, 286.6057
722.2399, 274.3962
722.7220, 271.7449
723.2041, 274.7791
723.6862, 289.9146
724.1683, 311.5471
724.6505, 308.1714
725.1326, 265.9138
725.6147, 234.7112
726.0968, 243.1130
726.5789, 280.8364
727.0610, 288.6182
727.5432, 266.9900
728.0253, 243.2493
728.5074, 239.2991
728.9895, 243.2114
729.4716, 239.6868
729.9537, 227.5344
730.4359, 212.2917
730.9180, 189.9985
731.4001, 170.4158
731.8822, 161.7529
732.3643, 173.0654
732.8464, 173.1282
733.3285, 155.3496
733.8106, 134.0791
734.2927, 124.9502
734.7748, 129.7122
735.2570, 117.8474
735.7391, 82.57666
736.2212, 45.84302
736.7033, 40.62817
737.1854, 54.52466
737.6675, 56.78125
738.1497, 32.50635
738.6318, 9.107178
739.1139, 6.411621
739.5960, 16.01855
740.0781, 25.12451
740.5602, 41.51587
741.0424, 43.14917
741.5245, 17.10938
742.0066, 21.86938
742.4887, 38.43799
742.9708, 28.18457
743.4529, 15.61084
743.9351, 6.281250
744.4172, 0.8347170
744.8993, 2.968506
745.3814, 11.46387
745.8635, 18.68042
746.3456, 21.25732
746.8278, 20.56201
747.3099, 17.11377
747.7920, 11.28540
748.2741, 4.633789
748.7562, 8.189941
749.2383, 16.11938
749.7205, 12.54346
750.2026, 2.751465
750.6847, 11.90894
751.1668, 11.81470
751.6489, 12.95605
752.1310, 27.44214
752.6132, 51.31689
753.0953, 49.29517
753.5774, 20.74561
754.0595, 11.06055
754.5416, 25.11475
755.0237, 33.01367
755.5059, 50.36914
755.9880, 80.27051
756.4701, 108.6538
756.9522, 129.5952
757.4343, 145.2681
757.9164, 156.1436
758.3986, 158.2080
758.8807, 167.1812
759.3628, 187.9883
759.8449, 209.0117
760.3270, 214.3335
760.8091, 205.8398
761.2913, 204.1499
761.7734, 213.2866
762.2555, 228.7388
