##NAMES=Vesuvianite
##RRUFFID=R060902
##IDEAL CHEMISTRY=(Ca,Na)_19_(Al,Mg,Fe)_13_(SiO_4_)_10_(Si_2_O_7_)_4_(OH,F,O)_10_
##LOCALITY=Jeffrey mine, Asbestos, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Purple equant, doubly terminated prismatic single crystals.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060902
678.0989, 645.7024
678.5810, 699.5979
679.0631, 769.1726
679.5452, 863.7014
680.0273, 978.8286
680.5095, 1073.332
680.9916, 1138.416
681.4737, 1199.100
681.9558, 1281.851
682.4379, 1380.771
682.9200, 1487.175
683.4022, 1601.593
683.8843, 1717.007
684.3664, 1833.070
684.8485, 1948.566
685.3306, 2063.737
685.8127, 2183.379
686.2949, 2295.121
686.7770, 2391.303
687.2591, 2475.816
687.7412, 2585.955
688.2233, 2734.177
688.7054, 2865.854
689.1876, 2941.796
689.6697, 2973.935
690.1518, 3023.599
690.6339, 3091.507
691.1160, 3146.846
