##NAMES=Opal
##RRUFFID=X070002
##IDEAL CHEMISTRY=SiO_2_&#183;nH_2_O
##LOCALITY=Synthetic
##OWNER=Taka Yamanaka
##SOURCE=Taka Yamanaka
##DESCRIPTION=White polished cab, Raman spectra matches Polymethyl methacrylate (plexiglas)
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X070002
557.0506, 167.2490
557.5327, 188.9023
558.0148, 204.6230
558.4969, 200.9053
558.9791, 191.1953
559.4612, 181.9590
559.9433, 172.8643
560.4254, 169.8125
560.9075, 183.1948
561.3896, 197.8013
561.8718, 200.2241
562.3539, 182.0835
562.8360, 165.4766
563.3181, 150.0957
563.8002, 138.2651
564.2823, 137.2646
564.7645, 149.6206
565.2466, 161.4951
565.7287, 167.2456
566.2108, 167.9897
566.6929, 169.2339
567.1750, 171.0474
567.6572, 171.4717
568.1393, 167.4722
568.6214, 161.2534
569.1035, 155.7783
569.5856, 150.6655
570.0677, 149.7505
570.5499, 158.1714
571.0320, 172.4541
571.5141, 185.9536
571.9962, 199.0161
572.4783, 210.5859
572.9604, 221.9575
573.4426, 232.1904
573.9247, 235.3486
574.4068, 212.0596
574.8889, 197.9922
575.3710, 212.1118
575.8531, 264.1479
576.3353, 288.3345
576.8174, 272.2939
577.2995, 246.5269
577.7816, 241.0156
578.2637, 257.6606
578.7458, 271.6353
579.2280, 281.1167
579.7101, 286.6909
580.1922, 282.0488
580.6743, 269.6494
581.1564, 266.4849
581.6385, 293.3408
582.1207, 328.7954
582.6028, 337.1475
583.0849, 321.7617
583.5670, 315.4951
584.0491, 349.9863
584.5313, 393.1582
585.0134, 417.5083
585.4955, 410.8115
585.9776, 413.5601
586.4597, 447.5571
586.9418, 491.7539
587.4240, 521.3975
587.9061, 524.8516
588.3882, 530.0127
588.8703, 537.3169
589.3524, 549.2451
589.8345, 574.7471
590.3167, 617.6562
590.7988, 659.2036
591.2809, 691.8506
591.7630, 716.2739
592.2451, 731.0264
592.7272, 735.6426
593.2094, 741.2217
593.6915, 761.8564
594.1736, 788.9287
594.6557, 803.7515
595.1378, 800.2666
595.6199, 799.2036
596.1021, 821.4536
596.5842, 853.6279
597.0663, 876.9058
597.5485, 874.0718
598.0306, 872.4136
598.5127, 885.1714
598.9948, 907.6621
599.4769, 918.6797
599.9590, 911.8994
600.4412, 899.8745
600.9233, 887.7827
601.4054, 876.2925
601.8875, 851.9590
602.3696, 811.0674
602.8517, 766.7910
603.3339, 731.6943
603.8160, 704.7583
604.2981, 676.1914
604.7802, 644.6123
605.2623, 612.9814
605.7444, 585.2637
606.2266, 560.7983
606.7087, 539.1963
607.1908, 521.8647
607.6729, 505.1030
608.1550, 490.5029
608.6371, 474.9883
609.1193, 448.1353
609.6014, 387.8506
610.0835, 330.5039
610.5656, 295.6167
611.0477, 286.8569
611.5298, 281.2334
612.0120, 278.9067
612.4941, 278.3994
612.9762, 281.0464
613.4583, 292.0938
613.9404, 284.7339
614.4225, 251.1914
614.9047, 210.9858
615.3868, 195.0259
615.8689, 200.7075
616.3510, 203.4673
616.8331, 194.6943
617.3152, 180.4463
617.7974, 171.8223
618.2795, 167.3481
618.7616, 160.7021
619.2437, 141.0957
619.7258, 123.1089
620.2079, 120.4453
620.6901, 133.6528
621.1722, 144.9116
621.6543, 146.8125
622.1364, 145.2583
622.6185, 144.7261
623.1006, 149.2241
623.5828, 146.1460
624.0649, 130.4814
624.5470, 111.7466
625.0291, 101.5527
625.5112, 101.1016
625.9933, 103.7632
626.4755, 110.2842
626.9576, 118.3037
627.4397, 121.1025
627.9218, 117.6948
628.4039, 108.2227
628.8860, 85.08789
629.3682, 61.20215
629.8503, 56.03369
630.3324, 67.52832
630.8145, 80.01172
631.2966, 87.54346
631.7787, 90.52051
632.2609, 88.13867
632.7430, 78.58105
633.2251, 70.21143
633.7072, 61.96484
634.1893, 57.35791
634.6714, 59.90332
635.1536, 74.47852
635.6357, 85.88672
636.1178, 93.57227
636.5999, 96.73438
637.0820, 91.37744
637.5641, 77.04443
638.0463, 67.19531
638.5284, 69.17920
639.0105, 75.83008
639.4926, 69.65332
639.9747, 52.90869
640.4568, 40.54004
640.9390, 40.05371
641.4211, 49.15674
641.9032, 72.96387
642.3853, 111.6016
642.8674, 134.2241
643.3495, 112.7036
643.8317, 81.34717
644.3138, 64.33740
644.7959, 76.35010
645.2780, 79.77979
645.7601, 68.91748
646.2422, 53.87256
646.7244, 46.81396
647.2065, 50.45361
647.6886, 56.55713
648.1707, 61.36182
648.6528, 63.33643
649.1349, 64.57275
649.6171, 65.58447
650.0992, 67.74512
650.5813, 72.48242
651.0634, 78.27490
651.5455, 84.60693
652.0276, 90.75635
652.5098, 93.44092
652.9919, 89.65381
653.4740, 83.38281
653.9561, 75.89697
654.4382, 66.37939
654.9203, 58.46045
655.4025, 52.51221
655.8846, 49.11816
656.3667, 48.69043
656.8488, 52.41846
657.3309, 53.61914
657.8130, 51.02832
658.2952, 47.61084
658.7773, 47.85156
659.2594, 51.35645
659.7415, 52.91016
660.2236, 51.06006
660.7057, 46.77930
661.1879, 36.91016
661.6700, 25.24658
662.1521, 22.58154
662.6342, 50.32275
663.1163, 74.74756
663.5984, 67.23242
664.0806, 32.46094
664.5627, 11.86523
665.0448, 35.12305
665.5269, 56.70020
666.0090, 52.76709
666.4911, 16.87256
666.9733, 6.258789
667.4554, 30.81250
667.9375, 61.04492
668.4196, 71.78223
668.9017, 63.69873
669.3839, 57.72656
669.8660, 56.06836
670.3481, 55.17725
670.8302, 54.01416
671.3123, 50.26758
671.7944, 37.54736
672.2766, 5.838867
672.7587, 22.04395
673.2408, 31.75928
673.7229, 27.01660
674.2050, 15.33203
674.6871, 16.61182
675.1693, 38.53076
675.6514, 34.63574
676.1335, 11.85645
676.6156, 8.669434
677.0977, 36.87109
677.5798, 57.41846
678.0620, 46.70410
678.5441, 9.779785
679.0262, 1.163086
679.5083, 22.47461
679.9904, 44.53174
680.4725, 39.92041
680.9547, 21.54980
681.4368, 12.71826
681.9189, 17.00879
682.4010, 20.95801
682.8831, 15.81396
683.3652, 5.466309
683.8474, 6.767090
684.3295, 27.59570
684.8116, 38.45654
685.2937, 30.98535
685.7758, 12.60742
686.2579, 8.525391
686.7401, 35.62598
687.2222, 52.31787
687.7043, 56.48633
688.1864, 51.16016
688.6685, 40.52734
689.1506, 25.07910
689.6328, 12.79346
690.1149, 8.283203
690.5970, 8.230957
691.0791, 8.287598
691.5612, 8.486328
692.0433, 8.948730
692.5255, 6.930176
693.0076, 7.469238
693.4897, 16.29736
693.9718, 34.97949
694.4539, 46.59619
694.9360, 46.81396
695.4182, 41.27490
695.9003, 30.58496
696.3824, 10.87549
696.8645, 4.841309
697.3466, 16.11035
697.8287, 31.53613
698.3109, 35.21533
698.7930, 29.88428
699.2751, 31.59521
699.7572, 45.16846
700.2393, 58.59521
700.7214, 59.74805
701.2036, 52.04053
701.6857, 40.96973
702.1678, 19.67773
702.6499, 5.638672
703.1320, 16.25586
703.6141, 38.70020
704.0963, 39.19971
704.5784, 10.08350
705.0605, 40.69385
705.5426, 33.00293
706.0247, 4.186523
706.5068, 34.81006
706.9890, 59.94629
707.4711, 71.10107
707.9532, 54.83008
708.4353, 23.23535
708.9174, 9.337891
709.3995, 11.55859
709.8817, 15.21533
710.3638, 8.277344
710.8459, 0.4316410
711.3280, 1.628418
711.8101, 6.862793
712.2922, 11.56592
712.7744, 4.257324
713.2565, 4.836914
713.7386, 9.137695
714.2207, 8.273926
714.7028, 2.836914
715.1849, 9.232422
715.6671, 22.42969
716.1492, 30.84717
716.6313, 34.72119
717.1134, 37.26123
717.5955, 38.18213
718.0776, 40.47217
718.5598, 50.09863
719.0419, 63.41162
719.5240, 73.45605
720.0061, 81.56787
720.4882, 81.47510
720.9703, 58.66748
721.4525, 26.26367
721.9346, 14.16748
722.4167, 46.57129
722.8988, 73.18408
723.3809, 84.49609
723.8630, 82.99951
724.3452, 76.30566
724.8273, 63.14453
725.3094, 54.27539
725.7915, 57.71484
726.2736, 67.78564
726.7557, 67.37061
727.2379, 58.15576
727.7200, 53.45117
728.2021, 68.02246
728.6842, 86.36084
729.1663, 94.25439
729.6484, 90.11426
730.1306, 89.43604
730.6127, 103.6753
731.0948, 115.2324
