##NAMES=Tausonite
##RRUFFID=X090004
##IDEAL CHEMISTRY=SrTiO_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless stone, cell parameters indicate a disordered structure
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090004
502.1761, 6.602570
502.6582, 6.653824
503.1403, 7.546326
503.6224, 8.664032
504.1045, 9.674301
504.5866, 10.51135
505.0688, 10.89421
505.5509, 10.53157
506.0330, 10.14818
506.5151, 9.354034
506.9972, 8.846863
507.4793, 9.333084
507.9615, 10.72278
508.4436, 12.24847
508.9257, 13.31898
509.4078, 13.92722
509.8899, 14.14690
510.3720, 13.78011
510.8542, 13.52887
511.3363, 13.63556
511.8184, 14.00362
512.3005, 14.67776
512.7827, 15.70616
513.2648, 16.51837
513.7469, 16.41978
514.2290, 15.75502
514.7111, 15.58751
515.1932, 16.13966
515.6754, 16.82832
516.1575, 17.24181
516.6396, 17.42047
517.1217, 17.58653
517.6038, 17.79207
518.0859, 17.92685
518.5681, 17.70747
519.0502, 17.41344
519.5323, 17.68387
520.0144, 18.67365
520.4965, 19.70099
520.9786, 19.93135
521.4608, 19.18225
521.9429, 18.94403
522.4250, 19.46292
522.9071, 20.08269
523.3892, 20.74095
523.8713, 21.32022
524.3535, 21.61713
524.8356, 21.54372
525.3177, 21.29471
525.7998, 21.20296
526.2819, 21.31308
526.7640, 21.55006
527.2462, 22.16316
527.7283, 22.56337
528.2104, 22.31290
528.6925, 21.63927
529.1746, 21.09567
529.6567, 21.03995
530.1389, 21.14888
530.6210, 20.87907
531.1031, 20.20573
531.5852, 19.65184
532.0673, 19.42400
532.5494, 19.38449
533.0316, 19.33122
533.5137, 19.23643
533.9958, 19.12158
534.4779, 18.94589
534.9600, 18.71011
535.4421, 18.44267
535.9243, 18.19557
536.4064, 18.02313
536.8885, 17.93855
537.3706, 17.86546
537.8527, 17.71988
538.3348, 17.66139
538.8170, 17.31006
539.2991, 16.49408
539.7812, 15.61951
540.2633, 14.73291
540.7454, 13.96577
541.2275, 13.62067
541.7097, 13.94026
542.1918, 14.60135
542.6739, 14.71751
543.1560, 14.10612
543.6381, 13.53064
544.1202, 13.29916
544.6024, 13.00764
545.0845, 12.27914
545.5666, 11.20990
546.0487, 10.34485
546.5308, 9.963440
547.0129, 9.945786
547.4951, 10.28539
547.9772, 10.97336
548.4593, 11.30995
548.9414, 10.94313
549.4235, 10.12468
549.9056, 9.225540
550.3878, 8.192688
550.8699, 7.326965
551.3520, 6.762299
551.8341, 6.338852
552.3162, 5.896088
552.7983, 5.467239
553.2805, 5.258667
553.7626, 5.419449
554.2447, 5.749496
554.7268, 5.665009
555.2089, 4.915741
555.6910, 4.180923
556.1732, 3.389252
556.6553, 2.704147
557.1374, 2.313873
557.6195, 2.137619
558.1016, 1.903824
558.5837, 1.420090
559.0659, 0.8080900
559.5480, 0.3818660
560.0301, 0.1609950
560.5122, 6.4240000E-03
560.9943, 5.3206999E-02
561.4764, 0.1216430
561.9586, 0.3658600
562.4407, 0.7838750
562.9228, 1.234985
563.4049, 1.770126
563.8870, 2.270645
564.3691, 2.533264
564.8513, 2.612610
565.3334, 2.869797
565.8155, 3.509903
566.2976, 4.229279
566.7797, 4.435898
567.2618, 3.807114
567.7440, 3.443817
568.2261, 3.479462
568.7082, 3.684784
569.1903, 3.996841
569.6724, 4.351013
570.1545, 4.660950
570.6367, 4.883270
571.1188, 4.995316
571.6009, 4.915527
572.0830, 4.555649
572.5651, 4.377182
573.0472, 4.475464
573.5294, 4.693207
574.0115, 5.036972
574.4936, 5.444977
574.9757, 5.768143
575.4578, 6.020599
575.9399, 6.057877
576.4221, 5.669724
576.9042, 4.906998
577.3863, 3.932602
577.8684, 2.671310
578.3505, 1.531509
578.8326, 1.127213
579.3148, 1.549561
579.7969, 1.590668
580.2790, 0.7671200
580.7611, 4.0279999E-03
581.2432, 8.0994003E-02
581.7253, 0.4184270
582.2075, 0.1712650
582.6896, 2.038757
583.1717, 4.313202
583.6538, 5.698898
584.1359, 5.980804
584.6180, 6.963196
585.1002, 9.450714
585.5823, 11.72934
586.0643, 12.98640
586.5464, 13.81953
587.0286, 15.12267
587.5107, 17.20493
587.9928, 19.28833
588.4749, 20.46370
588.9570, 20.98181
589.4391, 21.80809
589.9213, 23.04155
590.4034, 24.70110
590.8855, 26.91962
591.3676, 29.59315
591.8497, 32.22513
592.3318, 34.74162
592.8140, 37.39183
593.2961, 40.52745
593.7782, 43.68045
594.2603, 46.17120
594.7424, 48.00533
595.2245, 49.84390
595.7067, 52.20467
596.1888, 54.98073
596.6709, 57.50162
597.1530, 59.44202
597.6351, 61.70496
598.1172, 64.30917
598.5994, 67.29828
599.0815, 70.99011
599.5636, 75.20453
600.0457, 79.16154
600.5278, 82.27063
601.0099, 84.80052
601.4921, 87.17050
601.9742, 89.37875
602.4563, 92.01343
602.9384, 95.50418
603.4205, 99.18073
603.9026, 101.9290
604.3848, 103.7421
604.8669, 105.9482
605.3490, 109.4395
605.8311, 112.7630
606.3132, 114.6943
