##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
522.5893, 4.725708
523.0714, 5.288330
523.5535, 4.532715
524.0356, 3.892212
524.5178, 3.257080
524.9999, 3.165649
525.4820, 4.468384
525.9641, 6.974121
526.4462, 8.920410
526.9283, 10.11963
527.4105, 10.67993
527.8926, 10.53748
528.3747, 9.856079
528.8568, 9.161865
529.3389, 8.215698
529.8210, 7.690796
530.3032, 9.013550
530.7853, 11.67957
531.2674, 13.19812
531.7495, 10.24829
532.2316, 6.894653
532.7137, 6.386108
533.1959, 9.918579
533.6780, 13.08850
534.1601, 14.48706
534.6422, 15.09631
535.1243, 15.96326
535.6064, 17.86890
536.0886, 19.12219
536.5707, 19.56238
537.0528, 19.27808
537.5349, 18.26477
538.0170, 15.95129
538.4991, 14.42139
538.9813, 14.69458
539.4634, 16.70166
539.9455, 18.87573
540.4276, 21.38379
540.9097, 23.18982
541.3918, 22.98267
541.8740, 21.17383
542.3561, 19.03406
542.8382, 16.39038
543.3203, 14.71179
543.8024, 16.38574
544.2845, 20.32886
544.7667, 24.07825
545.2488, 26.73755
545.7309, 28.56360
546.2130, 29.41028
546.6951, 29.41284
547.1772, 29.21106
547.6594, 28.44092
548.1415, 27.63135
548.6236, 27.50769
549.1057, 28.61646
549.5878, 30.13489
550.0699, 32.30627
550.5521, 34.28418
551.0342, 35.31897
551.5163, 34.48267
551.9984, 34.64563
552.4805, 37.30542
552.9626, 40.98926
553.4448, 40.87988
553.9269, 36.10168
554.4090, 32.80530
554.8911, 34.24158
555.3732, 38.84619
555.8553, 41.04138
556.3375, 40.88550
556.8196, 40.10413
557.3017, 39.55090
557.7838, 39.21082
558.2659, 39.19653
558.7480, 39.58679
559.2302, 40.62415
559.7123, 42.58423
560.1944, 45.05640
560.6765, 47.56311
561.1586, 50.80652
561.6407, 52.95093
562.1229, 52.61072
562.6050, 50.93860
563.0871, 50.89856
563.5692, 54.76636
564.0513, 58.22900
564.5334, 60.02734
565.0156, 60.04688
565.4977, 59.88562
565.9798, 59.21155
566.4619, 59.30420
566.9440, 61.41309
567.4261, 65.59387
567.9083, 68.39539
