##NAMES=Burangaite
##RRUFFID=R070408
##IDEAL CHEMISTRY=NaFe^2+^Al_5_(PO_4_)_4_(OH)_6_&#183;2H_2_O
##LOCALITY=Buranga pegmatite, Gatumba District, Gisenyi Province, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue to blue-green prismatic, co-type specimen. This is the piece used by Selway et al (1997) to determine structure.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070408
454.8418, 576.9199
455.3239, 611.9199
455.8061, 656.5105
456.2882, 716.7236
456.7703, 782.0923
457.2524, 834.6377
457.7345, 878.0410
458.2166, 928.8489
458.6988, 1007.013
459.1809, 1092.179
459.6630, 1160.344
460.1451, 1208.329
460.6272, 1250.001
461.1093, 1293.237
461.5915, 1335.417
462.0736, 1372.346
462.5557, 1408.442
463.0378, 1433.474
463.5199, 1442.694
464.0020, 1436.750
464.4842, 1420.953
464.9663, 1389.919
465.4484, 1354.063
465.9305, 1318.274
466.4126, 1278.836
466.8947, 1244.521
467.3769, 1214.797
467.8590, 1188.990
468.3411, 1165.823
468.8232, 1143.843
469.3053, 1126.554
469.7874, 1112.104
470.2696, 1103.212
470.7517, 1122.011
471.2338, 1172.330
471.7159, 1234.326
472.1980, 1294.336
472.6801, 1353.482
473.1623, 1408.588
473.6444, 1458.218
474.1265, 1506.527
474.6086, 1565.025
475.0907, 1631.395
475.5728, 1689.797
476.0550, 1716.537
476.5371, 1736.917
477.0192, 1800.110
477.5013, 1907.849
477.9834, 2006.198
478.4655, 2047.152
478.9477, 2058.951
479.4298, 2077.751
479.9119, 2114.426
480.3940, 2155.556
480.8761, 2199.833
481.3582, 2243.854
481.8404, 2277.149
482.3225, 2288.036
482.8046, 2294.205
483.2867, 2307.148
483.7688, 2335.751
484.2509, 2343.501
484.7331, 2315.163
485.2152, 2270.761
485.6973, 2228.237
486.1794, 2193.326
486.6615, 2150.551
487.1436, 2098.604
487.6258, 2037.022
488.1079, 1959.822
488.5900, 1860.472
489.0721, 1764.780
489.5542, 1688.492
490.0363, 1631.401
490.5185, 1575.899
491.0006, 1522.312
491.4827, 1469.282
491.9648, 1409.607
492.4470, 1346.850
492.9291, 1303.663
493.4112, 1301.484
493.8933, 1312.091
494.3754, 1284.302
494.8575, 1224.667
495.3397, 1176.034
495.8218, 1182.392
496.3039, 1206.298
496.7860, 1203.844
497.2681, 1161.478
497.7502, 1120.680
498.2324, 1102.307
498.7145, 1098.926
499.1966, 1100.104
499.6787, 1106.473
500.1608, 1113.345
500.6429, 1116.216
501.1251, 1115.941
501.6072, 1126.139
502.0893, 1155.124
502.5714, 1188.354
503.0535, 1219.797
503.5356, 1250.918
504.0178, 1278.665
504.4999, 1302.535
504.9820, 1320.286
505.4641, 1327.674
505.9462, 1320.793
506.4283, 1327.977
506.9105, 1361.428
507.3926, 1414.901
507.8747, 1460.833
508.3568, 1498.357
508.8389, 1537.194
509.3210, 1591.223
509.8032, 1652.683
510.2853, 1698.948
510.7674, 1724.873
511.2495, 1747.071
511.7316, 1778.894
512.2137, 1818.920
512.6959, 1864.874
513.1780, 1915.287
513.6601, 1973.887
514.1422, 2051.444
514.6243, 2142.863
515.1064, 2218.309
515.5886, 2253.935
516.0707, 2279.418
516.5528, 2310.422
517.0349, 2345.277
517.5170, 2388.789
517.9991, 2459.410
518.4813, 2534.635
518.9634, 2584.280
519.4455, 2591.487
519.9276, 2602.613
520.4097, 2631.792
520.8918, 2673.553
521.3740, 2695.510
521.8561, 2696.929
522.3382, 2680.961
522.8203, 2651.225
523.3024, 2607.444
523.7845, 2537.671
524.2667, 2438.061
524.7488, 2322.286
525.2309, 2196.337
525.7130, 2063.799
526.1951, 1940.111
526.6772, 1833.178
527.1594, 1733.272
527.6415, 1629.751
528.1236, 1524.405
528.6057, 1422.400
529.0878, 1325.891
529.5699, 1235.475
530.0521, 1151.908
530.5342, 1073.246
531.0163, 1007.014
531.4984, 956.3120
531.9805, 918.2397
532.4626, 889.4045
532.9448, 884.0522
533.4269, 870.0908
533.9090, 837.3201
534.3911, 792.6121
534.8732, 764.3804
535.3553, 757.1611
535.8375, 757.5417
536.3196, 761.5088
536.8017, 769.4031
537.2838, 773.2974
537.7659, 772.0393
538.2480, 770.6348
538.7302, 775.7534
539.2123, 786.2844
539.6944, 793.9370
540.1765, 795.7285
540.6586, 796.0537
541.1407, 802.3672
541.6229, 812.8870
542.1050, 821.2739
542.5871, 821.6846
543.0692, 820.0457
543.5513, 823.5645
544.0334, 832.4934
544.5156, 836.2568
544.9977, 826.5977
545.4798, 811.6279
545.9619, 798.0964
546.4440, 792.8931
546.9261, 780.7869
547.4083, 754.4712
547.8904, 720.8281
548.3725, 693.2280
548.8546, 678.0283
549.3367, 657.8926
549.8188, 626.6929
550.3010, 585.7241
550.7831, 551.4900
551.2652, 526.4922
551.7473, 499.7283
552.2294, 460.8284
552.7115, 411.3794
553.1937, 369.3262
553.6758, 336.6746
554.1579, 308.9919
554.6400, 282.0046
555.1221, 255.5413
555.6042, 229.7876
556.0864, 205.7107
556.5685, 180.9805
557.0506, 144.6144
557.5327, 139.7930
558.0148, 133.0307
558.4969, 124.4534
558.9791, 107.2873
559.4612, 102.2381
559.9433, 92.96021
560.4254, 83.93827
560.9075, 81.87366
561.3896, 68.26192
561.8718, 66.98689
562.3539, 61.41534
562.8360, 58.46301
563.3181, 51.25428
563.8002, 45.94665
564.2823, 45.79161
564.7645, 43.47785
565.2466, 37.51857
565.7287, 37.39014
566.2108, 28.09049
566.6929, 27.67934
567.1750, 31.35736
567.6572, 27.87212
568.1393, 30.06795
568.6214, 30.71827
569.1035, 22.75859
569.5856, 30.99854
570.0677, 32.87392
570.5499, 28.20272
571.0320, 37.24572
571.5141, 34.43364
571.9962, 36.46060
572.4783, 42.23953
572.9604, 45.02137
573.4426, 53.68372
573.9247, 57.55924
574.4068, 61.41547
574.8889, 67.75961
575.3710, 68.76904
575.8531, 80.95277
576.3353, 86.25931
576.8174, 95.65267
577.2995, 106.3201
577.7816, 111.1144
578.2637, 135.2803
578.7458, 157.8928
579.2280, 177.3396
579.7101, 195.8752
580.1922, 215.9556
580.6743, 238.0894
581.1564, 265.1526
581.6385, 300.7744
582.1207, 340.8965
582.6028, 377.6243
583.0849, 411.9160
583.5670, 453.5759
584.0491, 520.5676
584.5313, 589.3740
585.0134, 639.9485
585.4955, 663.2249
585.9776, 687.8052
586.4597, 728.5044
586.9418, 770.8042
587.4240, 797.0330
587.9061, 788.9653
588.3882, 793.8540
588.8703, 824.9263
589.3524, 869.9590
589.8345, 891.9353
590.3167, 886.8337
590.7988, 873.3689
591.2809, 852.1975
591.7630, 828.3774
592.2451, 831.4050
592.7272, 861.8254
593.2094, 905.9524
593.6915, 953.3149
594.1736, 1006.105
594.6557, 1072.257
595.1378, 1155.635
595.6199, 1235.852
596.1021, 1286.352
596.5842, 1326.647
597.0663, 1384.807
597.5485, 1480.937
598.0306, 1584.259
598.5127, 1690.910
598.9948, 1798.144
599.4769, 1896.141
599.9590, 1984.519
600.4412, 2065.186
600.9233, 2137.153
601.4054, 2200.382
601.8875, 2260.417
602.3696, 2315.840
602.8517, 2370.607
603.3339, 2431.464
603.8160, 2497.229
604.2981, 2544.045
604.7802, 2567.598
605.2623, 2576.193
605.7444, 2586.101
606.2266, 2589.697
606.7087, 2566.548
607.1908, 2502.969
607.6729, 2416.109
608.1550, 2305.960
608.6371, 2181.363
609.1193, 2067.162
609.6014, 1986.873
610.0835, 1908.489
610.5656, 1814.329
611.0477, 1699.007
611.5298, 1601.286
612.0120, 1520.388
612.4941, 1459.884
612.9762, 1427.637
613.4583, 1435.466
613.9404, 1427.015
614.4225, 1394.133
614.9047, 1355.100
615.3868, 1339.372
615.8689, 1344.705
616.3510, 1343.297
616.8331, 1325.889
617.3152, 1299.159
617.7974, 1268.965
618.2795, 1237.240
618.7616, 1209.594
619.2437, 1201.658
619.7258, 1188.350
620.2079, 1147.688
620.6901, 1078.487
621.1722, 1009.333
621.6543, 945.0876
622.1364, 886.5710
622.6185, 836.2400
623.1006, 802.3579
623.5828, 757.3477
624.0649, 690.9155
624.5470, 623.7061
625.0291, 583.0046
625.5112, 574.0400
625.9933, 562.5586
626.4755, 540.7488
626.9576, 515.7886
627.4397, 504.6533
627.9218, 505.4895
628.4039, 504.0071
628.8860, 483.1084
629.3682, 461.2117
629.8503, 470.2354
630.3324, 506.1328
630.8145, 536.6626
631.2966, 539.4016
631.7787, 532.9368
632.2609, 529.9004
632.7430, 530.1514
633.2251, 536.5127
633.7072, 555.7278
634.1893, 577.8391
634.6714, 594.6011
635.1536, 603.3108
635.6357, 612.8672
636.1178, 624.7690
636.5999, 636.7954
637.0820, 645.2744
637.5641, 650.1738
638.0463, 650.6604
638.5284, 643.6875
639.0105, 634.5603
639.4926, 636.6509
639.9747, 647.6765
640.4568, 654.4495
640.9390, 652.2559
641.4211, 639.9973
641.9032, 611.6580
642.3853, 567.0320
642.8674, 528.5879
643.3495, 515.4031
643.8317, 504.8660
644.3138, 479.9014
644.7959, 424.4441
645.2780, 382.8301
645.7601, 363.0444
646.2422, 350.2170
646.7244, 325.6580
647.2065, 286.8618
647.6886, 249.8228
648.1707, 216.3115
648.6528, 187.9460
649.1349, 170.6399
649.6171, 162.8955
650.0992, 153.1936
650.5813, 133.4058
651.0634, 110.4580
651.5455, 95.18652
652.0276, 85.68970
652.5098, 72.72070
652.9919, 36.47607
653.4740, 7.515381
653.9561, 11.68994
654.4382, 59.72510
654.9203, 86.02905
655.4025, 65.33789
655.8846, 34.28540
656.3667, 16.47314
656.8488, 14.83447
657.3309, 20.91040
657.8130, 37.85303
658.2952, 56.80176
658.7773, 61.55737
659.2594, 53.32349
659.7415, 51.79150
660.2236, 65.66431
660.7057, 83.74976
661.1879, 85.18530
661.6700, 76.23120
662.1521, 73.99243
662.6342, 94.80908
663.1163, 118.1011
663.5984, 131.6987
664.0806, 135.9949
664.5627, 139.5984
665.0448, 140.7234
665.5269, 145.0674
666.0090, 155.0156
666.4911, 171.4016
666.9733, 184.1558
667.4554, 191.1841
667.9375, 199.8542
668.4196, 217.2058
668.9017, 242.6719
669.3839, 266.3955
669.8660, 287.8535
670.3481, 302.9753
670.8302, 307.4883
671.3123, 302.8376
671.7944, 290.8962
672.2766, 269.5635
672.7587, 245.1018
673.2408, 217.6541
673.7229, 190.7737
674.2050, 170.5601
674.6871, 164.3098
675.1693, 158.2756
675.6514, 145.7874
676.1335, 129.6052
676.6156, 127.0752
677.0977, 147.6492
677.5798, 160.2173
678.0620, 147.2185
678.5441, 111.9966
679.0262, 89.58813
679.5083, 81.05859
679.9904, 74.01929
680.4725, 50.96729
680.9547, 24.08667
681.4368, 16.86304
681.9189, 34.45605
682.4010, 56.97754
682.8831, 78.73511
683.3652, 94.67334
683.8474, 98.61621
684.3295, 76.86133
684.8116, 62.91260
685.2937, 69.72876
685.7758, 82.83301
686.2579, 81.51880
686.7401, 56.47485
687.2222, 43.61279
687.7043, 53.09424
688.1864, 74.99487
688.6685, 85.76343
689.1506, 85.94482
689.6328, 83.86157
690.1149, 79.82715
690.5970, 77.94775
691.0791, 87.76733
691.5612, 106.6877
692.0433, 121.0105
692.5255, 119.4141
693.0076, 114.2957
693.4897, 113.1528
693.9718, 116.9260
694.4539, 121.4629
694.9360, 131.9299
695.4182, 137.7559
695.9003, 130.4189
696.3824, 103.3132
696.8645, 93.40698
697.3466, 105.4602
697.8287, 122.6926
698.3109, 127.0322
698.7930, 120.5696
699.2751, 113.5479
699.7572, 107.6699
