##NAMES=Omphacite
##RRUFFID=R061129
##IDEAL CHEMISTRY=(Ca,Na)(Mg,Fe,Al)Si_2_O_6_
##LOCALITY=near Occidental, Sonoma County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Green granular massive associated with brown grossular and clinochlore
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061129
##MEASURED CHEMISTRY=(Ca_0.51_Na_0.48_)_Σ=0.99_(Mg_0.44_Al_0.44_Fe^2+^_0.14_Fe^3+^_0.02_)_Σ=1.04_Si_2.00_O_6_ ; (darker phase) : (Mg_2.52_Al_0.32_Fe^2+^_2.13_Mn_0.03_)_Σ=5_Al_0.94_(Si_3.00_Al_1.17_)O_10_(OH)_8_ ( lighter, secondary phase = clinochlore)
501.1622, 268.4753
501.6443, 291.4536
502.1265, 310.9497
502.6086, 314.4446
503.0907, 325.6016
503.5728, 356.0566
504.0549, 417.1133
504.5370, 462.5901
505.0192, 484.0693
505.5013, 498.2493
505.9834, 529.8162
506.4655, 584.5574
506.9476, 627.3384
507.4297, 645.4097
507.9119, 648.8264
508.3940, 671.9480
508.8761, 715.8015
509.3582, 762.3086
509.8403, 800.5828
510.3224, 831.9727
510.8046, 858.1765
511.2867, 879.0828
511.7688, 897.8708
512.2509, 918.3721
512.7330, 938.4180
513.2151, 955.5330
513.6973, 976.3350
514.1794, 988.5757
514.6615, 982.3699
515.1436, 959.3879
515.6257, 928.9368
516.1078, 898.1831
516.5900, 858.6670
517.0721, 802.6147
517.5542, 718.8298
518.0363, 646.2583
518.5184, 590.5063
519.0005, 547.3992
519.4827, 512.7600
519.9648, 491.6245
520.4469, 469.4226
520.9290, 439.0996
521.4111, 405.6863
521.8932, 396.5085
522.3754, 417.8789
522.8575, 441.1997
523.3396, 447.4419
523.8217, 437.9475
524.3038, 438.5112
524.7859, 450.9863
525.2681, 468.7546
525.7502, 484.7649
526.2323, 499.7366
526.7144, 515.5803
527.1965, 531.2095
527.6786, 549.7156
528.1608, 578.5894
528.6429, 614.1367
529.1250, 644.9543
529.6071, 654.6160
530.0892, 663.6982
530.5714, 689.7195
531.0535, 737.5156
531.5356, 782.3289
532.0177, 809.9304
532.4998, 833.2759
532.9819, 863.4536
533.4641, 908.5808
533.9462, 952.3950
534.4283, 999.6858
534.9104, 1047.156
535.3925, 1080.468
535.8746, 1091.062
536.3568, 1098.890
536.8389, 1115.705
537.3210, 1143.092
537.8031, 1161.554
538.2852, 1167.496
538.7673, 1174.206
539.2495, 1201.778
539.7316, 1245.676
540.2137, 1271.186
540.6958, 1266.843
541.1779, 1251.919
541.6600, 1250.747
542.1422, 1261.252
542.6243, 1276.625
543.1064, 1300.177
543.5885, 1322.749
544.0706, 1333.263
544.5527, 1331.911
545.0349, 1334.053
545.5170, 1350.929
545.9991, 1371.781
546.4812, 1388.081
546.9633, 1393.043
547.4454, 1402.297
547.9276, 1422.187
548.4097, 1446.637
548.8918, 1466.028
549.3739, 1477.272
549.8560, 1488.324
550.3381, 1500.102
550.8203, 1512.859
551.3024, 1531.001
551.7845, 1557.793
552.2666, 1579.430
552.7487, 1586.416
553.2308, 1579.398
553.7130, 1561.943
554.1951, 1531.552
554.6772, 1503.129
555.1593, 1495.347
555.6414, 1504.063
556.1235, 1518.489
556.6057, 1543.849
557.0878, 1563.511
557.5699, 1556.614
558.0520, 1529.366
558.5341, 1502.972
559.0162, 1493.877
559.4984, 1483.895
559.9805, 1459.167
560.4626, 1414.944
560.9447, 1378.512
561.4268, 1365.069
561.9089, 1355.681
562.3911, 1334.414
562.8732, 1292.676
563.3553, 1253.256
