##NAMES=Gustavite
##RRUFFID=R110011
##IDEAL CHEMISTRY=AgPbBi_3_S_6_
##LOCALITY=Rotgulden, Salzburg, Austria
##OWNER=RRUFF
##SOURCE=William Pinch
##DESCRIPTION=Black bladed reticulated crystals associated with arsenopyrite, siderite and pyrrhotite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110011
552.5071, 0.2512660
552.9892, 0.7581560
553.4713, 1.982658
553.9534, 2.628563
554.4355, 2.602280
554.9177, 2.448517
555.3998, 2.365669
555.8819, 2.285141
556.3640, 2.052444
556.8461, 1.594940
557.3282, 1.308495
557.8104, 1.515671
558.2925, 1.889977
558.7746, 2.086365
559.2567, 2.077248
559.7388, 1.883934
560.2209, 1.479401
560.7031, 0.9594730
561.1852, 0.6274410
561.6673, 0.5076450
562.1494, 0.5578770
562.6315, 1.007797
563.1136, 1.445557
563.5958, 1.577797
564.0779, 1.411606
564.5600, 1.094986
565.0421, 0.6986850
565.5242, 0.2484660
566.0063, 0.1979750
566.4885, 0.7334520
566.9706, 0.9817730
567.4527, 0.5870970
567.9348, 6.6565998E-02
568.4169, 0.2083360
568.8990, 0.2538380
569.3812, 0.3513410
569.8633, 0.7598500
570.3454, 1.242493
570.8275, 1.447960
571.3096, 1.389320
571.7917, 1.233162
572.2739, 0.9797820
572.7560, 0.7563020
573.2381, 0.8519210
573.7202, 1.406693
574.2023, 1.712547
574.6844, 1.641838
575.1666, 1.365768
575.6487, 0.8531110
576.1308, 0.2212070
576.6129, 0.2286220
577.0950, 0.3313980
577.5771, 0.2649310
578.0593, 0.5119630
578.5414, 1.420036
579.0235, 1.668655
579.5056, 0.4493410
579.9877, 0.7207260
580.4698, 1.022316
580.9520, 0.7441180
581.4341, 0.6663440
581.9162, 1.236351
582.3983, 1.946350
582.8804, 2.087723
583.3625, 1.702255
583.8447, 1.259529
584.3268, 0.8092880
584.8089, 0.4604190
585.2910, 0.3676910
585.7731, 0.5128860
586.2552, 0.6790620
586.7374, 0.9680250
587.2195, 1.150185
587.7016, 1.007599
588.1837, 0.7018890
588.6658, 0.5163960
589.1479, 0.5339360
589.6301, 0.6377030
590.1122, 0.6769030
590.5943, 0.6339800
591.0764, 0.7034990
591.5585, 1.025383
592.0406, 1.297729
592.5228, 1.441963
593.0049, 1.502098
593.4870, 1.543030
593.9691, 1.581779
594.4512, 1.547432
594.9333, 1.263069
595.4155, 0.8240280
595.8976, 0.7363740
596.3797, 1.137444
596.8618, 1.387344
597.3439, 1.002556
597.8260, 0.2488330
598.3082, 0.2192150
598.7903, 0.3693160
599.2724, 0.3164290
599.7545, 5.3939998E-02
600.2366, 0.5140230
600.7188, 0.8419950
601.2009, 1.013794
601.6830, 1.058556
602.1651, 0.9744190
602.6472, 0.8307190
603.1293, 0.8949810
603.6115, 1.301506
604.0936, 1.670395
604.5757, 2.077827
605.0578, 2.358849
605.5399, 2.370560
606.0220, 2.159889
606.5042, 1.886505
606.9863, 1.622063
607.4684, 1.369972
607.9505, 1.102509
608.4326, 0.8229140
608.9147, 0.6905980
609.3969, 0.7913130
609.8790, 0.9707180
610.3611, 1.062233
610.8432, 1.074791
611.3253, 1.113945
611.8074, 1.350098
612.2896, 1.449158
612.7717, 1.045502
613.2538, 0.4390720
613.7359, 0.1575160
614.2180, 0.3484730
614.7001, 0.7549060
615.1823, 1.093788
615.6644, 1.364670
616.1465, 1.572884
616.6286, 1.690643
617.1107, 1.778908
617.5928, 1.893326
618.0750, 1.968132
618.5571, 1.865402
619.0392, 1.577713
619.5213, 1.400818
620.0034, 1.797241
620.4855, 2.405525
620.9677, 2.254105
621.4498, 1.276810
621.9319, 0.5301060
622.4140, 0.6079560
622.8961, 1.152084
623.3782, 1.402412
623.8604, 1.238869
624.3425, 1.129044
624.8246, 1.294266
625.3067, 1.446976
625.7888, 1.264694
626.2709, 0.8882060
626.7531, 0.7672350
627.2352, 1.136047
627.7173, 1.655930
628.1994, 1.629944
628.6815, 0.9050520
629.1636, 0.4788590
629.6458, 0.5283970
630.1279, 0.7319950
630.6100, 1.080643
631.0921, 1.422775
631.5742, 1.438499
632.0563, 0.9338840
632.5385, 0.4436800
633.0206, 0.3246840
633.5027, 0.5039220
633.9848, 0.9789730
634.4669, 1.713806
634.9490, 2.133232
635.4312, 1.720291
635.9133, 0.6966710
636.3954, 0.1621480
636.8775, 0.5816880
637.3596, 1.085419
637.8417, 1.828819
638.3239, 2.393959
638.8060, 2.411606
639.2881, 1.992409
639.7702, 1.517349
640.2523, 1.173500
640.7344, 0.9954680
641.2166, 1.183846
641.6987, 1.769470
642.1808, 1.955147
642.6629, 1.327576
643.1450, 0.6928330
643.6271, 1.031723
644.1093, 2.023499
644.5914, 2.548992
645.0735, 2.043083
645.5556, 1.440998
646.0377, 1.114384
646.5198, 1.010971
647.0020, 1.106819
647.4841, 1.373211
647.9662, 1.705166
648.4483, 2.028484
648.9304, 2.324772
649.4125, 2.456886
649.8947, 2.316132
650.3768, 2.211178
650.8589, 2.280548
651.3410, 2.334755
651.8231, 2.182838
652.3052, 1.869637
652.7874, 1.651482
653.2695, 1.686172
653.7516, 1.849648
654.2337, 2.085873
654.7158, 2.342148
655.1979, 2.333416
655.6801, 1.939575
656.1622, 1.409386
656.6443, 1.031921
657.1264, 0.8243600
657.6085, 0.7344360
658.0906, 0.8575520
658.5728, 0.9419590
659.0549, 0.8750800
659.5370, 0.7744940
660.0191, 0.7283940
660.5012, 0.7706870
660.9833, 0.9641950
661.4655, 1.464458
661.9476, 2.100479
662.4297, 2.258240
662.9118, 1.868061
663.3939, 1.549793
663.8760, 1.473843
664.3582, 1.571239
664.8403, 1.881992
665.3224, 2.378521
665.8045, 2.583275
666.2866, 2.190811
666.7687, 1.730961
667.2509, 1.436066
667.7330, 1.293598
668.2151, 1.290672
668.6972, 1.412628
669.1793, 1.599037
669.6614, 1.814659
670.1436, 2.045406
670.6257, 2.073593
671.1078, 1.736786
671.5899, 1.509514
672.0720, 1.531860
672.5541, 1.749676
673.0363, 2.366920
673.5184, 3.282990
674.0005, 3.602303
674.4826, 2.292137
674.9647, 0.7343030
675.4468, 0.4623570
675.9290, 1.098797
676.4111, 1.421597
676.8932, 1.044331
677.3753, 0.5474280
677.8574, 0.6563640
678.3395, 1.408020
678.8217, 1.762291
679.3038, 1.264729
679.7859, 0.9333920
680.2680, 1.208714
680.7501, 1.560474
681.2322, 1.342972
681.7144, 0.6046560
682.1965, 0.1298290
682.6786, 0.6964110
683.1607, 1.655731
683.6428, 1.896202
684.1249, 1.491573
684.6071, 1.047661
685.0892, 0.7187650
685.5713, 0.5179290
686.0534, 0.4590870
686.5355, 0.5430830
687.0176, 0.7289580
687.4998, 1.135063
687.9819, 1.497925
688.4640, 1.909164
688.9461, 2.144676
689.4282, 1.835957
689.9103, 1.045582
690.3925, 0.3182750
690.8746, 7.9806998E-02
691.3567, 0.1993680
691.8388, 0.3825190
692.3209, 0.6306270
692.8030, 0.8653600
693.2852, 1.072330
693.7673, 1.246708
694.2494, 1.363239
694.7315, 1.449558
695.2136, 1.588245
695.6957, 2.036797
696.1779, 2.227222
696.6600, 1.657822
