##NAMES=Saneroite
##RRUFFID=R060488
##IDEAL CHEMISTRY=Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_
##LOCALITY=Molinello mine, Val Graveglia (Graveglia Valley), Ne, Genova, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange colored blebs associated with white quartz, black braunite and brown parsettensite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060488
441.647, 713.846
442.129, 703.695
442.612, 702.039
443.094, 700.709
443.576, 693.625
444.058, 677.700
444.540, 661.621
445.022, 648.635
445.504, 636.808
445.987, 623.208
446.469, 607.896
446.951, 590.092
447.433, 569.149
447.915, 545.132
448.397, 519.761
448.879, 490.815
449.361, 462.846
449.843, 440.199
450.326, 425.816
450.808, 408.893
451.290, 388.642
451.772, 365.321
452.254, 339.750
452.736, 312.194
453.218, 282.300
453.700, 246.029
454.182, 204.480
454.665, 177.730
455.147, 168.826
455.629, 164.194
456.111, 147.286
456.593, 120.610
457.075, 95.282
457.557, 75.314
458.039, 58.421
458.522, 41.000
459.004, 23.383
459.486, 9.556
459.968, 2.823
460.450, 1.001
460.932, 3.264
461.414, 11.545
461.896, 16.531
462.379, 7.588
462.861, 7.790
463.343, 17.456
463.825, 14.513
464.307, 7.478
464.789, 1.363
465.271, 11.877
465.753, 20.937
466.235, 31.077
466.717, 37.480
467.200, 36.854
467.682, 19.404
468.164, 7.878
468.646, 3.750
469.128, 5.462
469.610, 10.735
470.092, 24.704
470.574, 32.279
471.057, 25.170
471.539, 2.359
472.021, 8.767
472.503, 4.335
472.985, 1.714
473.467, 8.039
473.949, 33.412
474.431, 52.878
474.914, 61.482
475.396, 61.985
475.878, 55.975
476.360, 44.490
476.842, 37.013
477.324, 44.809
477.806, 58.796
478.288, 62.282
478.770, 53.253
479.253, 41.355
479.735, 33.171
480.217, 27.168
480.699, 21.536
481.181, 16.346
481.663, 9.955
482.145, 4.186
482.627, 1.858
483.109, 14.682
483.592, 48.227
484.074, 81.345
484.556, 101.065
485.038, 98.221
485.520, 99.695
486.002, 110.059
486.484, 124.448
486.966, 138.442
487.448, 159.652
487.931, 168.579
488.413, 155.328
488.895, 123.117
489.377, 109.297
489.859, 120.356
490.341, 133.745
490.823, 134.144
491.306, 121.600
491.788, 108.424
492.270, 94.818
492.752, 83.107
493.234, 77.562
493.716, 77.839
494.198, 80.406
494.680, 89.107
495.162, 95.757
495.645, 83.077
496.127, 52.876
496.609, 24.656
497.091, 11.557
497.573, 7.715
498.055, 7.025
498.537, 9.606
499.019, 12.310
499.501, 12.426
499.984, 11.599
500.466, 12.455
500.948, 19.883
501.430, 24.607
501.912, 21.821
502.394, 11.616
502.876, 6.559
503.358, 9.598
503.841, 15.252
504.323, 20.245
504.805, 21.620
505.287, 27.749
505.769, 43.641
506.251, 61.995
506.733, 64.600
507.215, 45.446
507.698, 36.304
508.180, 52.674
508.662, 88.692
509.144, 112.444
509.626, 123.134
510.108, 128.003
510.590, 131.898
511.072, 135.327
511.554, 138.887
512.036, 142.275
512.519, 147.489
513.001, 157.216
513.483, 169.776
513.965, 182.479
514.447, 194.153
514.929, 207.541
515.411, 225.109
515.893, 245.505
516.375, 262.239
516.858, 268.649
517.340, 273.043
517.822, 281.492
518.304, 299.266
518.786, 314.637
519.268, 322.334
519.750, 327.367
520.232, 339.102
520.715, 365.315
521.197, 386.522
521.679, 397.678
522.161, 399.350
522.643, 397.590
523.125, 389.913
523.607, 383.048
524.089, 384.988
524.571, 395.480
525.054, 399.793
525.536, 395.796
526.018, 387.985
526.500, 382.714
526.982, 378.429
527.464, 370.702
527.946, 356.219
528.429, 339.318
528.911, 325.387
529.393, 313.572
529.875, 299.842
530.357, 279.274
530.839, 258.067
531.321, 242.439
531.803, 235.643
532.286, 223.797
532.768, 195.062
533.250, 162.020
533.732, 141.025
534.214, 147.689
534.696, 150.780
535.178, 145.012
535.660, 131.049
536.142, 113.696
536.625, 90.066
537.107, 69.551
537.589, 57.808
538.071, 55.993
538.553, 49.731
539.035, 37.003
539.517, 25.437
539.999, 26.768
540.481, 38.910
540.964, 45.965
541.446, 42.406
541.928, 33.943
542.410, 27.765
542.892, 23.802
543.374, 21.866
543.856, 25.385
544.338, 28.604
544.820, 24.256
545.303, 11.440
545.785, 1.319
546.267, 0.348
546.749, 2.676
547.231, 7.128
547.713, 14.757
548.195, 20.752
548.677, 23.707
549.159, 24.689
549.642, 26.082
550.124, 28.849
550.606, 30.412
551.088, 28.967
551.570, 24.788
552.052, 26.422
552.534, 35.886
553.016, 45.068
553.499, 46.499
553.981, 41.014
554.463, 38.063
554.945, 39.077
555.427, 40.152
555.909, 35.057
556.391, 25.830
556.873, 18.097
557.356, 13.354
557.838, 11.658
558.320, 16.818
558.802, 26.707
559.284, 30.883
559.766, 17.769
560.248, 1.481
560.730, 9.150
561.213, 11.788
561.695, 11.017
562.177, 3.045
562.659, 5.413
563.141, 7.868
563.623, 0.533
564.105, 6.944
564.587, 9.679
565.069, 9.826
565.552, 10.638
566.034, 12.444
566.516, 12.843
566.998, 9.771
567.480, 4.194
567.962, 1.721
568.444, 2.472
568.926, 4.684
569.408, 8.422
569.891, 12.247
570.373, 11.525
570.855, 3.111
571.337, 1.957
571.819, 10.543
572.301, 31.844
572.783, 47.177
573.265, 47.521
573.747, 44.204
574.230, 40.009
574.712, 35.438
575.194, 33.214
575.676, 37.099
576.158, 40.383
576.640, 39.431
577.122, 32.057
577.604, 30.606
578.086, 37.335
578.569, 46.714
579.051, 54.715
579.533, 61.764
580.015, 61.094
580.497, 48.892
580.979, 32.995
581.461, 28.549
581.943, 34.151
582.426, 41.273
582.908, 49.038
583.390, 54.302
583.872, 50.318
584.354, 38.175
584.836, 28.167
585.318, 29.786
585.800, 34.059
586.282, 33.128
586.765, 23.058
587.247, 15.602
587.729, 15.416
588.211, 18.807
588.693, 21.440
589.175, 24.457
589.657, 24.770
590.140, 22.109
